tracklet_id,frames,delta_S_within_track_pp,delta_P_within_track_pp,contribution_to_global_delta_S_pp,contribution_to_global_delta_P_pp
66,41,43.04878039330971,73.35365828944416,0.7724288823307213,1.3161925557405734
89,33,37.121212087345846,70.7575753161853,0.5361050323336599,1.0218818316998315
88,39,17.948717781557487,49.4230766995595,0.3063457301885085,0.8435448539530944
65,31,22.741935378120793,52.49999983897132,0.30853391541433023,0.7122538271370289
64,41,15.73170744246099,39.08536539572041,0.2822757134095845,0.701312902067631
47,24,47.916665906086564,66.24999999379118,0.5032822677225722,0.6958424507006514
78,37,17.702702473144274,42.770269865522515,0.28665207505747836,0.6925601685008022
103,26,25.384614903193253,52.30769200537067,0.28884025710416833,0.5951859921836488
37,39,9.487179504373135,34.80769202877314,0.16192560204400536,0.5940918989593664
102,31,18.709677481843578,41.61290313688017,0.25382932251078816,0.5645514211130351
55,28,22.85714242607355,45.08928590055023,0.2800875220700479,0.5525164136610093
80,34,13.382352417444482,35.073529457782996,0.19912471868407544,0.5218818387591343
36,23,34.56521661061308,51.6304346692303,0.34792121752477057,0.5196936531257317
23,23,35.869564763877705,51.413043450726114,0.361050323662664,0.5175054701823635
60,40,14.874999998137355,28.562500067055225,0.2603938730527327,0.5000000011738333
82,33,11.212120560759848,34.54545438289642,0.16192559234357767,0.49890590574861354
45,35,0.8571427634784153,32.42857146475996,0.013129101409953846,0.4967177248431504
5,21,35.47619010011355,51.30952354520559,0.32603938385224707,0.4715536080740995
83,34,7.79411783989738,31.47058820571093,0.11597374466368093,0.4682713343519351
77,35,5.428571413670268,29.07142818506275,0.08315098445446799,0.44529539889592834
63,27,17.222221416455728,37.03703708532784,0.20350108457081167,0.4376367620585784
86,41,11.707317179477796,23.53658568931789,0.21006564742170225,0.4223194806398396
26,37,2.8378377794413954,25.202701693853818,0.04595185901064842,0.40809626375168107
97,36,7.916666888114479,25.555555067128605,0.12472648051296334,0.4026258128737986
101,36,20.97222220359577,22.916666770146954,0.33041575462995526,0.3610503298578951
76,25,15.599999487400055,32.599999994039536,0.17067833137199184,0.3566739605474785
93,32,11.093750136205927,24.765624932479113,0.15536105223570662,0.34682713253362435
75,26,11.53846113727643,28.269230846602184,0.13129102388148234,0.32166302057402923
81,31,3.387096830673756,23.2258063410559,0.045951860722488594,0.3150984667714367
9,16,29.6874996740371,39.999999885912985,0.2078774594243298,0.2800875265534388
53,22,8.18181810053912,24.545454868877474,0.07877461628527818,0.2363238543174199
17,38,11.315789509956774,13.947368383799729,0.18818380804304483,0.23194748296909834
79,22,11.363635754043406,23.181818578053605,0.10940918450282491,0.22319475217382026
59,27,5.740740950460787,18.703703644375008,0.06783370050872703,0.221006563850383
30,20,24.00000013411045,23.250000420957804,0.21006564668805647,0.2035010977764359
105,20,12.000000141561031,20.999999847263098,0.10503282399615782,0.18380743848807962
57,16,11.250000074505806,24.062500440049917,0.07877461758953737,0.16849015625417885
69,28,5.357142877099769,12.857143035424608,0.06564551446774335,0.15754923632030154
25,6,34.16666751727462,56.249999503294625,0.08971553833857668,0.147702405697929
95,32,2.6562499930150807,9.99999986961484,0.037199124628657584,0.14004376185018594
104,34,5.8823528480442135,9.264705604051843,0.08752735091181761,0.13785557572768606
84,18,8.055555458284086,16.111111206312973,0.06345732964950265,0.12691466158145887
94,15,6.000000139077504,16.33333344012499,0.03938730944689828,0.10722100726559074
100,15,4.6666668603817625,15.333333524564901,0.030634574575810255,0.10065645639758142
61,25,1.5999997854232788,9.200000047683716,0.017505468111852066,0.10065645566393562
19,20,7.250000089406967,10.749999899417162,0.06345733119831043,0.09409190283953753
1,14,12.857143793787275,15.000000196908202,0.07877462280657412,0.09190372111891239
41,24,5.833333358168602,8.541666786186397,0.061269146869166936,0.08971553736038229
68,33,5.757575690972082,5.833333335591085,0.0831509837208222,0.08424507661903974
98,21,3.095238008314655,9.04761893408639,0.02844638869785897,0.083150983639306
49,25,12.999999105930328,6.999999776482582,0.14223193770164472,0.0765864308149079
