run,S,P,delta_historical_S,delta_historical_P,passes_historical_target,late3_S,late3_P,frames,prediction_frames,tracklets,actions
B0 seed42,45.20021901936708,47.24288820690543,-5.785559780632916,-12.71882369309457,False,,,2285,2179,106,0
B0 seed52,52.876367723768986,64.478117910334,1.8905889237689877,4.516406010334009,True,,,2285,2179,106,0
Full seed42 (uncalibrated),45.20021901936708,47.24288820690543,-5.785559780632916,-12.71882369309457,False,,,2285,2179,106,0
