arm,completed_epoch,step,metric,value,population,source
b0,4,202748,ct_epoch_core_loss_observation/loss_b0_observation::ct_epoch_core_loss,1.3551002740859985,all_observation_or_mechanism_transactions,output/20260911-023000-29_b0_perf-nuscenes_car_seed42_60ep_bs16/lightning_logs/version_0/ct_epoch_core_loss_observation/loss_b0_observation
b0,1,50687,ct_epoch_core_loss_observation/loss_b0_transaction::ct_epoch_core_loss,2.3095481395721436,all_observation_or_mechanism_transactions,output/20260911-023000-29_b0_perf-nuscenes_car_seed42_60ep_bs16/lightning_logs/version_0/ct_epoch_core_loss_observation/loss_b0_transaction
b0,2,101374,ct_epoch_core_loss_observation/loss_b0_transaction::ct_epoch_core_loss,1.5501227378845215,all_observation_or_mechanism_transactions,output/20260911-023000-29_b0_perf-nuscenes_car_seed42_60ep_bs16/lightning_logs/version_0/ct_epoch_core_loss_observation/loss_b0_transaction
b0,3,152061,ct_epoch_core_loss_observation/loss_b0_transaction::ct_epoch_core_loss,1.4073289632797241,all_observation_or_mechanism_transactions,output/20260911-023000-29_b0_perf-nuscenes_car_seed42_60ep_bs16/lightning_logs/version_0/ct_epoch_core_loss_observation/loss_b0_transaction
b0,4,202748,ct_epoch_core_loss_observation/loss_b0_transaction::ct_epoch_core_loss,1.3551002740859985,all_observation_or_mechanism_transactions,output/20260911-023000-29_b0_perf-nuscenes_car_seed42_60ep_bs16/lightning_logs/version_0/ct_epoch_core_loss_observation/loss_b0_transaction
b0,1,50687,ct_epoch_core_loss_observation/loss_b1_transaction::ct_epoch_core_loss,0.0,all_observation_or_mechanism_transactions,output/20260911-023000-29_b0_perf-nuscenes_car_seed42_60ep_bs16/lightning_logs/version_0/ct_epoch_core_loss_observation/loss_b1_transaction
b0,2,101374,ct_epoch_core_loss_observation/loss_b1_transaction::ct_epoch_core_loss,0.0,all_observation_or_mechanism_transactions,output/20260911-023000-29_b0_perf-nuscenes_car_seed42_60ep_bs16/lightning_logs/version_0/ct_epoch_core_loss_observation/loss_b1_transaction
b0,3,152061,ct_epoch_core_loss_observation/loss_b1_transaction::ct_epoch_core_loss,0.0,all_observation_or_mechanism_transactions,output/20260911-023000-29_b0_perf-nuscenes_car_seed42_60ep_bs16/lightning_logs/version_0/ct_epoch_core_loss_observation/loss_b1_transaction
b0,4,202748,ct_epoch_core_loss_observation/loss_b1_transaction::ct_epoch_core_loss,0.0,all_observation_or_mechanism_transactions,output/20260911-023000-29_b0_perf-nuscenes_car_seed42_60ep_bs16/lightning_logs/version_0/ct_epoch_core_loss_observation/loss_b1_transaction
b0,1,50687,ct_epoch_core_loss_observation/loss_b2_transaction::ct_epoch_core_loss,0.0,all_observation_or_mechanism_transactions,output/20260911-023000-29_b0_perf-nuscenes_car_seed42_60ep_bs16/lightning_logs/version_0/ct_epoch_core_loss_observation/loss_b2_transaction
b0,2,101374,ct_epoch_core_loss_observation/loss_b2_transaction::ct_epoch_core_loss,0.0,all_observation_or_mechanism_transactions,output/20260911-023000-29_b0_perf-nuscenes_car_seed42_60ep_bs16/lightning_logs/version_0/ct_epoch_core_loss_observation/loss_b2_transaction
b0,3,152061,ct_epoch_core_loss_observation/loss_b2_transaction::ct_epoch_core_loss,0.0,all_observation_or_mechanism_transactions,output/20260911-023000-29_b0_perf-nuscenes_car_seed42_60ep_bs16/lightning_logs/version_0/ct_epoch_core_loss_observation/loss_b2_transaction
b0,4,202748,ct_epoch_core_loss_observation/loss_b2_transaction::ct_epoch_core_loss,0.0,all_observation_or_mechanism_transactions,output/20260911-023000-29_b0_perf-nuscenes_car_seed42_60ep_bs16/lightning_logs/version_0/ct_epoch_core_loss_observation/loss_b2_transaction
b0,1,50687,ct_epoch_core_loss_observation/loss_b3_transaction::ct_epoch_core_loss,0.0,all_observation_or_mechanism_transactions,output/20260911-023000-29_b0_perf-nuscenes_car_seed42_60ep_bs16/lightning_logs/version_0/ct_epoch_core_loss_observation/loss_b3_transaction
b0,2,101374,ct_epoch_core_loss_observation/loss_b3_transaction::ct_epoch_core_loss,0.0,all_observation_or_mechanism_transactions,output/20260911-023000-29_b0_perf-nuscenes_car_seed42_60ep_bs16/lightning_logs/version_0/ct_epoch_core_loss_observation/loss_b3_transaction
b0,3,152061,ct_epoch_core_loss_observation/loss_b3_transaction::ct_epoch_core_loss,0.0,all_observation_or_mechanism_transactions,output/20260911-023000-29_b0_perf-nuscenes_car_seed42_60ep_bs16/lightning_logs/version_0/ct_epoch_core_loss_observation/loss_b3_transaction
b0,4,202748,ct_epoch_core_loss_observation/loss_b3_transaction::ct_epoch_core_loss,0.0,all_observation_or_mechanism_transactions,output/20260911-023000-29_b0_perf-nuscenes_car_seed42_60ep_bs16/lightning_logs/version_0/ct_epoch_core_loss_observation/loss_b3_transaction
b0,1,50687,ct_epoch_core_loss_observation/loss_bc::ct_epoch_core_loss,0.6445583701133728,all_observation_or_mechanism_transactions,output/20260911-023000-29_b0_perf-nuscenes_car_seed42_60ep_bs16/lightning_logs/version_0/ct_epoch_core_loss_observation/loss_bc
b0,2,101374,ct_epoch_core_loss_observation/loss_bc::ct_epoch_core_loss,0.38569292426109314,all_observation_or_mechanism_transactions,output/20260911-023000-29_b0_perf-nuscenes_car_seed42_60ep_bs16/lightning_logs/version_0/ct_epoch_core_loss_observation/loss_bc
b0,3,152061,ct_epoch_core_loss_observation/loss_bc::ct_epoch_core_loss,0.3460555374622345,all_observation_or_mechanism_transactions,output/20260911-023000-29_b0_perf-nuscenes_car_seed42_60ep_bs16/lightning_logs/version_0/ct_epoch_core_loss_observation/loss_bc
