arm,epoch_zero_based,metric,sample_count,mean_of_logged_batches,minimum_batch_mean,maximum_batch_mean
full_gru,0,loss_mechanism_ct_acquisition_margin_perpendicular_mean::loss_mechanism,240,0.9992362201213837,0.0,1.0193262100219727
full_gru,1,loss_mechanism_ct_acquisition_margin_perpendicular_mean::loss_mechanism,241,1.0001627424445885,1.0000039339065552,1.0016121864318848
full_gru,0,loss_mechanism_ct_b2_extension_presence_target_rate::loss_mechanism,240,0.034895833333333334,0.0,0.1875
full_gru,1,loss_mechanism_ct_b2_extension_presence_target_rate::loss_mechanism,241,0.052385892116182574,0.0,0.25
full_gru,0,loss_mechanism_ct_behavior_accepted_rate::loss_mechanism,240,0.13385416666666666,0.0,0.375
full_gru,1,loss_mechanism_ct_behavior_accepted_rate::loss_mechanism,241,0.12240663900414937,0.0,0.375
full_gru,0,loss_mechanism_ct_vote_candidate_margin_mean::loss_mechanism,240,0.026965915766595572,0.0,0.12103524059057236
full_gru,1,loss_mechanism_ct_vote_candidate_margin_mean::loss_mechanism,241,0.024483823619833162,0.0,0.13830026984214783
full_gru,0,loss_mechanism_motion_v3_kinematic_rmse::loss_mechanism,240,1.5283973823301493,0.0,3.781357765197754
full_gru,1,loss_mechanism_motion_v3_kinematic_rmse::loss_mechanism,241,1.3729201722194544,0.07945837080478668,3.559830904006958
full_gru,0,loss_mechanism_motion_v3_kinematic_rmse_candidate0::loss_mechanism,240,1.5283973823301493,0.0,3.781357765197754
full_gru,1,loss_mechanism_motion_v3_kinematic_rmse_candidate0::loss_mechanism,241,1.3729201722194544,0.07945837080478668,3.559830904006958
full_gru,0,loss_mechanism_motion_v3_kinematic_rmse_candidate_nonzero::loss_mechanism,240,0.0,0.0,0.0
full_gru,1,loss_mechanism_motion_v3_kinematic_rmse_candidate_nonzero::loss_mechanism,241,0.0,0.0,0.0
full_gru,0,loss_mechanism_motion_v3_prior_rmse::loss_mechanism,240,1.4634870245431861,0.0,3.483011484146118
full_gru,1,loss_mechanism_motion_v3_prior_rmse::loss_mechanism,241,1.25555179115864,0.026082104071974754,3.2870728969573975
full_gru,0,loss_mechanism_motion_v3_prior_rmse_candidate0::loss_mechanism,240,1.4634870245431861,0.0,3.483011484146118
full_gru,1,loss_mechanism_motion_v3_prior_rmse_candidate0::loss_mechanism,241,1.25555179115864,0.026082104071974754,3.2870728969573975
full_gru,0,loss_mechanism_motion_v3_prior_rmse_candidate_nonzero::loss_mechanism,240,0.0,0.0,0.0
full_gru,1,loss_mechanism_motion_v3_prior_rmse_candidate_nonzero::loss_mechanism,241,0.0,0.0,0.0
full_gru,0,loss_mechanism_obs_num_points_search_mean::loss_mechanism,240,673.8380208333333,21.9375,3954.0625
full_gru,1,loss_mechanism_obs_num_points_search_mean::loss_mechanism,241,695.5599066390041,10.5625,4294.0
full_gru,0,loss_mechanism_obs_valid_history_ratio::loss_mechanism,240,0.9411458503454924,0.3333333432674408,1.0
full_gru,1,loss_mechanism_obs_valid_history_ratio::loss_mechanism,241,0.9403527168812099,0.7916666865348816,1.0
full_gru,0,loss_mechanism_trajectory_search_valid_mean::loss_mechanism,240,0.36171875,0.0,0.75
full_gru,1,loss_mechanism_trajectory_search_valid_mean::loss_mechanism,241,0.3506224066390041,0.0625,0.8125
full_gru,0,loss_observation_ct_b0_rollin_rows::loss_observation,1019,11.97252208047105,6.0,16.0
full_gru,1,loss_observation_ct_b0_rollin_rows::loss_observation,1015,11.963546798029556,5.0,16.0
full_gru,0,loss_observation_ct_b0_rollin_teacher_rows::loss_observation,1019,4.02747791952895,0.0,10.0
full_gru,1,loss_observation_ct_b0_rollin_teacher_rows::loss_observation,1015,4.036453201970444,0.0,11.0
full_gru,0,loss_observation_obs_num_points_search_mean::loss_observation,1019,370.59003925417073,13.5,2053.625
full_gru,1,loss_observation_obs_num_points_search_mean::loss_observation,1015,332.83380541871924,7.8125,1908.1875
full_gru,0,loss_observation_obs_valid_history_ratio::loss_observation,1019,0.8883709694616226,0.5625,1.0
full_gru,1,loss_observation_obs_valid_history_ratio::loss_observation,1015,0.8928982115731451,0.625,1.0
