arm,completed_epoch,loss,raw_epoch_mean,weight,weighted_contribution,percent_of_total
b0,1,loss_seg,0.1860111951828003,0.1,0.01860111951828003,0.8054008141058272
b0,2,loss_seg,0.10938067734241486,0.1,0.010938067734241486,0.7056259138014355
b0,3,loss_seg,0.09902715682983398,0.1,0.009902715682983398,0.7036532283045972
b0,4,loss_seg,0.09229206293821335,0.1,0.009229206293821336,0.6810718343368605
b0,1,loss_bc,0.6445583701133728,1,0.6445583701133728,27.908418927036557
b0,2,loss_bc,0.38569292426109314,1,0.38569292426109314,24.88144421308565
b0,3,loss_bc,0.3460555374622345,1,0.3460555374622345,24.589527146216465
b0,4,loss_bc,0.330208957195282,1,0.330208957195282,24.36786144243123
b0,1,loss_center,0.109165258705616,2,0.218330517411232,9.45338673268265
b0,2,loss_center,0.07824404537677765,2,0.1564880907535553,10.095206458755467
b0,3,loss_center,0.07168307900428772,2,0.14336615800857544,10.187110600954757
b0,4,loss_center,0.069615937769413,2,0.139231875538826,10.274654813477659
b0,1,loss_center_aux,0.39351537823677063,2,0.7870307564735413,34.077261391024436
b0,2,loss_center_aux,0.28812548518180847,2,0.5762509703636169,37.17453826592056
b0,3,loss_center_aux,0.26459020376205444,2,0.5291804075241089,37.60175632930022
b0,4,loss_center_aux,0.2573406994342804,2,0.5146813988685608,37.98105636246795
b0,1,loss_center_motion,0.2379702925682068,2,0.4759405851364136,20.60751958279528
b0,2,loss_center_motion,0.1633097529411316,2,0.3266195058822632,21.070557698418533
b0,3,loss_center_motion,0.14692965149879456,2,0.2938593029975891,20.880640608203052
b0,4,loss_center_motion,0.14060848951339722,2,0.28121697902679443,20.752484845925697
b0,1,loss_center_ref,0.20012535154819489,0.2,0.04002507030963898,1.7330260246081661
b0,2,loss_center_ref,0.14019648730754852,0.2,0.028039297461509707,1.8088436983883873
b0,3,loss_center_ref,0.12967322766780853,0.2,0.025934645533561708,1.8428275271989036
b0,4,loss_center_ref,0.12584291398525238,0.2,0.025168582797050476,1.8573225375536457
b0,1,loss_angle,0.00036219312460161746,10.0,0.0036219312460161746,0.15682423691273034
b0,2,loss_angle,0.00026977775269187987,10.0,0.0026977775269187987,0.17403638182873835
b0,3,loss_angle,0.00023998609685804695,10.0,0.0023998609685804695,0.17052594178035596
b0,4,loss_angle,0.000215109481359832,10.0,0.00215109481359832,0.15874063748154812
b0,1,loss_angle_aux,0.006223101168870926,10.0,0.06223101168870926,2.694510264689174
b0,2,loss_angle_aux,0.001744177658110857,10.0,0.01744177658110857,1.1251868097175102
b0,3,loss_angle_aux,0.0013503390364348888,10.0,0.013503390364348888,0.9595049001819571
b0,4,loss_angle_aux,0.0011894843773916364,10.0,0.011894843773916364,0.877783290387076
b0,1,loss_angle_motion,0.0014081919798627496,10.0,0.014081919798627496,0.6097261865793474
b0,2,loss_angle_motion,0.0009308953303843737,10.0,0.009308953303843737,0.600530079092177
b0,3,loss_angle_motion,0.0008132484508678317,10.0,0.008132484508678317,0.5778666339478927
b0,4,loss_angle_motion,0.0007252533105202019,10.0,0.007252533105202019,0.5352026889739787
b0,1,loss_angle_ref,0.004659113474190235,1,0.004659113474190235,0.20173268503740135
b0,2,loss_angle_ref,0.0009817394893616438,1,0.0009817394893616438,0.06333301650045081
b0,3,loss_angle_ref,0.0006891900557093322,1,0.0006891900557093322,0.04897149662174238
b0,4,loss_angle_ref,0.000574714969843626,1,0.000574714969843626,0.04241125035793129
b0,1,loss_motion_cls,0.4046320617198944,0.1,0.040463206171989445,1.7519966559123323
b0,2,loss_motion_cls,0.35668373107910156,0.1,0.035668373107910156,2.3010031551815944
b0,3,loss_motion_cls,0.34303921461105347,0.1,0.03430392146110535,2.437519752394026
b0,4,loss_motion_cls,0.33492377400398254,0.1,0.03349237740039825,2.4715792654524056
full_cfc,1,loss_seg,0.1860111951828003,0.1,0.01860111951828003,0.8054008141058272
full_cfc,2,loss_seg,0.10938067734241486,0.1,0.010938067734241486,0.7056259138014355
full_cfc,1,loss_bc,0.6445583701133728,1,0.6445583701133728,27.908418927036557
full_cfc,2,loss_bc,0.38569292426109314,1,0.38569292426109314,24.88144421308565
full_cfc,1,loss_center,0.109165258705616,2,0.218330517411232,9.45338673268265
full_cfc,2,loss_center,0.07824404537677765,2,0.1564880907535553,10.095206458755467
full_cfc,1,loss_center_aux,0.39351537823677063,2,0.7870307564735413,34.077261391024436
full_cfc,2,loss_center_aux,0.28812548518180847,2,0.5762509703636169,37.17453826592056
full_cfc,1,loss_center_motion,0.2379702925682068,2,0.4759405851364136,20.60751958279528
full_cfc,2,loss_center_motion,0.1633097529411316,2,0.3266195058822632,21.070557698418533
full_cfc,1,loss_center_ref,0.20012535154819489,0.2,0.04002507030963898,1.7330260246081661
full_cfc,2,loss_center_ref,0.14019648730754852,0.2,0.028039297461509707,1.8088436983883873
full_cfc,1,loss_angle,0.00036219312460161746,10.0,0.0036219312460161746,0.15682423691273034
full_cfc,2,loss_angle,0.00026977775269187987,10.0,0.0026977775269187987,0.17403638182873835
full_cfc,1,loss_angle_aux,0.006223101168870926,10.0,0.06223101168870926,2.694510264689174
full_cfc,2,loss_angle_aux,0.001744177658110857,10.0,0.01744177658110857,1.1251868097175102
full_cfc,1,loss_angle_motion,0.0014081919798627496,10.0,0.014081919798627496,0.6097261865793474
full_cfc,2,loss_angle_motion,0.0009308953303843737,10.0,0.009308953303843737,0.600530079092177
full_cfc,1,loss_angle_ref,0.004659113474190235,1,0.004659113474190235,0.20173268503740135
full_cfc,2,loss_angle_ref,0.0009817394893616438,1,0.0009817394893616438,0.06333301650045081
full_cfc,1,loss_motion_cls,0.4046320617198944,0.1,0.040463206171989445,1.7519966559123323
full_cfc,2,loss_motion_cls,0.35668373107910156,0.1,0.035668373107910156,2.3010031551815944
full_gru,1,loss_seg,0.1860111951828003,0.1,0.01860111951828003,0.8054008141058272
full_gru,2,loss_seg,0.10938067734241486,0.1,0.010938067734241486,0.7056259138014355
full_gru,1,loss_bc,0.6445583701133728,1,0.6445583701133728,27.908418927036557
full_gru,2,loss_bc,0.38569292426109314,1,0.38569292426109314,24.88144421308565
full_gru,1,loss_center,0.109165258705616,2,0.218330517411232,9.45338673268265
full_gru,2,loss_center,0.07824404537677765,2,0.1564880907535553,10.095206458755467
full_gru,1,loss_center_aux,0.39351537823677063,2,0.7870307564735413,34.077261391024436
full_gru,2,loss_center_aux,0.28812548518180847,2,0.5762509703636169,37.17453826592056
full_gru,1,loss_center_motion,0.2379702925682068,2,0.4759405851364136,20.60751958279528
full_gru,2,loss_center_motion,0.1633097529411316,2,0.3266195058822632,21.070557698418533
full_gru,1,loss_center_ref,0.20012535154819489,0.2,0.04002507030963898,1.7330260246081661
full_gru,2,loss_center_ref,0.14019648730754852,0.2,0.028039297461509707,1.8088436983883873
full_gru,1,loss_angle,0.00036219312460161746,10.0,0.0036219312460161746,0.15682423691273034
full_gru,2,loss_angle,0.00026977775269187987,10.0,0.0026977775269187987,0.17403638182873835
full_gru,1,loss_angle_aux,0.006223101168870926,10.0,0.06223101168870926,2.694510264689174
full_gru,2,loss_angle_aux,0.001744177658110857,10.0,0.01744177658110857,1.1251868097175102
full_gru,1,loss_angle_motion,0.0014081919798627496,10.0,0.014081919798627496,0.6097261865793474
full_gru,2,loss_angle_motion,0.0009308953303843737,10.0,0.009308953303843737,0.600530079092177
full_gru,1,loss_angle_ref,0.004659113474190235,1,0.004659113474190235,0.20173268503740135
full_gru,2,loss_angle_ref,0.0009817394893616438,1,0.0009817394893616438,0.06333301650045081
full_gru,1,loss_motion_cls,0.4046320617198944,0.1,0.040463206171989445,1.7519966559123323
full_gru,2,loss_motion_cls,0.35668373107910156,0.1,0.035668373107910156,2.3010031551815944
