frame_id,model,iou,center_distance
1,A1-order,0.9833062903637779,0.01920937271231659
1,A2-order-dyn,0.9833062903637779,0.01920937271231659
1,A2-disp,0.9833062903637779,0.01920937271231659
3,A1-order,0.9504042468442836,0.05815496539415917
3,A2-order-dyn,0.9504042468442836,0.05815496539415917
3,A2-disp,0.9504042468442836,0.05815496539415917
5,A1-order,0.9195112764778942,0.09724710792613339
5,A2-order-dyn,0.9195112764778942,0.09724710792613339
5,A2-disp,0.9195112764778942,0.09724710792613339
7,A1-order,0.8894572183802109,0.13619104228987347
7,A2-order-dyn,0.8894572183802109,0.13619104228987347
7,A2-disp,0.8894572183802109,0.13619104228987347
9,A1-order,0.8610614214077082,0.1746081326857042
9,A2-order-dyn,0.8610614214077082,0.1746081326857042
9,A2-disp,0.8610614214077082,0.1746081326857042
11,A1-order,0.7722805476058537,0.3270505871817225
11,A2-order-dyn,0.8195189859392308,0.23598770220108317
11,A2-disp,0.7490572319820855,0.2841394147691551
13,A1-order,0.7610233583992723,0.3189654498004449
13,A2-order-dyn,0.7492848061935601,0.253691669237044
13,A2-disp,0.6670925000402727,0.3211950435541011
15,A1-order,0.7420156669103241,0.33786919581122793
15,A2-order-dyn,0.7035091812132792,0.3436772363902054
15,A2-disp,0.623196516625932,0.38980990071750043
17,A1-order,0.6896730241422863,0.4272196951346115
17,A2-order-dyn,0.6620567454822703,0.40912371016932947
17,A2-disp,0.5562123114205583,0.5220023370018688
19,A1-order,0.6704830273239718,0.43640555921120944
19,A2-order-dyn,0.6193087607169447,0.4453569465711315
19,A2-disp,0.4693941930756203,0.6614127874639631
21,A1-order,0.6655609759024629,0.4560088618934627
21,A2-order-dyn,0.5838611690728426,0.5156647712992832
21,A2-disp,0.4290743951705953,0.788590218967739
23,A1-order,0.6771434433431854,0.4080341800569476
23,A2-order-dyn,0.5933857198437071,0.5326473459418579
23,A2-disp,0.47451838781134215,0.627448040280196
25,A1-order,0.4806442357519528,1.1728084535805272
25,A2-order-dyn,0.5925947979826784,0.6191442631319057
25,A2-disp,0.5152657520487067,0.5568583092171119
