arm,final_success,late3_success,final_precision,late3_precision,runtime_fps_final,runtime_fps_mean,validation_points
B0,50.690372467041016,50.18490219116211,59.28009033203125,57.03756586710612,20.801467895507812,18.611060078938802,60
B1-only,33.44310760498047,33.34901809692383,35.137855529785156,34.966084798177086,7.552331924438477,8.856061895688375,60
B1+B2,47.852298736572266,47.6706797281901,54.57002639770508,52.13968022664388,10.320636749267578,13.581691678365072,60
Full,52.55251693725586,50.281182607014976,61.19365692138672,58.94967269897461,6.040872097015381,11.99164613087972,60
