run,tracklet_key,success,precision,mean_iou,mean_center_error,frame_count,empty_fallback_count,failure_count,max_failure_streak,first_failure_frame_index,first_failure_source_frame_index,first_persistent_failure_frame_index,first_persistent_failure_source_frame_index,path_variance_count,path_center_gap_mean,path_yaw_gap_mean
fixed,e5cabb9d6b474377a206feab4ec64d3f,70.83333333333333,88.75,0.7186492159354936,0.2254546052015786,6,0,0,0,,,,,0,,
fixed,64ce64c25d424c3088db384021d8dbb3,84.16666666666669,93.75,0.8435361089002664,0.11243666631396247,6,0,0,0,,,,,0,,
fixed,3eff2b1ecf29497e9967dd21509431fe,56.94444444444444,78.88888888888889,0.5730637041373076,0.4429719990590957,9,0,0,0,,,,,0,,
fixed,65acd0cbce474d9cb2eef362a1b279be,56.19047619047619,54.76190476190476,0.5591596866167924,0.9207865824815255,21,2,0,0,,,,,0,,
fixed,a9916751b03c494dafa2eddc4496e702,82.67857142857142,91.25000000000001,0.8288154697868769,0.16067752876010696,14,0,0,0,,,,,0,,
fixed,bbe3bc5ca1434a2ea802f5ed5062785e,76.73076923076924,89.23076923076923,0.7646021958651031,0.201963686398258,13,0,0,0,,,,,0,,
fixed,6786acf4f6b644639d550c608785320f,36.71052631578948,58.68421052631578,0.3664821057571265,0.8264501287495287,19,0,0,0,,,,,0,,
fixed,856aeb4fa2024f1284c6290a44e9dec5,64.24999999999999,82.625,0.6468174968149774,0.34061340944043084,20,0,0,0,,,,,0,,
fixed,29d3fb54f8b746118133456815b12eeb,82.88461538461539,92.6923076923077,0.8287208470160699,0.157458440762599,13,0,0,0,,,,,0,,
fixed,2197057ff31949819b309f2c7ec9a113,69.72222222222223,85.69444444444446,0.6982205308687781,0.28194200830436356,18,0,0,0,,,,,0,,
fixed,29f69a7cb2c544c8a5ef26437a48e021,59.11764705882352,79.70588235294117,0.5829643290290906,0.40720787888819115,17,0,0,0,,,,,0,,
fixed,a661e4cd1f644266a8307b4948082ae7,62.205882352941174,82.05882352941177,0.6200951006833985,0.3707871602490313,17,0,0,0,,,,,0,,
fixed,9ca01ff2a1b54d2eafaed768e58783ad,57.22222222222222,77.08333333333333,0.5711283945961931,0.47049810714693396,18,0,0,0,,,,,0,,
fixed,a1cc58fdb3fa4a0097a315a77ce1be90,65.25000000000001,81.74999999999999,0.6466201757085555,0.3598388131758115,10,0,0,0,,,,,0,,
fixed,307a3275c31f452eb9c7c66636c7bb27,60.0,77.27272727272727,0.6038492585202225,0.44296157184621326,11,0,0,0,,,,,0,,
fixed,d71462c2ae74472bae3adbf7a41b2fc7,48.45238095238095,67.14285714285714,0.48130396825101907,0.6508859771910176,21,0,0,0,,,,,0,,
fixed,6ad58d370ed542a9a68e1fcf5a4f2ee7,32.94117647058823,45.147058823529406,0.32002543358304497,1.123369945652253,17,3,3,3,14,26,14,26,0,,
fixed,55527032f0174fefa3b051a24707bf08,60.357142857142854,75.47619047619048,0.6025256152278938,0.49345369387054056,21,0,0,0,,,,,0,,
fixed,fa6ddc168ffb4ab88b718f719357211e,66.91176470588235,84.70588235294117,0.6744232393024544,0.3046487775806506,17,0,0,0,,,,,0,,
fixed,77268b95b44a4b89ad17df89479de81c,25.57692307692308,43.07692307692308,0.25041490352632717,1.1364592115244452,13,0,0,0,,,,,0,,
fixed,e3f3d97fa9564422a37828d01c8a2f5f,71.9230769230769,87.3076923076923,0.7242308040668562,0.25812219117174195,13,0,0,0,,,,,0,,
fixed,ec221beba32448e4a9865e920aeefed5,46.470588235294116,61.17647058823529,0.46907310640585287,0.7776846096728631,17,0,0,0,,,,,0,,
fixed,ca3f0ced132845b4afce73a6f27a953e,84.16666666666666,92.77777777777779,0.8401331014513507,0.13191053926974106,9,0,0,0,,,,,0,,
fixed,fe050ab6b19d41d8bc2641f9835e9d1b,40.44117647058824,57.79411764705882,0.4069275588018632,0.837172358592338,17,4,1,1,16,31,,,0,,
fixed,0b2ef8648d3c467989b67d5a3ce2a3df,14.250000000000002,10.0,0.12163148956713361,6.000854174835817,10,6,9,9,1,1,1,1,0,,
fixed,8fba9861aa6d4d14b78c90fbb5372fb2,47.125000000000014,68.125,0.4674394563431772,0.6325779066272823,20,0,0,0,,,,,0,,
fixed,3eb275ac391e46aa8fad54e18a7b5a8f,48.95833333333333,71.04166666666667,0.47736143057856856,0.5718082853275113,12,0,0,0,,,,,0,,
fixed,fd4ce422e0db4ad3ab978a811ba04d3a,54.37499999999999,74.875,0.548304390208871,0.49746804778956183,20,0,0,0,,,,,0,,
fixed,2e84949acbd84ea3857ca2a04e50b6a4,45.83333333333333,66.1111111111111,0.4656023436135989,0.6675616242979628,9,0,0,0,,,,,0,,
fixed,52770232202d4ad1a98ed07d5b4c20b9,68.25000000000001,80.375,0.683267153054289,0.38830151229416243,20,2,0,0,,,,,0,,
fixed,ec5241e32939433baeb2b3955920b28c,71.91176470588235,87.3529411764706,0.7198384330843729,0.25435540629981435,17,0,0,0,,,,,0,,
fixed,7a2612095f7840048f58d69a07e836a5,73.39285714285715,79.82142857142858,0.7372084459618122,0.4025803889613097,14,0,0,0,,,,,0,,
fixed,ec2a550c52b240d98c9c3bca3d06602f,44.861111111111114,66.80555555555556,0.44994942324030124,0.6664348267123852,18,4,0,0,,,,,0,,
fixed,85269a87307a4ee3967e37b496e32280,42.291666666666664,66.875,0.421877333654185,0.6756201553315253,12,0,0,0,,,,,0,,
shuffled,8ce4fe54af77467d90c840465f69677f,79.66666666666667,85.66666666666667,0.7979029585331978,0.2865268359093186,15,5,0,0,,,,,0,,
shuffled,f4af7fd215ee47aa8b64bac0443d7be8,89.16666666666669,93.88888888888889,0.8882171586765052,0.12831625656949253,9,0,0,0,,,,,0,,
shuffled,f2d9e6f194ee446eafc7a79fcb32994a,93.21428571428572,96.42857142857143,0.9288065407492839,0.056280848259530204,7,0,0,0,,,,,0,,
shuffled,9e5f09bc19cd473dae219194ada64f3d,83.125,89.375,0.8282996292296027,0.21260407250638902,12,0,0,0,,,,,0,,
shuffled,f5c0c1968ef0486cb3183e521841352f,91.04166666666667,94.375,0.9071346001769168,0.10825807820719528,12,5,0,0,,,,,0,,
shuffled,e561b60694dc4514b6dddcfc5a5b6a90,87.5,92.77777777777779,0.8784937981611513,0.12660580507975047,9,0,0,0,,,,,0,,
shuffled,c283b224a9984736bff67a2f347866fa,23.75,23.75,0.2239472551331435,14.94420925402234,8,0,5,5,3,4,3,4,0,,
shuffled,a6ca1e8c4eee458cb4981e02f58c954f,82.5,93.33333333333333,0.8346853586269583,0.1325632471340607,9,0,0,0,,,,,0,,
shuffled,898c8b3c29d64d80806dd5e5fc6c02d3,90.00000000000001,96.24999999999999,0.9146242029554026,0.057880319422451344,6,0,0,0,,,,,0,,
shuffled,19f5d51759454803ae8bbc45bfb92737,71.24999999999999,83.74999999999999,0.7140770179020124,0.33348192886048694,6,0,0,0,,,,,0,,
shuffled,dc762bf1bc694d3e8141bf592f9b1456,29.464285714285715,27.499999999999996,0.28562103166179437,9.356942045092183,14,1,9,9,5,9,5,9,0,,
shuffled,e73ba8faf67d40c8b6b653489393ef8b,71.61764705882352,82.35294117647058,0.7194283374156812,0.3569210132662545,17,5,0,0,,,,,0,,
shuffled,68dbf490d231446f92fa7dbd366c8b93,86.73076923076925,92.6923076923077,0.8659169448010875,0.1456574876006896,13,7,0,0,,,,,0,,
shuffled,713b6bedc51f4d1b9802a13aec39aaf3,81.11111111111111,89.44444444444444,0.816361761037206,0.19369761536521743,9,0,0,0,,,,,0,,
shuffled,200c440c0e9b4627ad4f3047227016a2,7.023809523809524,4.761904761904763,0.048177890485978724,33.58094653399233,21,15,20,20,1,1,1,1,0,,
shuffled,007842c92eaf4351b5a9678f7e7094f3,78.33333333333333,91.25000000000001,0.7897056445925362,0.1750048693326157,6,0,0,0,,,,,0,,
shuffled,1f8d7e8410ed435da374688590a13b0a,74.79166666666667,88.125,0.7535269740108076,0.24081257731606032,12,1,0,0,,,,,0,,
shuffled,7328a1bef88b4e84aa2ee0d837effd8d,97.85714285714286,97.85714285714286,0.9851860469611885,0.012997261891712839,7,0,0,0,,,,,0,,
shuffled,dce1fda2d70945c792dcc27074ec6aa9,39.37500000000001,57.12499999999999,0.3956740748609809,1.7349931726705883,20,0,4,4,16,32,16,32,0,,
shuffled,2a42fd0e123c455fbaeb1c5f03dba0b2,88.84615384615387,94.61538461538461,0.8874558236762323,0.10007433587888072,13,0,0,0,,,,,0,,
shuffled,f3995943006145ca8a7bc375527f0aba,13.33333333333333,11.111111111111112,0.11606885258581243,30.555660992568026,9,4,8,8,1,1,1,1,0,,
shuffled,2cc84e32d40647b185276f8d7baf5322,53.33333333333332,63.74999999999999,0.5341976279519416,0.7241055197548025,6,0,0,0,,,,,0,,
shuffled,d0f5aace57684923b8a44b554b006fb2,36.375,63.625,0.3647486215549685,0.7305949449538268,20,1,0,0,,,,,0,,
shuffled,84755505e70547af890aff9db860f692,77.50000000000001,70.78125,0.7742254555123214,0.6014203678273708,16,5,1,1,15,27,,,0,,
shuffled,349232409f354033b215b5e37c3312ab,84.16666666666669,89.375,0.8477293937288065,0.20229249916688466,12,6,0,0,,,,,0,,
shuffled,f7f666bf92c049bea8fabc42a8831005,96.45833333333333,97.70833333333333,0.9688569535341749,0.020615636801348765,12,0,0,0,,,,,0,,
shuffled,b9df4a8540da4a3a94d7911ead8c1bc8,69.58333333333331,81.25,0.7005573921653183,0.3737787753319979,6,0,0,0,,,,,0,,
shuffled,06ff24b7f1e8479b934f1b74348028bc,33.67647058823529,41.029411764705884,0.3266589099254336,2.332943393035142,17,0,5,5,12,24,12,24,0,,
shuffled,96c353e8f14d4a63ba2b844d43cffc42,75.76923076923077,84.61538461538463,0.7587620121139838,0.2980764125553556,13,0,0,0,,,,,0,,
shuffled,eaaf60765ee8478f8e0bd4942571c6fb,41.42857142857142,66.19047619047619,0.41676809425349476,0.678323233395764,21,0,0,0,,,,,0,,
shuffled,802bbdc22d21477f8803a39a5e7e98bf,74.64285714285714,82.85714285714285,0.7476004459977738,0.3619594814695855,7,1,0,0,,,,,0,,
shuffled,ebb251e1e8b144c697dc28c22bb44b13,79.16666666666667,91.25000000000001,0.793294477609845,0.190893982541658,6,2,0,0,,,,,0,,
shuffled,377df4ee88ec46c9be892080557263f6,83.26923076923077,90.76923076923077,0.8401650937412687,0.17644013368648384,13,4,0,0,,,,,0,,
shuffled,9c5151b34911482f8155ab55c3f5d32f,17.5,14.285714285714285,0.16270433223394984,21.365000861235245,7,0,6,6,1,1,1,1,0,,
shuffled,3620feb00d744241a94855f3a8913a78,52.763157894736835,76.05263157894736,0.5342651931889832,0.4782676462014961,19,0,0,0,,,,,0,,
shuffled,6346de1c47584b34833d6df500d2ed6c,82.11538461538461,90.76923076923077,0.8244597933069386,0.17283244276800622,13,0,0,0,,,,,0,,
shuffled,db7d65690f2e412e887468596e2ddabf,78.84615384615384,90.76923076923077,0.7900607546874171,0.19098593552902304,13,0,0,0,,,,,0,,
shuffled,0bfc7d407d09490cba7ac57897fcb100,80.76923076923076,89.23076923076923,0.8151723503387073,0.20172499056623389,13,0,0,0,,,,,0,,
shuffled,045cd82a77a1472499e8c15100cb5ff3,9.705882352941176,5.88235294117647,0.0764236459970329,10.760952911107557,17,3,16,16,1,1,1,1,0,,
shuffled,48d06a263b314b48bd41343ea5f5d158,79.84375000000003,88.59375,0.7998572422561967,0.227115109119278,16,5,0,0,,,,,0,,
shuffled,7581fd7e9c0f426cb0efb9ea1f3f2830,88.46153846153845,93.84615384615384,0.8868493180911604,0.12199714124469348,13,0,0,0,,,,,0,,
