run,endpoint_count,tracklet_count,success,precision,mean_iou,mean_center_error,empty_fallback_count,path_center_gap_mean,path_yaw_gap_mean
true,1257,91,59.06324582338903,70.85719968178202,0.589541437148234,2.1007490746483564,113,,
fixed,1257,91,59.19053301511538,70.84327764518694,0.5908114501649098,2.124840909593592,111,,
shuffled,1257,91,59.38146380270485,71.06603023070804,0.5929261374476835,2.0725767908899706,111,,
