arm,epoch,view0_loss_mean,batches,population
B1-CfC,35,0.3365844427242297,1057,B0 observation canonical view0
B1-CfC,36,0.3353553982795187,1057,B0 observation canonical view0
B1-CfC,37,0.3305807081963109,1057,B0 observation canonical view0
B1-CfC,38,0.3165668010775109,1057,B0 observation canonical view0
B1-CfC,39,0.32801767702980095,1057,B0 observation canonical view0
B1-CfC,40,0.33031709529388986,1057,B0 observation canonical view0
B1-CfC,41,0.31112433681326196,1057,B0 observation canonical view0
B1-CfC,42,0.3177286676935633,1057,B0 observation canonical view0
B1-CfC,43,0.32286976373868104,1057,B0 observation canonical view0
B1-CfC,44,0.31437425711170164,1057,B0 observation canonical view0
B1-CfC,45,0.3048253640842641,1057,B0 observation canonical view0
B1-CfC,46,0.31003636620804853,1057,B0 observation canonical view0
B1-CfC,47,0.29931169278856257,1057,B0 observation canonical view0
B1-CfC,48,0.3117655369478684,1057,B0 observation canonical view0
B1-CfC,49,0.3037515410531379,1057,B0 observation canonical view0
B1-CfC,50,0.3049158940696164,1057,B0 observation canonical view0
B1-CfC,51,0.30267925936880263,1057,B0 observation canonical view0
B1-CfC,52,0.303355282616635,1057,B0 observation canonical view0
B1-CfC,53,0.302112975111099,1057,B0 observation canonical view0
B1-CfC,54,0.31048736672288085,1057,B0 observation canonical view0
B1-CfC,55,0.30350738976682934,1057,B0 observation canonical view0
B1-CfC,56,0.302357453253744,1057,B0 observation canonical view0
B1-CfC,57,0.29760415194416906,1057,B0 observation canonical view0
B1-CfC,58,0.3060701330357153,1057,B0 observation canonical view0
B1-CfC,59,0.31279070795555103,1057,B0 observation canonical view0
B1-CfC,60,0.30444788977207726,1057,B0 observation canonical view0
B1-GRU,1,7.301362412090897,1057,B0 observation canonical view0
B1-GRU,2,2.6502081878137904,1057,B0 observation canonical view0
B1-GRU,3,1.4701469568791206,1057,B0 observation canonical view0
B1-GRU,4,1.1568553433766766,1057,B0 observation canonical view0
B1-GRU,5,1.038024381056865,1057,B0 observation canonical view0
B1-GRU,6,0.9300429414016748,1057,B0 observation canonical view0
B1-GRU,7,0.8872288194685019,1057,B0 observation canonical view0
B1-GRU,8,0.8068670831416278,1057,B0 observation canonical view0
B1-GRU,9,0.7565601757791883,1057,B0 observation canonical view0
B1-GRU,10,0.7296252969719378,1057,B0 observation canonical view0
B1-GRU,11,0.7188905719227123,1057,B0 observation canonical view0
B1-GRU,12,0.6780295209322995,1057,B0 observation canonical view0
B1-GRU,13,0.6549664452361857,1057,B0 observation canonical view0
B1-GRU,14,0.6038588230042606,1057,B0 observation canonical view0
B1-GRU,15,0.5934765099238537,1057,B0 observation canonical view0
B1-GRU,16,0.5844679870268255,1057,B0 observation canonical view0
B1-GRU,17,0.5652091283079804,1057,B0 observation canonical view0
B1-GRU,18,0.563889674458198,1057,B0 observation canonical view0
B1-GRU,19,0.546523524231525,1057,B0 observation canonical view0
B1-GRU,20,0.5208597647990104,1057,B0 observation canonical view0
B1-GRU,21,0.4324307276945748,1057,B0 observation canonical view0
B1-GRU,22,0.4070069787877567,1057,B0 observation canonical view0
B1-GRU,23,0.38271356441341375,1057,B0 observation canonical view0
B1-GRU,24,0.3921663337153653,1057,B0 observation canonical view0
B1-GRU,25,0.396749359163453,1057,B0 observation canonical view0
B1-GRU,26,0.3711349178130264,1057,B0 observation canonical view0
B1-GRU,27,0.3751069713338096,1057,B0 observation canonical view0
B1-GRU,28,0.36003240597916303,1057,B0 observation canonical view0
B1-GRU,29,0.3668190924875445,1057,B0 observation canonical view0
B1-GRU,30,0.36385099045304947,1057,B0 observation canonical view0
B1-GRU,31,0.3435836981351125,1057,B0 observation canonical view0
B1-GRU,32,0.3443982203472529,1057,B0 observation canonical view0
B1-GRU,33,0.34539719111688766,1057,B0 observation canonical view0
B1-GRU,34,0.3395294089649179,1057,B0 observation canonical view0
B1-GRU,35,0.35515493897821615,1057,B0 observation canonical view0
B1-GRU,36,0.3380829517852053,1057,B0 observation canonical view0
B1-GRU,37,0.33697817003391434,1057,B0 observation canonical view0
B1-GRU,38,0.3312363024719955,1057,B0 observation canonical view0
B1-GRU,39,0.33688364012647937,1057,B0 observation canonical view0
B1-GRU,40,0.3325531032137298,1057,B0 observation canonical view0
B1-GRU,41,0.32697588047091986,1057,B0 observation canonical view0
B1-GRU,42,0.3182226444683553,1057,B0 observation canonical view0
B1-GRU,43,0.33124311925630134,1057,B0 observation canonical view0
B1-GRU,44,0.3180376733869117,1057,B0 observation canonical view0
B1-GRU,45,0.3133669624575603,1057,B0 observation canonical view0
B1-GRU,46,0.3269158504505059,1057,B0 observation canonical view0
B1-GRU,47,0.3155870054625574,1057,B0 observation canonical view0
B1-GRU,48,0.3205531194573489,1057,B0 observation canonical view0
B1-GRU,49,0.3062209218525475,1057,B0 observation canonical view0
B1-GRU,50,0.3191002126018338,1057,B0 observation canonical view0
B1-GRU,51,0.3153865042344342,1057,B0 observation canonical view0
B1-GRU,52,0.3096854269730109,1057,B0 observation canonical view0
B1-GRU,53,0.319935169758217,1057,B0 observation canonical view0
B1-GRU,54,0.3178721716030093,1057,B0 observation canonical view0
B1-GRU,55,0.3109056612189468,1057,B0 observation canonical view0
B1-GRU,56,0.31084349807510425,1057,B0 observation canonical view0
B1-GRU,57,0.3184206438732801,1057,B0 observation canonical view0
B1-GRU,58,0.29967625054831254,1057,B0 observation canonical view0
B1-GRU,59,0.3103727859919829,1057,B0 observation canonical view0
B1-GRU,60,0.3165454006804085,1057,B0 observation canonical view0
B1+B2,1,7.289935869209701,1057,B0 observation canonical view0
B1+B2,2,2.6396350158535316,1057,B0 observation canonical view0
B1+B2,3,1.4887477507710796,1057,B0 observation canonical view0
B1+B2,4,1.179949999588666,1057,B0 observation canonical view0
B1+B2,5,1.0334668050933358,1057,B0 observation canonical view0
B1+B2,6,0.9307298031666421,1057,B0 observation canonical view0
B1+B2,7,0.8916727990024814,1057,B0 observation canonical view0
B1+B2,8,0.8041051485863855,1057,B0 observation canonical view0
B1+B2,9,0.7528223848867326,1057,B0 observation canonical view0
B1+B2,10,0.7332114449851109,1057,B0 observation canonical view0
B1+B2,11,0.7086816557745609,1057,B0 observation canonical view0
B1+B2,12,0.649304944891465,1057,B0 observation canonical view0
B1+B2,13,0.6564745985838526,1057,B0 observation canonical view0
B1+B2,14,0.6252918595389984,1057,B0 observation canonical view0
B1+B2,15,0.5826064810410579,1057,B0 observation canonical view0
B1+B2,16,0.5597066232686124,1057,B0 observation canonical view0
B1+B2,17,0.5834723124060297,1057,B0 observation canonical view0
B1+B2,18,0.5556311324140094,1057,B0 observation canonical view0
B1+B2,19,0.5322855488946107,1057,B0 observation canonical view0
B1+B2,20,0.5089774700789206,1057,B0 observation canonical view0
B1+B2,21,0.45139672984999085,1057,B0 observation canonical view0
B1+B2,22,0.4062595933309228,1057,B0 observation canonical view0
B1+B2,23,0.3896058160307673,1057,B0 observation canonical view0
B1+B2,24,0.3891330514148991,1057,B0 observation canonical view0
B1+B2,25,0.38744058195667214,1057,B0 observation canonical view0
B1+B2,26,0.3682995432795729,1057,B0 observation canonical view0
B1+B2,27,0.37060286943838633,1057,B0 observation canonical view0
B1+B2,28,0.3597826228010959,1057,B0 observation canonical view0
B1+B2,29,0.3669366082855013,1057,B0 observation canonical view0
B1+B2,30,0.34202167249038856,1057,B0 observation canonical view0
B1+B2,31,0.34812955268594376,1057,B0 observation canonical view0
B1+B2,32,0.3486031141614959,1057,B0 observation canonical view0
B1+B2,33,0.33842270474708236,1057,B0 observation canonical view0
B1+B2,34,0.33842880325347835,1057,B0 observation canonical view0
B1+B2,35,0.3393750789266013,1057,B0 observation canonical view0
B1+B2,36,0.3320785847227305,1057,B0 observation canonical view0
