tracklet_id,endpoint_count,search_valid_rate,router_applied_rate,observation_error_mean,raw_search_error_mean,final_error_mean,selected_helpful_precision,selected_harm_rate
0,2,0.0,0.0,0.01543566560298191,nan,0.01543566560298191,nan,nan
1,1,0.0,0.0,1.229913840828134,nan,1.229913840828134,nan,nan
2,21,0.0,0.0,12.27375730865408,nan,12.27375730865408,nan,nan
3,1,0.0,0.0,0.11484506156230137,nan,0.11484506156230137,nan,nan
4,35,0.0,0.0,2.5874141864855806,nan,2.5874141864855806,nan,nan
5,8,0.0,0.0,1.4000034704083104,nan,1.4000034704083104,nan,nan
6,38,0.0,0.0,5.684064510790908,nan,5.684064510790908,nan,nan
7,39,0.0,0.0,0.7846957724231033,nan,0.7846957724231033,nan,nan
8,30,0.0,0.0,6.613013917505682,nan,6.613013917505682,nan,nan
9,36,0.0,0.0,12.963589303584463,nan,12.963589303584463,nan,nan
10,33,0.0,0.0,1.1497295404110897,nan,1.1497295404110897,nan,nan
11,23,0.0,0.0,6.868896545239667,nan,6.868896545239667,nan,nan
12,14,0.0,0.0,3.496267854825972,nan,3.496267854825972,nan,nan
13,30,0.0,0.0,16.526767506815865,nan,16.526767506815865,nan,nan
