tracklet_id,endpoint_count,search_valid_rate,router_applied_rate,observation_error_mean,raw_search_error_mean,final_error_mean,selected_helpful_precision,selected_harm_rate
0,2,0.0,0.0,0.01238584969667071,nan,0.01238584969667071,nan,nan
1,1,0.0,0.0,1.2418771691640724,nan,1.2418771691640724,nan,nan
2,21,0.0,0.0,12.22554453107646,nan,12.22554453107646,nan,nan
3,1,0.0,0.0,0.14822784436569408,nan,0.14822784436569408,nan,nan
4,35,0.0,0.0,0.9209177302081891,nan,0.9209177302081891,nan,nan
5,8,0.0,0.0,0.9456490174936147,nan,0.9456490174936147,nan,nan
6,38,0.0,0.0,4.9355642754578035,nan,4.9355642754578035,nan,nan
7,39,0.0,0.0,0.4808855834392159,nan,0.4808855834392159,nan,nan
8,30,0.0,0.0,10.027710975339318,nan,10.027710975339318,nan,nan
9,36,0.0,0.0,12.20347925649542,nan,12.20347925649542,nan,nan
10,33,0.0,0.0,0.6355825905758844,nan,0.6355825905758844,nan,nan
11,23,0.0,0.0,0.6212776298137038,nan,0.6212776298137038,nan,nan
12,13,0.0,0.0,2.5809702334898783,nan,2.5809702334898783,nan,nan
13,30,0.0,0.0,9.175595645193756,nan,9.175595645193756,nan,nan
