run_id,epoch,step,success,precision
B0,5,6310,32.39278030395508,45.43435287475586
B0,10,12620,36.23085403442383,34.963897705078125
B0,15,18930,49.7385139465332,60.41575622558594
B0,20,25240,37.21772384643555,34.47921371459961
B0,25,31550,47.206787109375,49.19694137573242
B0,30,37860,49.83260726928711,55.15973663330078
B0,35,44170,51.539390563964844,63.76258087158203
B0,40,50480,52.79978561401367,63.13019943237305
B0,45,56790,53.066741943359375,61.62582778930664
B0,50,63100,54.13457107543945,64.34353637695312
B0,55,69410,51.21991729736328,60.58753204345703
B0,60,75720,53.359954833984375,64.3818359375
A0,5,6310,34.22210693359375,40.10612487792969
A0,10,12620,25.388404846191406,27.80306625366211
A0,15,18930,27.5306339263916,26.701311111450195
A0,20,25240,31.784465789794922,32.55908203125
A0,25,31550,46.6750602722168,50.935447692871094
A0,30,37860,40.462799072265625,44.26696014404297
A0,35,44170,49.876365661621094,58.69146728515625
A0,40,50480,46.22209930419922,49.34245300292969
A0,45,56790,48.793216705322266,51.47483825683594
A0,50,63100,47.27462387084961,49.667396545410156
A0,55,69410,46.16083526611328,50.155364990234375
A0,60,75720,47.04923629760742,49.18381118774414
A025,5,6310,27.202409744262695,37.95733642578125
A025,10,12620,32.410282135009766,41.13019561767578
A025,15,18930,27.160831451416016,25.74179458618164
A025,20,25240,35.0273551940918,39.73960876464844
A025,25,31550,29.950767517089844,30.108314514160156
A025,30,37860,29.193655014038086,27.835887908935547
A025,35,44170,28.716632843017578,28.576587677001953
A025,40,50480,28.117067337036133,27.424509048461914
A025,45,56790,28.047048568725586,27.226478576660156
A025,50,63100,30.19803237915039,29.968271255493164
A025,55,69410,28.635669708251953,27.71553611755371
A025,60,75720,29.580963134765625,28.862146377563477
A075,5,6310,29.114877700805664,30.53829574584961
A075,10,12620,20.14551544189453,23.26696014404297
A075,15,18930,28.110504150390625,27.134572982788086
A075,20,25240,26.451862335205078,31.211158752441406
A075,25,31550,27.74726676940918,26.91904067993164
A075,30,37860,25.637855529785156,23.998905181884766
A075,35,44170,26.394969940185547,25.560176849365234
A075,40,50480,24.77790069580078,24.07986831665039
A075,45,56790,25.576587677001953,24.75164222717285
A075,50,63100,26.83698272705078,25.963895797729492
A075,55,69410,25.3818359375,24.960613250732422
A075,60,75720,26.02078628540039,24.971555709838867
