run_id,run_label,protocol,time_mode,loss_metric,epoch,batch_points,mean,median,p10,p90
random20_true,random20 · true,random20,true,loss_total,1,1018,6.474051731742904,5.950158596038818,4.005418968200684,9.605438137054445
random20_true,random20 · true,random20,true,loss_total,2,1018,3.8560802833504666,3.578429698944092,2.418646049499512,5.7619910717010505
random20_true,random20 · true,random20,true,loss_total,3,1018,2.8275121110244443,2.5111163854599,1.5647607684135436,4.54338812828064
random20_true,random20 · true,random20,true,loss_total,4,1018,2.3586131081951156,2.028785824775696,1.212609088420868,4.0026759862899794
random20_true,random20 · true,random20,true,loss_total,5,1018,2.0301672891221485,1.7098763585090637,0.9085116744041443,3.7036442041397097
random20_true,random20 · true,random20,true,loss_total,6,1018,1.5416174228568442,1.221616506576538,0.6162677824497222,2.8303077697753913
random20_true,random20 · true,random20,true,loss_total,7,1018,1.3555260310297161,1.0800536274909973,0.559457540512085,2.5385089874267583
random20_true,random20 · true,random20,true,loss_total,8,1018,1.1243123978025085,0.9314887523651123,0.45860068798065184,2.048482680320741
random20_true,random20 · true,random20,true,loss_total,9,1018,1.0027495796823314,0.7932184636592865,0.4369629919528961,1.7223015666008004
random20_true,random20 · true,random20,true,loss_total,10,1018,0.9072008632079557,0.7438417077064514,0.38439721465110777,1.618127274513245
random20_true,random20 · true,random20,true,loss_total,11,1018,0.8542475277349382,0.7063350975513458,0.37748847603797914,1.5247082352638244
random20_true,random20 · true,random20,true,loss_total,12,1018,0.7903595126887202,0.6158018112182617,0.35015569627285004,1.4190361618995666
random20_true,random20 · true,random20,true,loss_total,13,1018,0.774764462719966,0.6269496977329254,0.32286501228809356,1.4012825489044196
random20_true,random20 · true,random20,true,loss_total,14,1018,0.7483943395594717,0.5792175829410553,0.32850612998008727,1.3807536482810976
random20_true,random20 · true,random20,true,loss_total,15,1018,0.687181005133627,0.537661612033844,0.3001062750816345,1.2341324448585513
random20_true,random20 · true,random20,true,loss_total,16,1018,0.6563093061531456,0.5086472630500793,0.29206228256225586,1.1901926875114441
random20_true,random20 · true,random20,true,loss_total,17,1018,0.6597021886665366,0.5347031950950623,0.287590017914772,1.133666729927063
