protocol,loss_metric,loss_label,late_true,late_shuffled,shuffled_to_true_ratio,shuffled_minus_true,late_epoch_window
random20,loss_total,Total loss,0.32691594054016754,0.5057294791782081,1.5469709991583298,0.17881353863804056,45-60
random20,loss_velocity,Velocity auxiliary loss,0.10274635627866864,0.1503339973156482,1.4631564832130142,0.04758764103697956,45-60
random20,loss_dynamics_displacement,Displacement auxiliary loss,0.051984660810506664,0.23089669036692279,4.441631180562711,0.1789120295564161,45-60
random20,loss_center,Center loss,0.025483938151919502,0.04286050507628971,1.6818634867492555,0.01737656692437021,45-60
gap1124,loss_total,Total loss,0.7487611104147274,1.2358837137050949,1.6505714526500417,0.4871226032903675,45-60
gap1124,loss_velocity,Velocity auxiliary loss,0.13864131295006035,0.23486953148404463,1.6940804042201072,0.09622821853398428,45-60
gap1124,loss_dynamics_displacement,Displacement auxiliary loss,0.1035208048107365,0.6183372892026389,5.973072662380509,0.5148164843919023,45-60
gap1124,loss_center,Center loss,0.05751799694284456,0.10178357415394962,1.7695952495545284,0.04426557721110506,45-60
