run_key,model,diagnostic,step,epoch,block_mean
a1_corrected_twc,A1-order + corrected-TWC,loss_twc,28499,22.582408874801903,0.009642953697475604
a1_corrected_twc,A1-order + corrected-TWC,loss_twc,28999,22.978605388272584,0.00856717624713201
a1_corrected_twc,A1-order + corrected-TWC,loss_twc,29499,23.374801901743265,0.00843558431812562
a1_corrected_twc,A1-order + corrected-TWC,loss_twc,29999,23.770998415213946,0.007841230146819726
a1_corrected_twc,A1-order + corrected-TWC,loss_twc,30499,24.167194928684626,0.008590412887395359
a1_corrected_twc,A1-order + corrected-TWC,loss_twc,30999,24.56339144215531,0.008822924303240142
a1_corrected_twc,A1-order + corrected-TWC,loss_twc,31499,24.95958795562599,0.0078814695556066
a1_corrected_twc,A1-order + corrected-TWC,loss_twc,31999,25.355784469096672,0.00814725698775146
a1_corrected_twc,A1-order + corrected-TWC,loss_twc,32499,25.751980982567353,0.008640014596516267
a1_corrected_twc,A1-order + corrected-TWC,loss_twc,32999,26.148177496038034,0.009173568522906862
a1_corrected_twc,A1-order + corrected-TWC,loss_twc,33499,26.544374009508715,0.009873340133053717
a1_corrected_twc,A1-order + corrected-TWC,loss_twc,33999,26.9405705229794,0.007874918449000689
a1_corrected_twc,A1-order + corrected-TWC,loss_twc,34499,27.33676703645008,0.008766668911790475
a1_corrected_twc,A1-order + corrected-TWC,loss_twc,34999,27.73296354992076,0.009657777467044071
a1_corrected_twc,A1-order + corrected-TWC,loss_twc,35499,28.129160063391442,0.008527572723862249
a1_corrected_twc,A1-order + corrected-TWC,loss_twc,35999,28.525356576862123,0.007997059635003098
a1_corrected_twc,A1-order + corrected-TWC,loss_twc,36499,28.921553090332804,0.00824310615286231
a1_corrected_twc,A1-order + corrected-TWC,loss_twc,36999,29.317749603803488,0.008944769340887433
a1_corrected_twc,A1-order + corrected-TWC,loss_twc,37499,29.71394611727417,0.007757320630567847
a1_corrected_twc,A1-order + corrected-TWC,loss_twc,37999,30.11014263074485,0.00776578543370124
a1_corrected_twc,A1-order + corrected-TWC,loss_twc,38499,30.50633914421553,0.008762146397086326
a1_corrected_twc,A1-order + corrected-TWC,loss_twc,38999,30.90253565768621,0.007669611283985432
a1_corrected_twc,A1-order + corrected-TWC,loss_twc,39499,31.298732171156892,0.007876899111550302
a1_corrected_twc,A1-order + corrected-TWC,loss_twc,39999,31.694928684627577,0.0072010912209516395
a1_corrected_twc,A1-order + corrected-TWC,loss_twc,40499,32.091125198098254,0.007845959031372331
a1_corrected_twc,A1-order + corrected-TWC,loss_twc,40999,32.48732171156894,0.007814842343505006
a1_corrected_twc,A1-order + corrected-TWC,loss_twc,41499,32.88351822503962,0.007478609144920483
a1_corrected_twc,A1-order + corrected-TWC,loss_twc,41999,33.2797147385103,0.008057483926066197
a1_corrected_twc,A1-order + corrected-TWC,loss_twc,42499,33.675911251980985,0.007000444354955107
a1_corrected_twc,A1-order + corrected-TWC,loss_twc,42999,34.07210776545166,0.00760526932781795
a1_corrected_twc,A1-order + corrected-TWC,loss_twc,43499,34.468304278922346,0.007533524318947457
a1_corrected_twc,A1-order + corrected-TWC,loss_twc,43999,34.864500792393024,0.007020682803879026
a1_corrected_twc,A1-order + corrected-TWC,loss_twc,44499,35.26069730586371,0.007839558836945799
a1_corrected_twc,A1-order + corrected-TWC,loss_twc,44999,35.65689381933439,0.007521619712060783
a1_corrected_twc,A1-order + corrected-TWC,loss_twc,45499,36.05309033280507,0.008283479785080998
