protocol,metric,final_delta_a2_minus_a1,best_delta_a2_minus_a1,late_mean_delta_a2_minus_a1,mean_all_delta_a2_minus_a1
gap1124,success/test,-4.009548187255859,5.278450012207031,-2.7486091613769545,0.08386309941609937
gap1124,precision/test,-9.550518035888672,14.974140167236328,-8.12450180053711,-4.645651022593185
burst_drop,success/test,-7.450038909912109,-6.123104095458984,-7.7458038330078125,-8.252065499623612
burst_drop,precision/test,-14.396484375,-11.344932556152344,-15.252999114990232,-15.679957071940102
random20,success/test,9.090152740478516,7.8257293701171875,7.943920898437504,5.762322743733719
random20,precision/test,14.22622299194336,9.253704071044922,10.576139068603517,9.212709585825607
