run_id,arm,role,final_success,final_precision,late3_success,late3_precision,best_success,best_success_epoch,best_precision,best_precision_epoch
B0_HIST,Historical B0,historical_guardrail,53.359954833984375,64.3818359375,52.90481440226237,63.10430145263672,54.13457107543945,50,64.3818359375,60
OLD_B1,Previous B1-motion-v3,previous_rerun,52.655364990234375,61.83479309082031,52.049966176350914,61.20641962687174,52.655364990234375,60,65.55580139160156,30
OLD_SEARCH,Previous Search-v2.1 only,previous_rerun,52.74288558959961,63.045955657958984,51.81218338012695,61.76732635498047,53.594093322753906,40,64.49343872070312,40
OLD_FULL,Previous Motion+Search-v2.1,previous_rerun,25.847923278808594,25.177244186401367,25.7932186126709,25.365427652994793,32.405906677246094,10,32.24726486206055,5
NEW_B1,New B1-motion-v3,requested_rerun,53.318382263183594,62.573307037353516,53.062365214029946,62.512402852376304,53.344642639160156,45,66.72756958007812,30
NEW_SEARCH,New Search-v2.1 only,requested_rerun,51.30744171142578,59.816192626953125,51.140411376953125,60.11597442626953,51.876373291015625,50,63.332603454589844,15
NEW_FULL,New Motion+Search-v2.1,requested_rerun,26.753829956054688,26.876365661621094,27.061635971069336,27.04193878173828,29.563457489013672,5,29.862144470214844,5
