run,metric,epoch,batch_count,mean,min,max,all_finite
Full,ct_final_rmse,9,1262,0.3623978492882097,0.1522386074066162,1.2298591136932373,True
Full,ct_final_rmse,10,1262,0.3491304760500671,0.13852567970752716,1.3352556228637695,True
Full,ct_final_rmse,11,1262,0.3449923615377225,0.14508575201034546,1.0524410009384155,True
Full,ct_final_rmse,12,1262,0.34165244877763484,0.16266374289989471,1.361844539642334,True
Full,ct_final_rmse,13,1262,0.33842243561181706,0.14131921529769897,1.2283755540847778,True
Full,ct_final_rmse,14,1262,0.3231119026921442,0.14435623586177826,1.1924971342086792,True
Full,ct_final_rmse,15,1262,0.3153876603216452,0.13294564187526703,1.4382256269454956,True
Full,ct_final_rmse,16,1262,0.3090272534597317,0.1444966197013855,1.2024235725402832,True
Full,ct_final_rmse,17,1262,0.31243791500853285,0.13899105787277222,1.2628452777862549,True
Full,ct_final_rmse,18,1262,0.30295159113955006,0.13167186081409454,1.0669243335723877,True
Full,ct_final_rmse,19,1262,0.3018393610883061,0.13916084170341492,1.5459455251693726,True
Full,ct_final_rmse,20,1262,0.30635029551013715,0.10975807905197144,1.1079370975494385,True
Full,ct_final_rmse,21,1262,0.2683023592773028,0.1331166923046112,1.0270469188690186,True
Full,ct_final_rmse,22,1262,0.2622516383601444,0.12541423738002777,1.0526617765426636,True
Full,ct_final_rmse,23,1262,0.2602430260585246,0.10620627552270889,1.1112360954284668,True
Full,ct_final_rmse,24,1262,0.2573442977754231,0.11280343681573868,0.8753571510314941,True
Full,ct_final_rmse,25,1262,0.2540802711092538,0.1087314784526825,1.0243208408355713,True
Full,ct_final_rmse,26,1262,0.2548654904727796,0.11898527294397354,1.1916862726211548,True
Full,ct_final_rmse,27,1262,0.25287229015171625,0.12007036805152893,1.0499006509780884,True
Full,ct_final_rmse,28,1262,0.250200597330243,0.12251532077789307,0.7953617572784424,True
Full,ct_final_rmse,29,1262,0.24896625259953142,0.1142796128988266,1.2008930444717407,True
Full,ct_final_rmse,30,1262,0.24945343320631377,0.09739800542593002,0.840535044670105,True
Full,ct_final_rmse,31,1262,0.24630281339781787,0.10608088225126266,1.1412348747253418,True
Full,ct_final_rmse,32,1262,0.24548738700132552,0.12387128174304962,1.1447432041168213,True
Full,ct_final_rmse,33,1262,0.24671551731611394,0.10765302181243896,1.8664436340332031,True
Full,ct_final_rmse,34,1262,0.246699167518816,0.12949185073375702,0.9844231605529785,True
Full,ct_final_rmse,35,1262,0.24163519669613445,0.12372422963380814,0.7912487983703613,True
Full,ct_final_rmse,36,1262,0.24705744036451194,0.10945580899715424,0.8988096714019775,True
Full,ct_final_rmse,37,1262,0.2448155618908855,0.12218615412712097,2.448380708694458,True
Full,ct_final_rmse,38,1262,0.24467405199225278,0.11209984123706818,0.9591219425201416,True
Full,ct_final_rmse,39,1262,0.2395158846834571,0.10978139936923981,0.9510612487792969,True
Full,ct_final_rmse,40,1262,0.23871400257463313,0.12227018177509308,0.8101111650466919,True
Full,ct_final_rmse,41,1262,0.2387888383610313,0.11586762964725494,1.5156800746917725,True
Full,ct_final_rmse,42,1262,0.23913339053158147,0.10745792090892792,1.1344746351242065,True
Full,ct_final_rmse,43,1262,0.23404906520681978,0.1126624047756195,1.936206579208374,True
Full,ct_final_rmse,44,1262,0.23644909455120658,0.11553987115621567,1.1153433322906494,True
Full,ct_final_rmse,45,1262,0.2329041080670387,0.10316438227891922,0.907828688621521,True
Full,ct_final_rmse,46,1262,0.2361696167552339,0.07976125925779343,0.9207954406738281,True
Full,ct_final_rmse,47,1262,0.23400647723353607,0.09823097288608551,0.8891164064407349,True
Full,ct_final_rmse,48,1262,0.23415768199648987,0.11425605416297913,1.0281479358673096,True
Full,ct_final_rmse,49,1262,0.23560227101842876,0.11181014776229858,0.9941970705986023,True
Full,ct_final_rmse,50,1262,0.2340916723969338,0.10476367920637131,0.8669211864471436,True
Full,ct_final_rmse,51,1262,0.23626674682185314,0.11131881922483444,0.8500752449035645,True
Full,ct_final_rmse,52,1262,0.23705678527050086,0.10765822231769562,0.8252874612808228,True
Full,ct_final_rmse,53,1262,0.23126391289540213,0.10719253867864609,1.0700798034667969,True
Full,ct_final_rmse,54,1262,0.23559406749231124,0.10977217555046082,0.8278131484985352,True
Full,ct_final_rmse,55,1262,0.23596461592522552,0.10840093344449997,1.0048022270202637,True
Full,ct_final_rmse,56,1262,0.23634751762149828,0.11125495284795761,0.8936476707458496,True
Full,ct_final_rmse,57,1262,0.23375646633032574,0.1186930239200592,1.131767988204956,True
Full,ct_final_rmse,58,1262,0.23207386627958618,0.11326969414949417,0.9404131174087524,True
Full,ct_final_rmse,59,1262,0.2357544064368291,0.12118915468454361,1.0236766338348389,True
Full,ct_final_rmse,60,1262,0.23428201422732908,0.11198733001947403,0.9612796306610107,True
Full,ct_foreground_points,1,1262,29.180863708399364,4.8125,78.8125,True
Full,ct_foreground_points,2,1262,28.807448494453247,5.375,72.1875,True
Full,ct_foreground_points,3,1262,29.007824881141048,5.0,74.0,True
Full,ct_foreground_points,4,1262,28.883320126782884,5.0625,88.0625,True
Full,ct_foreground_points,5,1262,29.069928684627577,4.1875,63.5,True
Full,ct_foreground_points,6,1262,28.829090729001585,3.4375,73.375,True
Full,ct_foreground_points,7,1262,29.128020998415213,6.0,74.9375,True
Full,ct_foreground_points,8,1262,28.903625198098258,3.8125,78.9375,True
Full,ct_foreground_points,9,1262,29.204437400950873,2.5,69.75,True
Full,ct_foreground_points,10,1262,28.92135499207607,4.3125,69.9375,True
Full,ct_foreground_points,11,1262,28.995344690966718,3.625,73.1875,True
Full,ct_foreground_points,12,1262,28.92368264659271,3.625,62.75,True
Full,ct_foreground_points,13,1262,29.153129952456418,4.0625,72.125,True
