mode,delta_t_real_0,delta_t_real_1,delta_t_real_2,delta_t_effective_0,delta_t_effective_1,delta_t_effective_2,current_delta_t_real,current_delta_t_effective,batch_invariance
true,0.9499490261077881,0.49988603591918945,0.4998741149902344,0.9499490261077881,0.49988603591918945,0.4998741149902344,0.949949,0.949949,PASS
fixed,0.9499490261077881,0.49988603591918945,0.4998741149902344,0.5,0.5,0.5,0.949949,0.5,PASS
shuffled,0.9499490261077881,0.49988603591918945,0.4998741149902344,0.4993250370025635,1.9989118576049805,0.49837207794189453,0.949949,0.499325,PASS
