run_id,run_label,initialization,method,evidence_role,validation_points,final_success,best_success,best_success_epoch,late_mean_success,all_eval_mean_success,final_precision,best_precision,best_precision_epoch,late_mean_precision,all_eval_mean_precision
A1,A1 historical baseline,scratch,A1 / SeqTrack3D order-time,historical reference,12,51.228668212890625,53.29868698120117,45,50.97483673095703,49.00182374318441,57.863243103027344,62.01531982421875,45,58.12319793701172,56.958882331848145
R1,R1 A1-init M2,A1 last.ckpt,M2 proposal innovation,primary formal run,12,55.30306625366211,55.64879608154297,40,54.67680740356445,50.759483337402344,67.18162536621094,67.68489837646484,50,66.51400604248047,61.22292296091715
R2,R2 scratch M2,scratch,M2 proposal innovation,scratch method control,12,53.318382263183594,53.318382263183594,60,51.89431228637695,48.00565433502197,62.5032844543457,65.35667419433594,30,60.25361099243164,55.52635065714518
R3,R3 scratch W0,scratch,W0 without M2,matched shared-SE(2) control,12,28.998905181884766,35.75820541381836,10,27.663677597045897,27.99580717086792,28.022977828979492,39.36870574951172,10,26.48796615600586,28.105215549468994
