epoch,rows,structural_n,structural_rate,valid_foreground_n,valid_foreground_rate,foreground_given_structural,observation_error,motion_error,raw_search_error,refined_error,refined_minus_motion,refined_minus_raw,raw_minus_observation,refined_minus_observation,refined_win_motion_rate,refined_win_raw_rate,presence_auc,presence_ap,presence_positive_mean,presence_negative_mean
5,2004,117,0.058383233532934134,65,0.03243512974051896,0.5555555555555556,2.7042438956106296,2.873938640323966,2.766542775883431,2.8054761167717372,-0.06846252355222779,0.038933340888306044,0.06229888027280224,0.10123222116110833,0.5384615384615384,0.15384615384615385,0.420414201183432,0.49041645198871675,0.9488492406618136,0.8892806825908617
10,2004,115,0.05738522954091816,64,0.031936127744510975,0.5565217391304348,2.729561304397019,2.8993859375818745,2.725224779850175,2.7859913777955394,-0.11339455978633664,0.060766597945365215,-0.004336524546845792,0.05643007339851942,0.53125,0.15625,0.4840686274509804,0.541551538638831,0.9274502835323801,0.8732644142491707
15,2004,114,0.05688622754491018,65,0.03243512974051896,0.5701754385964912,2.6990250372178655,2.8528535177190295,2.6149540650689227,2.6914979608958816,-0.16135555682314665,0.07654389582695847,-0.08407097214894332,-0.007527076321984884,0.6,0.13846153846153847,0.4459968602825746,0.570439663152889,0.948154389557357,0.8882149973865219
20,2004,116,0.05788423153692615,66,0.03293413173652695,0.5689655172413793,2.7396077291899594,2.904547660035223,2.6496321780075105,2.7344412105890674,-0.17010644944615602,0.08480903258155766,-0.08997555118245236,-0.005166518600894687,0.6060606060606061,0.19696969696969696,0.49727272727272726,0.5837775971687715,0.9363692019903807,0.8769627110799775
