run_key,model,diagnostic,final,mean,std,tail1000_mean,tail1000_std,min,max,num_points
a1_corrected_twc,A1-order + corrected-TWC,loss_twc,0.00395485432818532,0.0167537169667067,0.037728787177235074,0.006751906014338602,0.010998865183597627,0.00015339968376792967,1.1941102743148804,75720
a1_corrected_twc,A1-order + corrected-TWC,twc_valid_ratio,0.6875,0.7499702852614897,0.10808195441456368,0.7525625,0.10834909941365457,0.25,1.0,75720
a1_corrected_twc,A1-order + corrected-TWC,twc_center_gap,0.10100140422582626,0.1796941403218639,0.1501457882383945,0.12400020772963763,0.05555449492499558,0.0260749664157629,2.691012382507324,75720
a1_corrected_twc,A1-order + corrected-TWC,twc_angle_gap,0.005169726442545652,0.014179819384521683,0.03653266886918934,0.0071959738570731135,0.0031218564367836445,0.0008764959056861699,1.4349523782730103,75720
a1_corrected_twc,A1-order + corrected-TWC,twc_anchor_gap_max,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75720
a1_corrected_twc,A1-order + corrected-TWC,twc_current_point_gap_max,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75720
a2_corrected_twc,A2-order-dyn + corrected-TWC,loss_twc,0.0016170553863048553,0.011318855160807932,0.032764744481785985,0.0047866520709649195,0.005417165506572112,0.00021803981508128345,1.1049236059188843,75720
a2_corrected_twc,A2-order-dyn + corrected-TWC,twc_valid_ratio,0.8125,0.7499496500264131,0.10815137239737595,0.75,0.11197795541980574,0.25,1.0,75720
a2_corrected_twc,A2-order-dyn + corrected-TWC,twc_center_gap,0.07854120433330536,0.15658194471969294,0.1315417531185335,0.11737685401365161,0.037132344368508964,0.032927852123975754,2.6559789180755615,75720
a2_corrected_twc,A2-order-dyn + corrected-TWC,twc_angle_gap,0.007698645815253258,0.019007603571948493,0.03928637069617563,0.00918699818616733,0.003019751366248159,0.0018074247054755688,1.5017380714416504,75720
a2_corrected_twc,A2-order-dyn + corrected-TWC,twc_anchor_gap_max,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75720
a2_corrected_twc,A2-order-dyn + corrected-TWC,twc_current_point_gap_max,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75720
