run_id,alpha,metric,count,all_mean,epoch6_mean,epoch60_mean
B0,,loss_total,75720,0.4532373010202046,0.7262481847532956,0.22081461401800914
B0,,loss_center,75720,0.03624420935691251,0.06417050310809065,0.021771041423646165
B0,,loss_center_aux,75720,0.036745367459773255,0.06571579571199351,0.020861500796858994
B0,,loss_center_motion,75720,0.04832943613579335,0.10133557352857302,0.02156398122615097
B0,,loss_center_ref,75720,0.022992665096429263,0.03388577667928394,0.008790614131377588
B0,,loss_seg,75720,0.0804303440949459,0.12666392161639292,0.04773082773580486
A0,0.0,loss_total,75720,0.48164437727001974,0.7734415387106017,0.2233537618903275
A0,0.0,loss_center,75720,0.03707376435653103,0.06853250662461159,0.02097000977579392
A0,0.0,loss_center_aux,75720,0.03792983499946669,0.0693782812424252,0.02035372289415691
A0,0.0,loss_center_motion,75720,0.05042157430292098,0.1050220029103893,0.021804007084445406
A0,0.0,loss_center_ref,75720,0.024651598675733424,0.03623534189448611,0.008720442800297034
A0,0.0,loss_velocity,75720,0.09528851843250644,0.09928654214546598,0.09057958651082768
A0,0.0,loss_dynamics_displacement,75720,0.03807926981486768,0.03916599041597457,0.03620282950785812
A0,0.0,loss_seg,75720,0.08165420798854917,0.13188557105106427,0.04687493788624528
A025,0.25,loss_total,75720,0.48048823767022375,0.7564261841651188,0.21696295676584668
A025,0.25,loss_center,75720,0.03664385887830296,0.06626066732000435,0.020210481154704363
A025,0.25,loss_center_aux,75720,0.03772036900901092,0.06744729856652003,0.01971030139722957
A025,0.25,loss_center_motion,75720,0.04847949823167307,0.0996330618200065,0.019717472352420693
A025,0.25,loss_center_ref,75720,0.022386687886987913,0.03254005441917387,0.008046114852684425
A025,0.25,loss_velocity,75720,0.1041448893956102,0.10562178409846924,0.09985121887929224
A025,0.25,loss_dynamics_displacement,75720,0.04055037934311843,0.040854262031326784,0.03881264286570173
A025,0.25,loss_seg,75720,0.08056040061658669,0.13722993177251092,0.04485027194716827
A075,0.75,loss_total,75720,0.48123734162759274,0.7168066390035837,0.21528836225178655
A075,0.75,loss_center,75720,0.03496863966386094,0.060770987450379864,0.019821700943698856
A075,0.75,loss_center_aux,75720,0.03803844345947905,0.06637804647435312,0.019209678012327175
A075,0.75,loss_center_motion,75720,0.04601253418745,0.0858525453279645,0.019138081358740528
A075,0.75,loss_center_ref,75720,0.022816686753783944,0.03218387984323851,0.007819646681812422
A075,0.75,loss_velocity,75720,0.09924110388522793,0.10293866001311601,0.0950501187677383
A075,0.75,loss_dynamics_displacement,75720,0.039306020882377224,0.040132472066691356,0.037627636210937766
A075,0.75,loss_seg,75720,0.08074275226953621,0.13027825448278296,0.0455898068876267
