run_id,run_label,epoch,batch_points,loss_mean,loss_median,loss_p10,loss_p90
A1,A1 historical baseline,1,1262,4.800107160952125,4.255627632141113,2.8836148738861085,7.541705226898194
A1,A1 historical baseline,2,1262,2.0919076996824444,2.0157277584075928,1.3097207427024842,2.9200214624404914
A1,A1 historical baseline,3,1262,1.2476660042717793,1.1144875884056091,0.6952852606773376,1.9208196401596074
A1,A1 historical baseline,4,1262,0.9132172707379714,0.7965869307518005,0.4824554771184921,1.4850324511528028
A1,A1 historical baseline,5,1262,0.7829886295385482,0.6636480987071991,0.3934138387441635,1.2946752548217775
A1,A1 historical baseline,6,1262,0.7380776473582263,0.6250025033950806,0.36320608854293823,1.1929423093795777
A1,A1 historical baseline,7,1262,0.6758426905575721,0.561477392911911,0.3324590027332306,1.166559684276581
A1,A1 historical baseline,8,1262,0.60481532365556,0.4875524342060089,0.29396825432777407,1.068773913383484
A1,A1 historical baseline,9,1262,0.5792757305781551,0.46626870334148407,0.26955200731754303,0.9968107223510743
A1,A1 historical baseline,10,1262,0.5611120054347768,0.4515945017337799,0.2701726406812668,0.9889976441860203
A1,A1 historical baseline,11,1262,0.5180408896999389,0.40011394023895264,0.2466774970293045,0.8874810457229618
A1,A1 historical baseline,12,1262,0.5026462642142399,0.3891742080450058,0.23203588724136354,0.9011637270450593
A1,A1 historical baseline,13,1262,0.4858865677814476,0.3828282803297043,0.22139517962932587,0.8562696993350983
A1,A1 historical baseline,14,1262,0.47283352625728975,0.35689979791641235,0.21700291633605956,0.8963456153869632
A1,A1 historical baseline,15,1262,0.44426007208705137,0.33059315383434296,0.2055269792675972,0.7859269797801971
A1,A1 historical baseline,16,1262,0.4281006186267748,0.3180578052997589,0.19740375578403474,0.7842387020587922
A1,A1 historical baseline,17,1262,0.41949250321191767,0.32591861486434937,0.19775968939065933,0.7302642822265629
A1,A1 historical baseline,18,1262,0.39802081668055755,0.2947327494621277,0.1873415142297745,0.7245924055576328
A1,A1 historical baseline,19,1262,0.4017702338777235,0.2953157424926758,0.18335174769163132,0.7692710220813753
A1,A1 historical baseline,20,1262,0.37871504426238656,0.28750060498714447,0.17861682623624803,0.6906602859497071
A1,A1 historical baseline,21,1262,0.30429686433539715,0.22416679561138153,0.14780857861042024,0.5436433553695679
A1,A1 historical baseline,22,1262,0.2891650400382781,0.2084578275680542,0.13951552659273148,0.5227297902107241
A1,A1 historical baseline,23,1262,0.27963368687335927,0.20085842907428741,0.13470299839973449,0.49919051826000266
A1,A1 historical baseline,24,1262,0.2801591631337977,0.19849085062742233,0.13777005523443223,0.5101260602474216
A1,A1 historical baseline,25,1262,0.2681641649224584,0.19386687874794006,0.13227012902498245,0.4833369970321659
A1,A1 historical baseline,26,1262,0.2684661543111888,0.19929767400026321,0.13165108263492584,0.4768500417470933
A1,A1 historical baseline,27,1262,0.2632647279455148,0.19159094244241714,0.12729087620973586,0.477395510673523
A1,A1 historical baseline,28,1262,0.2629759307425298,0.18972013145685196,0.12686943411827087,0.47929135859012606
A1,A1 historical baseline,29,1262,0.25536374047563876,0.18401026725769043,0.12467957437038422,0.468661841750145
A1,A1 historical baseline,30,1262,0.25053147563678335,0.18312709778547287,0.12363967224955559,0.44386331439018256
A1,A1 historical baseline,31,1262,0.25375298486812936,0.18207745254039764,0.1250291123986244,0.45707858800888074
A1,A1 historical baseline,32,1262,0.2414376006156159,0.17727886885404587,0.12088058516383171,0.43469625413417823
A1,A1 historical baseline,33,1262,0.24859959615037294,0.1799638345837593,0.12455932274460793,0.4520361244678499
A1,A1 historical baseline,34,1262,0.23800441620372553,0.17562739551067352,0.11915218681097031,0.43299155533313755
A1,A1 historical baseline,35,1262,0.24975535009062233,0.174495168030262,0.1188560277223587,0.4774851053953174
A1,A1 historical baseline,36,1262,0.2376240333055165,0.17396877706050873,0.11902261376380921,0.42046820819377917
A1,A1 historical baseline,37,1262,0.2347168810842721,0.17388273775577545,0.114979437738657,0.40252237021923115
A1,A1 historical baseline,38,1262,0.24519291870803728,0.1700807437300682,0.11776016801595689,0.45735282301902774
A1,A1 historical baseline,39,1262,0.23439029913555046,0.16897781938314438,0.11629735231399536,0.4204487413167959
A1,A1 historical baseline,40,1262,0.22956093994637866,0.16889961808919907,0.11364566311240196,0.4234181255102161
A1,A1 historical baseline,41,1262,0.22977859274780882,0.16348900645971298,0.11410540491342544,0.4109467804431916
A1,A1 historical baseline,42,1262,0.2284234829376881,0.16263962537050247,0.1131641298532486,0.40767487585544593
A1,A1 historical baseline,43,1262,0.23347748374409985,0.16401346772909164,0.11139861196279525,0.4288778513669968
A1,A1 historical baseline,44,1262,0.2283036797211495,0.16379614174365997,0.1127738207578659,0.41441146731376655
A1,A1 historical baseline,45,1262,0.22297411690069077,0.16270124167203903,0.11040044650435447,0.41456592082977384
A1,A1 historical baseline,46,1262,0.22675045903789828,0.1616603434085846,0.11133810728788376,0.3880748599767686
A1,A1 historical baseline,47,1262,0.22252324585420583,0.16215869039297104,0.11166181713342667,0.4045064449310305
A1,A1 historical baseline,48,1262,0.22474665541892574,0.163267619907856,0.11057276129722596,0.40062476992607127
A1,A1 historical baseline,49,1262,0.22566932952252886,0.16160639375448227,0.11236506700515747,0.4024610519409181
A1,A1 historical baseline,50,1262,0.22268050991105012,0.16106383502483368,0.10966137647628785,0.407999885082245
A1,A1 historical baseline,51,1262,0.22209504960479715,0.15670254081487656,0.10966249257326126,0.40603081285953524
A1,A1 historical baseline,52,1262,0.22358110995163252,0.16302667558193207,0.11048900783061981,0.4077775329351427
A1,A1 historical baseline,53,1262,0.22671565970792634,0.16059622168540955,0.1116616778075695,0.39639666974544535
A1,A1 historical baseline,54,1262,0.22238704280576502,0.16214722394943237,0.10981724858283996,0.41212030649185194
A1,A1 historical baseline,55,1262,0.21593109018238713,0.15835259854793549,0.1103191539645195,0.37252191603183765
A1,A1 historical baseline,56,1262,0.21972630853084302,0.15955651551485062,0.1085577592253685,0.3821188032627106
A1,A1 historical baseline,57,1262,0.22474168948297832,0.16105963289737701,0.11021391376852989,0.38335728645324746
A1,A1 historical baseline,58,1262,0.22448523334344103,0.158403679728508,0.10923949033021928,0.4154562443494802
A1,A1 historical baseline,59,1262,0.22113161172168758,0.15992814302444458,0.10993353724479675,0.37746548056602514
A1,A1 historical baseline,60,1262,0.2169333771520579,0.15941672027111053,0.10915246605873108,0.3607758015394213
