run_id,metric,count,mean,post_warmup_mean,late_epoch_mean,epoch5_mean,epoch6_mean,epoch7_mean,p95,max
B0,fusion_alpha_nominal,0,,,,,,,,
B0,fusion_alpha_batch_min,0,,,,,,,,
B0,fusion_alpha_batch_max,0,,,,,,,,
B0,fusion_alpha_applied,0,,,,,,,,
B0,innovation_norm,0,,,,,,,,
B0,innovation_applied_ratio,0,,,,,,,,
B0,innovation_clamp_ratio,0,,,,,,,,
B0,search_used_ratio,75720,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B0,search_expansion_ratio,75720,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B0,search_expansion_points,75720,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B0,usable_search_ratio,75720,0.8109086106708928,0.8108782956346348,0.8102713946117274,0.811311410459588,0.8096770998415214,0.8108656893819335,0.9375,1.0
B0,training_loss_total,75720,0.4532373010202046,0.3140288794903492,0.22081461401800914,0.8038050293591812,0.7262481847532956,0.6740562586370625,1.4160775184631351,15.080487251281738
B1,fusion_alpha_nominal,75720,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75
B1,fusion_alpha_batch_min,75720,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75
B1,fusion_alpha_batch_max,75720,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75
B1,fusion_alpha_applied,75720,0.5066084340332805,0.5526637462181242,0.5515426901743264,0.0,0.5526569928684627,0.5528427099841522,0.65625,0.75
B1,innovation_norm,75720,0.26762553691909274,0.2919551311844648,0.29794245483663684,0.0,0.2753436164236768,0.2908515719233432,0.3872464671730996,0.5196514129638672
B1,innovation_applied_ratio,75720,0.675477912044374,0.7368849949574989,0.7353902535657686,0.0,0.7368759904912837,0.7371236133122029,0.875,1.0
B1,innovation_clamp_ratio,75720,0.4098628169572108,0.4073332372856937,0.4173435023771791,0.37490095087163233,0.4103110142630745,0.4298732171156894,0.625,1.0
B1,search_used_ratio,75720,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B1,search_expansion_ratio,75720,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B1,search_expansion_points,75720,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B1,usable_search_ratio,75720,0.8112131867406234,0.8111736421264948,0.8104199683042789,0.8117076069730587,0.8104694928684627,0.8134904912836767,0.9375,1.0
B1,training_loss_total,75720,0.48123734162759274,0.3081086304911987,0.21528836225178655,0.8729864181316032,0.7168066390035837,0.6663651972442346,1.5582698583602907,16.597673416137695
B2,fusion_alpha_nominal,75720,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75
B2,fusion_alpha_batch_min,75720,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75
B2,fusion_alpha_batch_max,75720,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75
B2,fusion_alpha_applied,75720,0.5067155309033281,0.552780579167267,0.5512826862123613,0.0,0.5528055665610143,0.553214144215531,0.65625,0.75
B2,innovation_norm,75720,0.2671933790671797,0.2914836862551051,0.2950437928058455,0.0,0.2680061157857748,0.28115796706921137,0.38459960669279103,0.5236482620239258
B2,innovation_applied_ratio,75720,0.6756207078711041,0.7370407722230227,0.7350435816164818,0.0,0.737074088748019,0.7376188589540412,0.875,1.0
B2,innovation_clamp_ratio,75720,0.4005183571051241,0.39759490707390865,0.40530903328050716,0.3813391442155309,0.38960974643423135,0.4081814580031696,0.625,1.0
B2,search_used_ratio,75720,0.03458052694136292,0.03459155741247659,0.03412242472266244,0.03471671949286846,0.033973851030110934,0.03412242472266244,0.125,0.375
B2,search_expansion_ratio,75720,0.00864513173534073,0.008647889353119147,0.00853060618066561,0.008679179873217115,0.008493462757527733,0.00853060618066561,0.03125,0.09375
B2,search_expansion_points,75720,10.296172576597993,10.31020206022187,10.316858161648177,10.730140649762282,10.492571315372425,10.887430665610143,49.8125,399.6875
B2,usable_search_ratio,75720,0.8114145866349709,0.8113654372568794,0.8101723454833597,0.8122523771790808,0.8108656893819335,0.8141343106180665,0.9375,1.0
B2,training_loss_total,75720,0.4818087389216425,0.3080302149593023,0.21278284756369334,0.8975288388326693,0.7364050982469802,0.6797705873044092,1.5560319244861605,15.971761703491211
B3,fusion_alpha_nominal,75720,0.7076004452694442,0.7492004857484845,0.7499998166519564,0.25,0.7069867522162039,0.7493968671645302,0.75,0.75
B3,fusion_alpha_batch_min,75720,0.707081175050799,0.7486340091463263,0.7499978515406607,0.25,0.6809896943166781,0.7465228455380291,0.7499998807907104,0.75
B3,fusion_alpha_batch_max,75720,0.7079150008686119,0.749543637311213,0.75,0.25,0.724900807848823,0.7499993517168351,0.75,0.75
B3,fusion_alpha_applied,75720,0.5062858996417903,0.5523118905183166,0.5511711782963264,0.0,0.5224497181772241,0.5516059642595648,0.65625,0.75
B3,innovation_norm,75720,0.2690920459630034,0.2935549592323673,0.29990257717161284,0.0,0.2584839522094715,0.283042709630945,0.38665764480829246,0.5247235298156738
B3,innovation_applied_ratio,75720,0.6757387414157422,0.7371695360899005,0.7348950079239303,0.0,0.7371731378763867,0.7360340729001584,0.875,1.0
B3,innovation_clamp_ratio,75720,0.4098966587427364,0.40775014407145943,0.4161053882725832,0.38054675118858955,0.4013965927099842,0.40585380348652933,0.625,1.0
B3,search_used_ratio,75720,0.03448230322239831,0.034483503817893675,0.03333003169572108,0.035112916006339145,0.03372622820919176,0.03516244057052298,0.125,0.375
B3,search_expansion_ratio,75720,0.008620575805599577,0.008620875954473419,0.00833250792393027,0.008778229001584786,0.00843155705229794,0.008790610142630745,0.03125,0.09375
B3,search_expansion_points,75720,10.263015055467513,10.256525536666187,9.805665610142631,10.730289223454834,10.196463946117275,10.21746236133122,49.44062500000018,396.125
B3,usable_search_ratio,75720,0.8113031563655573,0.8112997046535081,0.8093799524564184,0.8090828050713154,0.8113609350237718,0.8096275752773375,0.9375,1.0
B3,training_loss_total,75720,0.46054338272852846,0.3018050588780638,0.20621262046194114,0.8587105836949522,0.7065580302935017,0.6459419391163744,1.479372245073319,14.054381370544434
