run_key,model,family,condition,metric,final,final_epoch,final_step,best,best_epoch,best_step,best_final_gap,late_mean_40_60,mean_all,std_all,num_eval_points
a1_baseline,A1-order,A1,Baseline,success/test,51.228668212890625,60,75720,53.29868698120117,45,56790,2.070018768310547,50.97483673095703,49.00182374318441,3.5593127541666076,12
a1_baseline,A1-order,A1,Baseline,precision/test,57.863243103027344,60,75720,62.01531982421875,45,56790,4.152076721191406,58.12319793701172,56.958882331848145,4.79577458241064,12
a1_corrected_twc,A1-order + corrected-TWC,A1,corrected-TWC,success/test,52.721004486083984,60,75720,53.567840576171875,55,69410,0.8468360900878906,51.96083221435547,48.90372117360433,4.3570251519897285,12
a1_corrected_twc,A1-order + corrected-TWC,A1,corrected-TWC,precision/test,62.892784118652344,60,75720,63.90153121948242,30,37860,1.0087471008300781,60.78949966430664,57.989699045817055,6.0921675138437585,12
a2_baseline,A2-order-dyn,A2,Baseline,success/test,50.961708068847656,60,75720,51.54158020019531,45,56790,0.5798721313476562,50.601094818115236,46.82768154144287,6.546487696508089,12
a2_baseline,A2-order-dyn,A2,Baseline,precision/test,63.31401062011719,60,75720,63.573307037353516,10,12620,0.2592964172363281,62.52078857421875,57.76294803619385,9.903122816696325,12
a2_corrected_twc,A2-order-dyn + corrected-TWC,A2,corrected-TWC,success/test,50.036109924316406,60,75720,50.56783676147461,35,44170,0.5317268371582031,49.26630325317383,43.768965085347496,8.632712402278631,12
a2_corrected_twc,A2-order-dyn + corrected-TWC,A2,corrected-TWC,precision/test,61.245079040527344,60,75720,63.77352523803711,35,44170,2.5284461975097656,59.98621444702148,50.97511053085327,13.529989297785182,12
