run_id,status,run_dir,commit,dirty_tracked,training_scalar_count,expected_steps,validation_count,expected_validations,checkpoint_epoch,checkpoint_global_step,checkpoint_state_tensors,checkpoint_sha256
B0,COMPLETE,D:/desktop/research/CT-SeqTrack/output/20260725-2326-01_seqtrack3d_baseline-ctv2_d86990c_b0_baseline_car_seed42_60ep_bs16,d86990ce5304258822c1748d17f997f6ec003e9c,False,75720,75720,12,12,59,75720,320,ad644ea1bf5c0c513ad049d814d0a212c0383baa1a04af786e352a37f87b972f
B1,COMPLETE,D:/desktop/research/CT-SeqTrack/output/20260725-2326-02_ct_motion-ctv2_d86990c_b1_motion_car_seed42_60ep_bs16,d86990ce5304258822c1748d17f997f6ec003e9c,False,75720,75720,12,12,59,75720,330,93aa869f0e71f3162b3fa4a17a7841a4833c558e23a244fba0c69bc8972499e8
A1,COMPLETE,D:/desktop/research/CT-SeqTrack/output/20260727-1504-05_seqtrack3d_search_only-ctv2_052ae8d_a1_search_only_car_seed42_60ep_bs16,052ae8dbc13377673ed512d48ea677707d3e84ea,False,75720,75720,12,12,59,75720,320,883e423ec54a1a2ff0930022a623338dd8300fb018d204eaf4c7534068ef6c62
B2,COMPLETE,D:/desktop/research/CT-SeqTrack/output/20260725-2327-03_ct_motion_search-ctv2_d86990c_b2_motion_search_car_seed42_60ep_bs16,d86990ce5304258822c1748d17f997f6ec003e9c,False,75720,75720,12,12,59,75720,330,d4317fec593d08d298ed2c75eb5b4d7db2bdaaacb610a1f58e2c2da514acb0b8
