group_key,group_name,protocol,item_order,source,source_model,display_model,role,metric,epoch,step,value
main_a1_a2_p5_60ep,Main A1/A2/P5 Progression (60ep),60ep seed42 nuScenes-mini,1,main,A1 CT-base,A1 raw real-time,variant,success/test,55,69409,27.079872131347656
main_a1_a2_p5_60ep,Main A1/A2/P5 Progression (60ep),60ep seed42 nuScenes-mini,1,main,A1 CT-base,A1 raw real-time,variant,success/test,60,75719,28.27680778503418
main_a1_a2_p5_60ep,Main A1/A2/P5 Progression (60ep),60ep seed42 nuScenes-mini,1,main,A1 CT-base,A1 raw real-time,variant,precision/test,5,6309,30.680524826049805
main_a1_a2_p5_60ep,Main A1/A2/P5 Progression (60ep),60ep seed42 nuScenes-mini,1,main,A1 CT-base,A1 raw real-time,variant,precision/test,10,12619,40.36105346679688
main_a1_a2_p5_60ep,Main A1/A2/P5 Progression (60ep),60ep seed42 nuScenes-mini,1,main,A1 CT-base,A1 raw real-time,variant,precision/test,15,18929,36.4146614074707
main_a1_a2_p5_60ep,Main A1/A2/P5 Progression (60ep),60ep seed42 nuScenes-mini,1,main,A1 CT-base,A1 raw real-time,variant,precision/test,20,25239,27.946388244628903
main_a1_a2_p5_60ep,Main A1/A2/P5 Progression (60ep),60ep seed42 nuScenes-mini,1,main,A1 CT-base,A1 raw real-time,variant,precision/test,25,31549,24.46061134338379
main_a1_a2_p5_60ep,Main A1/A2/P5 Progression (60ep),60ep seed42 nuScenes-mini,1,main,A1 CT-base,A1 raw real-time,variant,precision/test,30,37859,23.643325805664062
main_a1_a2_p5_60ep,Main A1/A2/P5 Progression (60ep),60ep seed42 nuScenes-mini,1,main,A1 CT-base,A1 raw real-time,variant,precision/test,35,44169,27.41684913635254
main_a1_a2_p5_60ep,Main A1/A2/P5 Progression (60ep),60ep seed42 nuScenes-mini,1,main,A1 CT-base,A1 raw real-time,variant,precision/test,40,50479,25.37308692932129
main_a1_a2_p5_60ep,Main A1/A2/P5 Progression (60ep),60ep seed42 nuScenes-mini,1,main,A1 CT-base,A1 raw real-time,variant,precision/test,45,56789,25.142234802246094
main_a1_a2_p5_60ep,Main A1/A2/P5 Progression (60ep),60ep seed42 nuScenes-mini,1,main,A1 CT-base,A1 raw real-time,variant,precision/test,50,63099,26.55908203125
main_a1_a2_p5_60ep,Main A1/A2/P5 Progression (60ep),60ep seed42 nuScenes-mini,1,main,A1 CT-base,A1 raw real-time,variant,precision/test,55,69409,25.29759788513184
main_a1_a2_p5_60ep,Main A1/A2/P5 Progression (60ep),60ep seed42 nuScenes-mini,1,main,A1 CT-base,A1 raw real-time,variant,precision/test,60,75719,27.42888641357422
main_a1_a2_p5_60ep,Main A1/A2/P5 Progression (60ep),60ep seed42 nuScenes-mini,2,main,A2 Dynamics,A2 raw-dyn,variant,success/test,5,6309,27.13676071166992
