comparison,tracklet_key,success,precision,mean_iou,mean_center_error,center_error_gain
standard_M2_minus_A1,007842c92eaf4351b5a9678f7e7094f3,5.0,5.000000000000014,0.056612706435249294,-0.08924270143881288,0.08924270143881288
standard_M2_minus_A1,045cd82a77a1472499e8c15100cb5ff3,-0.30303030303030276,-0.833333333333333,-0.004269039375295658,-2.446117545023643,2.446117545023643
standard_M2_minus_A1,06ff24b7f1e8479b934f1b74348028bc,1.3636363636363633,1.6666666666666643,0.017330777135195166,1.0777706021859874,-1.0777706021859874
standard_M2_minus_A1,0b2ef8648d3c467989b67d5a3ce2a3df,-24.72222222222222,-53.19444444444444,-0.26928426708113423,5.823861288073293,-5.823861288073293
standard_M2_minus_A1,0bfc7d407d09490cba7ac57897fcb100,8.399999999999991,4.6000000000000085,0.08945492359704432,-0.10366258965350553,0.10366258965350553
standard_M2_minus_A1,0cfdfb5bbe8a41268271e24f2edefb9c,8.780487804878057,3.41463414634147,0.08874193979474432,-0.08200496921906436,0.08200496921906436
standard_M2_minus_A1,11a08ff383a6451bbda6b9af56cfa6e2,6.774193548387103,20.0,0.06358411668344044,-0.38697308084098053,0.38697308084098053
standard_M2_minus_A1,1377fe4255444b1495d0ccb972d8ef98,8.000000000000014,6.0,0.07530802275131221,-0.11932753480677565,0.11932753480677565
standard_M2_minus_A1,143ecd5e93614768bdb3da695e76c409,-30.21739130434782,-42.173913043478265,-0.3014082113516775,0.8477852797271039,-0.8477852797271039
standard_M2_minus_A1,19f5d51759454803ae8bbc45bfb92737,-5.500000000000014,7.0,-0.05418762297292756,-0.13996195670516715,0.13996195670516715
standard_M2_minus_A1,1a018f3bcdea44f9ab60912938495032,0.0,0.0,0.0,0.5989556539087459,-0.5989556539087459
standard_M2_minus_A1,1e4a740fd22b44dda3eed861e6e3f170,5.333333333333343,9.333333333333343,0.05259886982785733,-0.18814464111552703,0.18814464111552703
standard_M2_minus_A1,1f8d7e8410ed435da374688590a13b0a,5.25,6.75,0.05000578526690802,-0.1407419832527405,0.1407419832527405
standard_M2_minus_A1,200c440c0e9b4627ad4f3047227016a2,0.0,0.0,0.0001711491297391038,-0.2442838509240346,0.2442838509240346
