run_id,epoch,loss_total,loss_center,loss_angle,loss_seg,loss_bc,search_match_loss,search_targetness_loss,search_vote_loss,search_proposal_loss,search_geometry_valid_rate,search_candidate_valid_rate,search_foreground_points,search_targetness_mean,search_targetness_max,search_targetness_entropy,search_effective_sample_size,search_extension_weight_ratio,search_available_count,search_extension_count,search_overlap_count,observation_error_m,motion_error_valid_m,search_error_valid_m,final_error_m,motion_helpful_rate,search_helpful_rate,motion_weight,search_weight,search_applied_rate,search_helpful_precision,fusion_ramp,motion_candidate_valid_rate,motion_prior_rmse,motion_constant_velocity_rmse
V21_SEARCH,1,5.053921575024842,0.1841469747088141,0.0018591143880473935,0.5231582050089224,2.7640859304252783,0.04428620513848866,0.045138927251499046,0.0875517043311639,0.09925426404405051,0.30789421553090335,0.30789421553090335,7.472018621236133,0.15722931555521022,0.24625372695227385,0.1649229680298696,692111.9496830428,0.10747145720008301,95.28288431061807,38.048236925515056,57.23464738510301,,,,,,,,,,,,,,
V21_SEARCH,2,2.2793373624704154,0.11505524316291943,0.0008062926102629804,0.4372688975486249,1.2057311031642692,0.026796798357923063,0.026895404915041592,0.052486706606448934,0.05233826852760022,0.30710182250396195,0.30710182250396195,7.437103803486529,0.15442307324114768,0.2651490770227227,0.1444221436121337,692902.6564976228,0.11134188771325572,98.37787242472267,38.61737321711569,59.760499207606976,,,,,,,,,,,,,,
V21_SEARCH,3,1.4136439729747605,0.09752572769603195,0.0007360130072340121,0.3082000387333652,0.5028060901845125,0.021743528005167424,0.021821304036248268,0.051864630706156656,0.04661578180124917,0.3061113312202853,0.3061113312202853,7.433290412044374,0.15164050754977362,0.2677556461530624,0.13736572405899006,693892.8819582013,0.1103873291925239,98.12430665610142,39.03833201267829,59.085974643423135,,,,,,,,,,,,,,
V21_SEARCH,4,1.0310578103252523,0.07748083286312085,0.0006737399488496242,0.20035146985634003,0.27851374644532256,0.01890218011776049,0.019081297871170022,0.04659140695228866,0.042197075980459374,0.30739896988906495,0.30739896988906495,7.442551505546751,0.15058657718031251,0.2744576025860482,0.12737506328271658,692604.6554328447,0.10684375844366524,96.37391045958796,37.898870839936606,58.47503961965135,,,,,,,,,,,,,,
V21_SEARCH,5,0.8894880721006077,0.0703423114308258,0.000591858186903167,0.15135556804208106,0.21805434299134036,0.01848438814960984,0.01913564126523062,0.04676071732857456,0.04072107204157035,0.3099742472266244,0.3099742472266244,7.502426703645008,0.14909583006866672,0.27734455245413425,0.12251278511934845,690029.1578100238,0.10298139712450619,94.04397781299525,36.25178288431062,57.79219492868463,,,,,,,,,,,,,,
V21_SEARCH,6,0.8196670348075604,0.06442369072603596,0.0005457642784010958,0.12663035432434686,0.19257373552881593,0.01637092316541413,0.017009589242586654,0.04408345214536239,0.03750488609554912,0.308290412044374,0.308290412044374,7.496929477020602,0.14870030700196638,0.2797969921555506,0.11528106752957222,691712.5326862123,0.09561516706020111,95.38490491283677,36.100386291600636,59.28451862123613,,,,,,,,,,,,,,
V21_SEARCH,7,0.7636321919325225,0.06188518496484108,0.0005156324083655831,0.11288773525276011,0.17277583129196272,0.015385167247609351,0.01618091409230697,0.04233773553075355,0.03426757282813606,0.30819136291600635,0.30819136291600635,7.455725039619652,0.14883197311801974,0.2801304974854465,0.1148506721589425,691811.6241580824,0.10218043987525544,93.53194334389858,36.30001980982567,57.2319235340729,,,,,,,,,,,,,,
V21_SEARCH,8,0.6944981211362474,0.055784276133497644,0.00048142297594231406,0.10071498031319133,0.16052911074598883,0.013888579009021879,0.014654094496470663,0.040050395069792924,0.029605881688288354,0.30819136291600635,0.30819136291600635,7.524910855784469,0.14968330098431198,0.28284566392812127,0.11208999459521045,691811.4258122029,0.1071966734907231,95.9512678288431,38.07572305863708,57.87554477020602,,,,,,,,,,,,,,
V21_SEARCH,9,0.6489084200865682,0.0521807246959566,0.0004504336496466301,0.09306401568988897,0.14582477022322535,0.013433044884439343,0.014274706111175423,0.03790298736480429,0.030041063722188358,0.3067551505546751,0.3067551505546751,7.407389064976228,0.1493177795539154,0.28123434421218185,0.11072692096310117,693247.698828744,0.11122690825963609,95.5474940570523,36.79828645007924,58.74920760697306,,,,,,,,,,,,,,
V21_SEARCH,10,0.6149131466653759,0.04944679651537795,0.00042374733383657533,0.08815622478487374,0.13997769153273992,0.014558602760378205,0.015618801030738828,0.038691159086848025,0.028893269495997968,0.3088351822503962,0.3088351822503962,7.502674326465927,0.15212623084704915,0.28350037184031757,0.11425307888254263,691167.6173979794,0.10731056504507389,94.58676703645008,36.745889461172744,57.84087757527734,,,,,,,,,,,,,,
V21_SEARCH,11,0.5970056023442802,0.04633334766085984,0.0004018207061278915,0.08218086333635445,0.13116588150984984,0.012672617772052192,0.013210410868404066,0.03626038896867477,0.026152732751901202,0.3065570522979398,0.3065570522979398,7.454982171156894,0.14995213359204695,0.2821070913434997,0.11045115796196762,693445.7294720681,0.10529818470877239,92.57715927099842,36.369156101426306,56.20800316957211,0.3902883621644105,0.0,0.3290072180649558,0.3877965400435278,0.0,0.6525724539075713,0.0,0.08839367445530266,0.22395007923930269,0.4708845920376657,0.10000000149011612,,,
