group_key,group_name,protocol,item_order,source,source_model,display_model,role,metric,final,final_epoch,final_step,best,best_epoch,best_step,best_final_gap,mean,std,baseline_final,baseline_best,final_delta_vs_group_baseline,best_delta_vs_group_baseline,note
a1_time_variants_60ep,A1 Time Encoding / Main-Branch Variants (60ep),60ep seed42 nuScenes-mini,5,scaled,A1-scaled,A1 scaled,variant,success/test,31.33370018005371,60,75719,33.20240783691406,5,6309,1.8687076568603516,29.84609826405843,2.670490492579018,50.9858,52.2834,-19.652099819946287,-19.080992163085938,real time rescaled near pseudo range
a1_time_variants_60ep,A1 Time Encoding / Main-Branch Variants (60ep),60ep seed42 nuScenes-mini,5,scaled,A1-scaled,A1 scaled,variant,precision/test,31.224288940429688,60,75719,37.698028564453125,5,6309,6.4737396240234375,29.9821302096049,3.37081720921238,59.9617,65.2144,-28.737411059570313,-27.516371435546873,real time rescaled near pseudo range
a1_time_variants_60ep,A1 Time Encoding / Main-Branch Variants (60ep),60ep seed42 nuScenes-mini,6,order,A1-order,A1 order,variant,success/test,51.228668212890625,60,75719,53.29868698120117,45,56789,2.070018768310547,49.00182374318441,3.5593127541666076,50.9858,52.2834,0.24286821289062743,1.0152869812011716,restore SeqTrack order-time semantics
a1_time_variants_60ep,A1 Time Encoding / Main-Branch Variants (60ep),60ep seed42 nuScenes-mini,6,order,A1-order,A1 order,variant,precision/test,57.863243103027344,60,75719,62.01531982421875,45,56789,4.152076721191406,56.958882331848145,4.79577458241064,59.9617,65.2144,-2.0984568969726567,-3.1990801757812477,restore SeqTrack order-time semantics
a1_time_variants_60ep,A1 Time Encoding / Main-Branch Variants (60ep),60ep seed42 nuScenes-mini,7,twc_gate,A1-order+TWC,A1 order+TWC,variant,success/test,51.156455993652344,60,75720,53.15645980834961,55,69410,2.0000038146972656,47.28464698791504,6.730356317200045,50.9858,52.2834,0.17065599365234618,0.8730598083496091,active TWC on A1-order
a1_time_variants_60ep,A1 Time Encoding / Main-Branch Variants (60ep),60ep seed42 nuScenes-mini,7,twc_gate,A1-order+TWC,A1 order+TWC,variant,precision/test,61.10174560546875,60,75720,63.35011291503906,55,69410,2.2483673095703125,55.2939453125,10.470390364922704,59.9617,65.2144,1.1400456054687496,-1.8642870849609352,active TWC on A1-order
a2_dynamics_variants_60ep,A2 Dynamics Variants (60ep),60ep nuScenes-mini; cand1 has fewer optimizer steps,0,main,SeqTrack baseline,SeqTrack baseline,baseline,success/test,50.9858,60,75719,52.2834,35,44169,1.2976000000000028,47.96790833333333,3.474774840057586,50.9858,52.2834,0.0,0.0,baseline
a2_dynamics_variants_60ep,A2 Dynamics Variants (60ep),60ep nuScenes-mini; cand1 has fewer optimizer steps,0,main,SeqTrack baseline,SeqTrack baseline,baseline,precision/test,59.9617,60,75719,65.2144,10,12619,5.252699999999997,55.92588333333333,6.395816864669351,59.9617,65.2144,0.0,0.0,baseline
a2_dynamics_variants_60ep,A2 Dynamics Variants (60ep),60ep nuScenes-mini; cand1 has fewer optimizer steps,1,main,A2 Dynamics,A2 raw-dyn,variant,success/test,45.26586532592773,60,75719,45.35995864868164,25,31549,0.09409332275391336,42.48468462626139,4.833066177010342,50.9858,52.2834,-5.71993467407227,-6.92344135131836,raw real-time + dynamics
a2_dynamics_variants_60ep,A2 Dynamics Variants (60ep),60ep nuScenes-mini; cand1 has fewer optimizer steps,1,main,A2 Dynamics,A2 raw-dyn,variant,precision/test,58.83151245117188,60,75719,58.852298736572266,25,31549,0.02078628540038352,52.180252393086754,9.769389836780594,59.9617,65.2144,-1.1301875488281183,-6.362101263427732,raw real-time + dynamics
