comparison,bucket_type,bucket,count,success_left,success_right,success_delta,precision_left,precision_right,precision_delta,mean_error_gain
standard_M2_minus_A1,real_dt,<0.75,2179,53.1723267553924,48.83776961909133,4.334557136301065,65.61037173015144,55.705598898577335,9.904772831574107,0.6606714534609943
standard_M2_minus_A1,real_dt,missing,106,98.67924528301887,98.67924528301887,0.0,100.0,100.0,0.0,0.0
standard_M2_minus_A1,gt_displacement,0.5-1.0,14,15.714285714285714,15.0,0.7142857142857135,16.607142857142854,15.357142857142856,1.2499999999999982,0.3117327457249015
standard_M2_minus_A1,gt_displacement,1.0-2.0,15,9.166666666666668,9.500000000000002,-0.3333333333333339,3.666666666666665,4.666666666666666,-1.0000000000000009,3.508177516159618
standard_M2_minus_A1,gt_displacement,2.0-4.0,27,16.944444444444446,13.796296296296296,3.1481481481481506,16.388888888888893,13.333333333333334,3.055555555555559,0.9117175487876725
standard_M2_minus_A1,gt_displacement,<0.5,2188,57.24177330895795,52.963893967093234,4.277879341864718,69.75891224862887,59.9245886654479,9.834323583180975,0.5966247130036746
standard_M2_minus_A1,gt_displacement,>=4.0,41,6.402439024390244,6.524390243902439,-0.12195121951219523,4.939024390243903,5.426829268292682,-0.48780487804877914,1.2825592692599308
standard_true_minus_fixed,real_dt,<0.75,2179,53.1723267553924,53.140201927489684,0.03212482790271309,65.61037173015144,65.6206975676916,-0.010325837540150928,0.004460783444387939
standard_true_minus_fixed,real_dt,missing,106,98.67924528301887,98.67924528301887,0.0,100.0,100.0,0.0,0.0
standard_true_minus_fixed,gt_displacement,0.5-1.0,14,15.714285714285714,15.714285714285714,0.0,16.607142857142854,16.607142857142854,0.0,0.00046296441651527687
standard_true_minus_fixed,gt_displacement,1.0-2.0,15,9.166666666666668,9.166666666666668,0.0,3.666666666666665,3.666666666666665,0.0,0.0018400212393210325
standard_true_minus_fixed,gt_displacement,2.0-4.0,27,16.944444444444446,15.277777777777779,1.6666666666666679,16.388888888888893,13.425925925925924,2.962962962962969,0.06051549722560523
standard_true_minus_fixed,gt_displacement,<0.5,2188,57.24177330895795,57.230347349177336,0.011425959780616779,69.75891224862887,69.80575868372944,-0.04684643510056219,0.0036755937907930747
standard_true_minus_fixed,gt_displacement,>=4.0,41,6.402439024390244,6.402439024390244,0.0,4.939024390243903,4.939024390243903,0.0,0.00024018696471728163
standard_true_minus_shuffled,real_dt,<0.75,2179,53.1723267553924,53.10119320789353,0.07113354749886724,65.61037173015144,65.52088113813676,0.08949059201468401,0.00868741509883142
standard_true_minus_shuffled,real_dt,missing,106,98.67924528301887,98.67924528301887,0.0,100.0,100.0,0.0,0.0
standard_true_minus_shuffled,gt_displacement,0.5-1.0,14,15.714285714285714,15.714285714285714,0.0,16.607142857142854,16.607142857142854,0.0,0.001237204619121357
standard_true_minus_shuffled,gt_displacement,1.0-2.0,15,9.166666666666668,9.166666666666668,0.0,3.666666666666665,3.666666666666665,0.0,0.0061289705335756395
standard_true_minus_shuffled,gt_displacement,2.0-4.0,27,16.944444444444446,15.092592592592593,1.851851851851853,16.388888888888893,13.425925925925924,2.962962962962969,0.08493683855162537
standard_true_minus_shuffled,gt_displacement,<0.5,2188,57.24177330895795,57.193784277879345,0.047989031078607525,69.75891224862887,69.70635283363802,0.052559414990852815,0.00617469660396841
standard_true_minus_shuffled,gt_displacement,>=4.0,41,6.402439024390244,6.402439024390244,0.0,4.939024390243903,4.939024390243903,0.0,0.07358759188552
gap1124_M2_minus_A1,real_dt,0.75-1.0,165,55.46969696969697,52.43939393939395,3.030303030303017,69.07575757575758,63.5,5.575757575757578,0.13887972342925226
gap1124_M2_minus_A1,real_dt,1.0-2.0,257,51.838521400778205,50.32101167315175,1.5175097276264538,65.72957198443581,61.692607003891055,4.036964980544752,0.12400318223637319
gap1124_M2_minus_A1,real_dt,<0.75,644,59.15372670807455,56.56832298136647,2.58540372670808,70.70652173913042,66.49068322981367,4.215838509316754,0.1824440407597181
gap1124_M2_minus_A1,real_dt,>=2.0,100,46.949999999999996,43.849999999999994,3.1000000000000014,61.425000000000004,56.074999999999996,5.3500000000000085,0.1410353176992385
gap1124_M2_minus_A1,real_dt,missing,91,98.65384615384616,98.65384615384616,0.0,100.0,100.0,0.0,0.0
gap1124_M2_minus_A1,gt_displacement,0.5-1.0,14,22.857142857142858,22.142857142857142,0.7142857142857153,38.92857142857142,38.57142857142857,0.3571428571428541,0.10345142206627767
gap1124_M2_minus_A1,gt_displacement,1.0-2.0,7,6.785714285714286,6.071428571428571,0.7142857142857144,7.1428571428571415,4.285714285714284,2.8571428571428577,0.4321758444621224
gap1124_M2_minus_A1,gt_displacement,2.0-4.0,17,23.08823529411765,18.382352941176467,4.705882352941181,25.0,19.852941176470583,5.147058823529417,0.5138349659724941
gap1124_M2_minus_A1,gt_displacement,<0.5,1191,61.63937867338372,59.313602015113354,2.325776658270364,73.9273719563392,69.64945424013433,4.277917716204868,0.09415785943123223
gap1124_M2_minus_A1,gt_displacement,>=4.0,28,2.5,2.5,0.0,0.0,0.0,0.0,2.1796682284094366
gap1124_true_minus_fixed,real_dt,0.75-1.0,165,55.46969696969697,55.56060606060606,-0.09090909090909349,69.07575757575758,69.16666666666667,-0.09090909090909349,-0.00691852658984482
gap1124_true_minus_fixed,real_dt,1.0-2.0,257,51.838521400778205,52.18871595330739,-0.35019455252918164,65.72957198443581,65.89494163424125,-0.16536964980544155,0.04030783174762531
gap1124_true_minus_fixed,real_dt,<0.75,644,59.15372670807455,59.23913043478263,-0.08540372670807983,70.70652173913042,70.64440993788818,0.062111801242238585,0.032075667744035474
gap1124_true_minus_fixed,real_dt,>=2.0,100,46.949999999999996,46.95,-7.105427357601002e-15,61.425000000000004,61.075,0.3500000000000014,0.004091506271873158
gap1124_true_minus_fixed,real_dt,missing,91,98.65384615384616,98.65384615384616,0.0,100.0,100.0,0.0,0.0
gap1124_true_minus_fixed,gt_displacement,0.5-1.0,14,22.857142857142858,22.857142857142858,0.0,38.92857142857142,38.92857142857142,0.0,0.003531399748422537
gap1124_true_minus_fixed,gt_displacement,1.0-2.0,7,6.785714285714286,6.785714285714286,0.0,7.1428571428571415,7.1428571428571415,0.0,-0.08895291361610624
gap1124_true_minus_fixed,gt_displacement,2.0-4.0,17,23.08823529411765,20.441176470588236,2.647058823529413,25.0,20.0,5.0,0.08405706286248815
gap1124_true_minus_fixed,gt_displacement,<0.5,1191,61.63937867338372,61.811502938706965,-0.17212426532324798,73.9273719563392,73.98404701931149,-0.05667506297228897,0.015211294559740463
gap1124_true_minus_fixed,gt_displacement,>=4.0,28,2.5,2.5,0.0,0.0,0.0,0.0,0.4039659084172378
gap1124_true_minus_shuffled,real_dt,0.75-1.0,165,55.46969696969697,55.65151515151515,-0.18181818181817988,69.07575757575758,69.03030303030305,0.045454545454532536,-0.030426853104553953
