run_key,model,family,condition,metric,epoch,step,value
a2_corrected_twc,A2-order-dyn + corrected-TWC,A2,corrected-TWC,success/test,5,6310,25.808536529541016
a2_corrected_twc,A2-order-dyn + corrected-TWC,A2,corrected-TWC,success/test,10,12620,31.898250579833984
a2_corrected_twc,A2-order-dyn + corrected-TWC,A2,corrected-TWC,success/test,15,18930,29.847919464111328
a2_corrected_twc,A2-order-dyn + corrected-TWC,A2,corrected-TWC,success/test,20,25240,45.799781799316406
a2_corrected_twc,A2-order-dyn + corrected-TWC,A2,corrected-TWC,success/test,25,31550,48.85667419433594
a2_corrected_twc,A2-order-dyn + corrected-TWC,A2,corrected-TWC,success/test,30,37860,46.1170654296875
a2_corrected_twc,A2-order-dyn + corrected-TWC,A2,corrected-TWC,success/test,35,44170,50.56783676147461
a2_corrected_twc,A2-order-dyn + corrected-TWC,A2,corrected-TWC,success/test,40,50480,49.1739616394043
a2_corrected_twc,A2-order-dyn + corrected-TWC,A2,corrected-TWC,success/test,45,56790,47.68381118774414
a2_corrected_twc,A2-order-dyn + corrected-TWC,A2,corrected-TWC,success/test,50,63100,49.156455993652344
a2_corrected_twc,A2-order-dyn + corrected-TWC,A2,corrected-TWC,success/test,55,69410,50.28117752075195
a2_corrected_twc,A2-order-dyn + corrected-TWC,A2,corrected-TWC,success/test,60,75720,50.036109924316406
a2_corrected_twc,A2-order-dyn + corrected-TWC,A2,corrected-TWC,precision/test,5,6310,22.387310028076172
a2_corrected_twc,A2-order-dyn + corrected-TWC,A2,corrected-TWC,precision/test,10,12620,32.324947357177734
a2_corrected_twc,A2-order-dyn + corrected-TWC,A2,corrected-TWC,precision/test,15,18930,31.85776710510254
a2_corrected_twc,A2-order-dyn + corrected-TWC,A2,corrected-TWC,precision/test,20,25240,54.565650939941406
a2_corrected_twc,A2-order-dyn + corrected-TWC,A2,corrected-TWC,precision/test,25,31550,57.62472915649414
a2_corrected_twc,A2-order-dyn + corrected-TWC,A2,corrected-TWC,precision/test,30,37860,49.236324310302734
a2_corrected_twc,A2-order-dyn + corrected-TWC,A2,corrected-TWC,precision/test,35,44170,63.77352523803711
a2_corrected_twc,A2-order-dyn + corrected-TWC,A2,corrected-TWC,precision/test,40,50480,63.30525207519531
a2_corrected_twc,A2-order-dyn + corrected-TWC,A2,corrected-TWC,precision/test,45,56790,55.41794204711914
a2_corrected_twc,A2-order-dyn + corrected-TWC,A2,corrected-TWC,precision/test,50,63100,58.80634689331055
a2_corrected_twc,A2-order-dyn + corrected-TWC,A2,corrected-TWC,precision/test,55,69410,61.15645217895508
a2_corrected_twc,A2-order-dyn + corrected-TWC,A2,corrected-TWC,precision/test,60,75720,61.245079040527344
