treatment,baseline,comparison_basis,delta_final_success,delta_final_precision,delta_late3_success,delta_late3_precision
V21_SEARCH,LEGACY_SEARCH,search redesign versus legacy tube search-only,3.0875205993652344,6.654270172119141,2.381474812825523,6.174326578776039
V21_SEARCH,SEQTRACK_NEW,requested control; numerically paired but anomalous,21.059080123901367,31.708974838256836,20.67396291097005,31.126917521158855
V21_SEARCH,SEQTRACK_HIST,historical original SeqTrack reference,1.7571067810058594,3.0842437744140625,1.7045974731445312,2.904449462890625
V21_SEARCH,B0_HIST,strongest available B0 guardrail; not same commit,-0.6170692443847656,-1.3358802795410156,-1.0926310221354143,-1.33697509765625
V21_FULL,B2V2_FULL,v2.1 full versus v2 full; different clean commits,-28.284461975097656,-39.57767677307129,-28.66885312398275,-40.647702534993485
V21_FULL,SEQTRACK_NEW,requested control; numerically paired but anomalous,-5.835882186889648,-6.159736633300781,-5.345001856486004,-5.2749811808268205
V21_FULL,SEQTRACK_HIST,historical original SeqTrack reference,-25.137855529785156,-34.784467697143555,-24.314367294311523,-33.49744923909505
V21_FULL,B0_HIST,strongest available B0 guardrail; not same commit,-27.51203155517578,-39.20459175109863,-27.11159578959147,-37.73887379964192
V21_SEARCH,B2V2_FULL,component diagnostic; not a matched architecture pair,-1.3894996643066406,-1.7089653015136719,-2.649888356526695,-4.2458038330078125
