run_id,reference_id,basis,delta_final_success,delta_final_precision,delta_late3_success,delta_late3_precision
NEW_B1,B0_HIST,historical B0 guardrail,-0.04157257080078125,-1.8085289001464844,0.15755081176757812,-0.5918986002604143
NEW_SEARCH,B0_HIST,historical B0 guardrail,-2.0525131225585938,-4.565643310546875,-1.7644030253092424,-2.9883270263671875
NEW_FULL,B0_HIST,historical B0 guardrail,-26.606124877929688,-37.505470275878906,-25.84317843119303,-36.06236267089844
NEW_FULL,NEW_B1,matched new B1,-26.564552307128906,-35.69694137573242,-26.00072924296061,-35.47046407063802
NEW_FULL,NEW_SEARCH,matched new Search-only,-24.553611755371094,-32.93982696533203,-24.07877540588379,-33.07403564453125
NEW_B1,OLD_B1,repeatability,0.6630172729492188,0.7385139465332031,1.0123990376790317,1.305983225504562
NEW_SEARCH,OLD_SEARCH,repeatability,-1.4354438781738281,-3.2297630310058594,-0.6717720031738281,-1.6513519287109375
NEW_FULL,OLD_FULL,repeatability,0.9059066772460938,1.6991214752197266,1.2684173583984375,1.6765111287434884
