run_id,status,final_success,final_precision,best_success,best_success_epoch,best_precision,best_precision_epoch,late3_success,late3_precision
B0,COMPLETE,53.359954833984375,64.3818359375,54.13457107543945,50,64.3818359375,60,52.90481440226237,63.10430145263672
B1,COMPLETE,26.02078628540039,24.971555709838867,29.114877700805664,5,31.211158752441406,20,26.07986831665039,25.298688252766926
B2,COMPLETE,47.97264862060547,52.087528228759766,50.079872131347656,25,58.49890899658203,25,46.436543782552086,49.818016052246094
B3,COMPLETE,25.537200927734375,24.706783294677734,34.45842742919922,5,37.72429275512695,5,26.32057062784831,25.103574752807617
