run_id,alpha,metric,count,mean,post_warmup_mean,late_epoch_mean,epoch5_mean,epoch6_mean,epoch7_mean,p95,max
B0,,fusion_alpha_nominal,0,,,,,,,,
B0,,fusion_alpha_batch_min,0,,,,,,,,
B0,,fusion_alpha_batch_max,0,,,,,,,,
B0,,fusion_alpha_applied,0,,,,,,,,
B0,,innovation_norm,0,,,,,,,,
B0,,innovation_applied_ratio,0,,,,,,,,
B0,,innovation_clamp_ratio,0,,,,,,,,
B0,,search_used_ratio,75720,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B0,,search_expansion_ratio,75720,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B0,,search_expansion_points,75720,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B0,,usable_search_ratio,75720,0.8109086106708928,0.8108782956346348,0.8102713946117274,0.811311410459588,0.8096770998415214,0.8108656893819335,0.9375,1.0
B0,,training_loss_total,75720,0.4532373010202046,0.3140288794903492,0.22081461401800914,0.8038050293591812,0.7262481847532956,0.6740562586370625,1.4160775184631351,15.080487251281738
A0,0.0,fusion_alpha_nominal,75720,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A0,0.0,fusion_alpha_batch_min,75720,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A0,0.0,fusion_alpha_batch_max,75720,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A0,0.0,fusion_alpha_applied,75720,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A0,0.0,innovation_norm,75720,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A0,0.0,innovation_applied_ratio,75720,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A0,0.0,innovation_clamp_ratio,75720,0.3131570258848389,0.3013884886903904,0.3032389064976228,0.3733161648177496,0.35424920760697304,0.3471176703645008,0.5,1.0
A0,0.0,search_used_ratio,75720,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A0,0.0,search_expansion_ratio,75720,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A0,0.0,search_expansion_points,75720,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A0,0.0,usable_search_ratio,75720,0.8112131867406234,0.8111736421264948,0.8104199683042789,0.8117076069730587,0.8104694928684627,0.8134904912836767,0.9375,1.0
A0,0.0,training_loss_total,75720,0.48164437727001974,0.32333360917521664,0.2233537618903275,0.8679027226052458,0.7734415387106017,0.7094500729380243,1.51601734161377,16.597673416137695
A025,0.25,fusion_alpha_nominal,75720,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25
A025,0.25,fusion_alpha_batch_min,75720,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25
A025,0.25,fusion_alpha_batch_max,75720,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25
A025,0.25,fusion_alpha_applied,75720,0.1688694780110935,0.18422124873937473,0.18384756339144215,0.0,0.18421899762282093,0.18428090332805072,0.21875,0.25
A025,0.25,innovation_norm,75720,0.07577960162740388,0.08266865632080422,0.08187349838029044,0.0,0.08725328340229066,0.08835172144439302,0.11279451660811901,0.17006194591522217
A025,0.25,innovation_applied_ratio,75720,0.6754721341785526,0.7368786918311483,0.7353902535657686,0.0,0.7368759904912837,0.7371236133122029,0.875,1.0
A025,0.25,innovation_clamp_ratio,75720,0.338907323032224,0.3296336983143639,0.3256735340729002,0.3856973058637084,0.37143423137876386,0.38312202852614896,0.5625,1.0
A025,0.25,search_used_ratio,75720,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A025,0.25,search_expansion_ratio,75720,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A025,0.25,search_expansion_points,75720,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A025,0.25,usable_search_ratio,75720,0.8112131867406234,0.8111736421264948,0.8104199683042789,0.8117076069730587,0.8104694928684627,0.8134904912836767,0.9375,1.0
A025,0.25,training_loss_total,75720,0.48048823767022375,0.31706668200729954,0.21696295676584668,0.8842329466257911,0.7564261841651188,0.6971419299768192,1.5173838019371044,16.597673416137695
A075,0.75,fusion_alpha_nominal,75720,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75
A075,0.75,fusion_alpha_batch_min,75720,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75
A075,0.75,fusion_alpha_batch_max,75720,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75
A075,0.75,fusion_alpha_applied,75720,0.5066084340332805,0.5526637462181242,0.5515426901743264,0.0,0.5526569928684627,0.5528427099841522,0.65625,0.75
A075,0.75,innovation_norm,75720,0.26762553691909274,0.2919551311844648,0.29794245483663684,0.0,0.2753436164236768,0.2908515719233432,0.3872464671730996,0.5196514129638672
A075,0.75,innovation_applied_ratio,75720,0.675477912044374,0.7368849949574989,0.7353902535657686,0.0,0.7368759904912837,0.7371236133122029,0.875,1.0
A075,0.75,innovation_clamp_ratio,75720,0.4098628169572108,0.4073332372856937,0.4173435023771791,0.37490095087163233,0.4103110142630745,0.4298732171156894,0.625,1.0
A075,0.75,search_used_ratio,75720,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A075,0.75,search_expansion_ratio,75720,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A075,0.75,search_expansion_points,75720,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A075,0.75,usable_search_ratio,75720,0.8112131867406234,0.8111736421264948,0.8104199683042789,0.8117076069730587,0.8104694928684627,0.8134904912836767,0.9375,1.0
A075,0.75,training_loss_total,75720,0.48123734162759274,0.3081086304911987,0.21528836225178655,0.8729864181316032,0.7168066390035837,0.6663651972442346,1.5582698583602907,16.597673416137695
