run_order,run_key,source_model,display_model,metric,epoch,step,value
4,a2_order_dyn_twc_w001_seed42,A2-order-dyn+TWC w0.01 seed42,A2+TWC .01 seed42,success/test,25,31550,26.386213302612305
4,a2_order_dyn_twc_w001_seed42,A2-order-dyn+TWC w0.01 seed42,A2+TWC .01 seed42,success/test,30,37860,24.090810775756836
4,a2_order_dyn_twc_w001_seed42,A2-order-dyn+TWC w0.01 seed42,A2+TWC .01 seed42,success/test,35,44170,22.34682846069336
4,a2_order_dyn_twc_w001_seed42,A2-order-dyn+TWC w0.01 seed42,A2+TWC .01 seed42,success/test,40,50480,21.34026527404785
4,a2_order_dyn_twc_w001_seed42,A2-order-dyn+TWC w0.01 seed42,A2+TWC .01 seed42,success/test,45,56790,22.98796844482422
4,a2_order_dyn_twc_w001_seed42,A2-order-dyn+TWC w0.01 seed42,A2+TWC .01 seed42,success/test,50,63100,23.007659912109375
4,a2_order_dyn_twc_w001_seed42,A2-order-dyn+TWC w0.01 seed42,A2+TWC .01 seed42,success/test,55,69410,22.618162155151367
4,a2_order_dyn_twc_w001_seed42,A2-order-dyn+TWC w0.01 seed42,A2+TWC .01 seed42,success/test,60,75720,22.878559112548828
4,a2_order_dyn_twc_w001_seed42,A2-order-dyn+TWC w0.01 seed42,A2+TWC .01 seed42,precision/test,5,6310,32.156455993652344
4,a2_order_dyn_twc_w001_seed42,A2-order-dyn+TWC w0.01 seed42,A2+TWC .01 seed42,precision/test,10,12620,30.056894302368164
4,a2_order_dyn_twc_w001_seed42,A2-order-dyn+TWC w0.01 seed42,A2+TWC .01 seed42,precision/test,15,18930,22.671772003173828
4,a2_order_dyn_twc_w001_seed42,A2-order-dyn+TWC w0.01 seed42,A2+TWC .01 seed42,precision/test,20,25240,27.026260375976562
4,a2_order_dyn_twc_w001_seed42,A2-order-dyn+TWC w0.01 seed42,A2+TWC .01 seed42,precision/test,25,31550,28.51969337463379
4,a2_order_dyn_twc_w001_seed42,A2-order-dyn+TWC w0.01 seed42,A2+TWC .01 seed42,precision/test,30,37860,25.42560386657715
4,a2_order_dyn_twc_w001_seed42,A2-order-dyn+TWC w0.01 seed42,A2+TWC .01 seed42,precision/test,35,44170,23.263675689697266
4,a2_order_dyn_twc_w001_seed42,A2-order-dyn+TWC w0.01 seed42,A2+TWC .01 seed42,precision/test,40,50480,21.789936065673828
4,a2_order_dyn_twc_w001_seed42,A2-order-dyn+TWC w0.01 seed42,A2+TWC .01 seed42,precision/test,45,56790,24.635665893554688
4,a2_order_dyn_twc_w001_seed42,A2-order-dyn+TWC w0.01 seed42,A2+TWC .01 seed42,precision/test,50,63100,24.471553802490234
4,a2_order_dyn_twc_w001_seed42,A2-order-dyn+TWC w0.01 seed42,A2+TWC .01 seed42,precision/test,55,69410,23.690372467041016
4,a2_order_dyn_twc_w001_seed42,A2-order-dyn+TWC w0.01 seed42,A2+TWC .01 seed42,precision/test,60,75720,24.269147872924805
