protocol,metric,epoch,true_value,shuffled_value,true_minus_shuffled
random20,Success,5,36.394996643066406,33.684715270996094,2.7102813720703125
random20,Success,10,26.056900024414062,28.206432342529297,-2.1495323181152344
random20,Success,15,41.801815032958984,28.594005584716797,13.207809448242188
random20,Success,20,48.085487365722656,53.269649505615234,-5.184162139892578
random20,Success,25,50.13881301879883,45.36696243286133,4.7718505859375
random20,Success,30,41.72209930419922,37.376304626464844,4.345794677734375
random20,Success,35,35.86723327636719,34.877685546875,0.9895477294921875
random20,Success,40,37.19488525390625,32.425785064697266,4.769100189208984
random20,Success,45,44.935401916503906,42.62094497680664,2.3144569396972656
random20,Success,50,45.24876403808594,41.59565734863281,3.653106689453125
random20,Success,55,45.55387496948242,42.76938247680664,2.7844924926757812
random20,Success,60,44.852943420410156,41.09538269042969,3.7575607299804688
random20,Precision,5,52.49175262451172,39.16849899291992,13.323253631591797
random20,Precision,10,20.42605972290039,22.372180938720703,-1.9461212158203125
random20,Precision,15,44.876304626464844,22.968666076660156,21.907638549804688
random20,Precision,20,66.22319793701172,63.12260437011719,3.1005935668945312
random20,Precision,25,57.76800537109375,47.87933349609375,9.888671875
random20,Precision,30,38.37960433959961,33.15695571899414,5.222648620605469
random20,Precision,35,33.78642272949219,29.1932373046875,4.5931854248046875
random20,Precision,40,38.014015197753906,28.457944869995117,9.556070327758789
random20,Precision,45,45.62534713745117,41.13798904418945,4.487358093261719
random20,Precision,50,45.773780822753906,38.735565185546875,7.038215637207031
random20,Precision,55,46.59153366088867,40.61572265625,5.975811004638672
random20,Precision,60,44.81308364868164,37.489009857177734,7.324073791503906
gap1124,Success,5,32.09825134277344,38.136436462402344,-6.038185119628906
gap1124,Success,10,46.65672302246094,53.68933868408203,-7.032615661621094
gap1124,Success,15,32.814239501953125,38.28361511230469,-5.4693756103515625
gap1124,Success,20,44.0155143737793,43.188148498535156,0.8273658752441406
gap1124,Success,25,48.12450408935547,50.745826721191406,-2.6213226318359375
gap1124,Success,30,49.03142547607422,48.78083038330078,0.2505950927734375
gap1124,Success,35,35.4952278137207,42.01471710205078,-6.519489288330078
gap1124,Success,40,34.640018463134766,40.85719680786133,-6.2171783447265625
gap1124,Success,45,44.2939567565918,45.22076416015625,-0.9268074035644531
gap1124,Success,50,37.3846435546875,42.165870666503906,-4.781227111816406
gap1124,Success,55,38.69729232788086,46.46181106567383,-7.764518737792969
gap1124,Success,60,44.858787536621094,43.438743591308594,1.4200439453125
gap1124,Precision,5,50.53102493286133,46.51352310180664,4.0175018310546875
gap1124,Precision,10,49.0831298828125,62.5894889831543,-13.506359100341797
gap1124,Precision,15,38.58989334106445,57.46419906616211,-18.874305725097656
gap1124,Precision,20,60.60063934326172,61.684566497802734,-1.0839271545410156
gap1124,Precision,25,52.348846435546875,58.44868469238281,-6.0998382568359375
gap1124,Precision,30,55.40174865722656,55.58273696899414,-0.18098831176757812
gap1124,Precision,35,36.20326614379883,44.884647369384766,-8.681381225585938
gap1124,Precision,40,34.369529724121094,44.248207092285156,-9.878677368164062
gap1124,Precision,45,47.71281051635742,49.451072692871094,-1.7382621765136719
gap1124,Precision,50,38.50835418701172,44.85481262207031,-6.346458435058594
gap1124,Precision,55,39.49283981323242,50.92083740234375,-11.427997589111328
gap1124,Precision,60,48.28162384033203,46.463802337646484,1.8178215026855469
