run_id,arm,epoch,loss_total,loss_center,loss_angle,loss_seg,loss_bc
SEQTRACK_NEW,"SeqTrack control (2026-08-01, anomalous)",1,4.982779877688352,0.18547351821362618,0.002112269987864484,0.5328496960471436,2.7792746478517536
SEQTRACK_NEW,"SeqTrack control (2026-08-01, anomalous)",5,0.8197805486654896,0.07265691445858502,0.0006030514609724645,0.15246632845744656,0.218904913286494
SEQTRACK_NEW,"SeqTrack control (2026-08-01, anomalous)",10,0.5495843307577108,0.04934494021730926,0.0004397926909599797,0.08294398488001617,0.1373223033534413
SEQTRACK_NEW,"SeqTrack control (2026-08-01, anomalous)",15,0.46221431364820426,0.04193356993317415,0.00038442115594869815,0.07066120483311818,0.11422836614651649
SEQTRACK_NEW,"SeqTrack control (2026-08-01, anomalous)",20,0.380020282796559,0.03644179645150888,0.00033631135318676884,0.058152100726631475,0.09316506878238189
SEQTRACK_NEW,"SeqTrack control (2026-08-01, anomalous)",50,0.2263217181049984,0.021748780467726065,0.0002464651180102941,0.04527159720709438,0.06722849028748822
SEQTRACK_NEW,"SeqTrack control (2026-08-01, anomalous)",60,0.22026913394640818,0.021471804696786116,0.0002506172811777516,0.04503968468440694,0.06560889146365993
SEQTRACK_HIST,SeqTrack historical seed42 reference,1,4.823163726061535,0.18361008324160014,0.0019095019176914158,0.5159916864049794,2.749448988120265
SEQTRACK_HIST,SeqTrack historical seed42 reference,5,0.8090370754621297,0.07045195122705492,0.0006072576279202997,0.15203092674681956,0.22003221249122248
SEQTRACK_HIST,SeqTrack historical seed42 reference,10,0.5545213371869502,0.04982470855723459,0.00043591510287946606,0.08671713418071933,0.14082408347794353
SEQTRACK_HIST,SeqTrack historical seed42 reference,15,0.45296747824280464,0.042711162405374876,0.00034884309693574117,0.06959428647961084,0.11302300507465463
SEQTRACK_HIST,SeqTrack historical seed42 reference,20,0.3852407315571788,0.0365425358517553,0.000318529159926764,0.06340142100512179,0.09894531807624594
SEQTRACK_HIST,SeqTrack historical seed42 reference,50,0.2243314955779093,0.021773879399313554,0.00024004966792884918,0.04816218391252702,0.06960699206628437
SEQTRACK_HIST,SeqTrack historical seed42 reference,60,0.21872659758465415,0.02105112928379085,0.00022943141163095167,0.046839215462103415,0.0677916125088883
V21_SEARCH,B2-v2.1 search-only,1,5.053921575024842,0.1841469747088141,0.0018591143880473935,0.5231582050089224,2.7640859304252783
V21_SEARCH,B2-v2.1 search-only,5,0.8894880721006077,0.0703423114308258,0.000591858186903167,0.15135556804208106,0.21805434299134036
V21_SEARCH,B2-v2.1 search-only,10,0.6149131466653759,0.04944679651537795,0.00042374733383657533,0.08815622478487374,0.13997769153273992
V21_SEARCH,B2-v2.1 search-only,15,0.5438393063595292,0.04168182042414077,0.00037570807142606134,0.07085620499734077,0.11420008488200169
V21_SEARCH,B2-v2.1 search-only,20,0.4975451874869939,0.035967183518171804,0.00032687507500841253,0.06076809866781894,0.09795320069449828
V21_SEARCH,B2-v2.1 search-only,50,0.2955581470202247,0.022024568050388372,0.00024118676647020315,0.04677672468851986,0.06934209353631442
V21_SEARCH,B2-v2.1 search-only,60,0.2908941668099628,0.022196441163012254,0.00024217615997595968,0.046168072875323464,0.06702145745331295
V21_FULL,B2-v2.1 motion + search + advantage fusion,1,5.091592759224579,0.17828713255239245,0.0018502460079155634,0.5208783980027998,2.7900932802451206
V21_FULL,B2-v2.1 motion + search + advantage fusion,5,0.9072081456093705,0.07037422973138653,0.00060138344468563,0.14895486431978583,0.21551936471660618
V21_FULL,B2-v2.1 motion + search + advantage fusion,10,0.6429515752215204,0.050236398238310866,0.0004691843367949211,0.08606353552241569,0.1390181602216466
V21_FULL,B2-v2.1 motion + search + advantage fusion,15,0.5503294712933232,0.04080488822546901,0.0004020984507202725,0.06619295043495917,0.10903069466683075
V21_FULL,B2-v2.1 motion + search + advantage fusion,20,0.5069502180946988,0.036176350138190004,0.0003358363749694338,0.058708541636929366,0.09435169203074062
V21_FULL,B2-v2.1 motion + search + advantage fusion,50,0.3034889611419993,0.020929823734350324,0.00024012731072473893,0.04576800858879406,0.06478547870156409
V21_FULL,B2-v2.1 motion + search + advantage fusion,60,0.2997107733802637,0.02127186483046757,0.00022417388344626347,0.04656317190041326,0.06477389572905569
