run_id,metric,count,mean,post_warmup_mean,late_epoch_mean,epoch5_mean,epoch6_mean,epoch7_mean,p95,max
B0,search_used_ratio,75720,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B0,search_expansion_ratio,75720,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B0,search_expansion_points,75720,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B0,usable_search_ratio,75720,0.8109086106708928,0.8108782956346348,0.8102713946117274,0.811311410459588,0.8096770998415214,0.8108656893819335,0.9375,1.0
B0,training_loss_total,75720,0.4532373010202046,0.3140288794903492,0.22081461401800914,0.8038050293591812,0.7262481847532956,0.6740562586370625,1.4160775184631351,15.080487251281738
B1,search_used_ratio,75720,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B1,search_expansion_ratio,75720,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B1,search_expansion_points,75720,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B1,usable_search_ratio,75720,0.8112131867406234,0.8111736421264948,0.8104199683042789,0.8117076069730587,0.8104694928684627,0.8134904912836767,0.9375,1.0
B1,training_loss_total,75720,0.48123734162759274,0.3081086304911987,0.21528836225178655,0.8729864181316032,0.7168066390035837,0.6663651972442346,1.5582698583602907,16.597673416137695
A1,search_used_ratio,75720,0.034595384310618066,0.03460056187869183,0.03412242472266244,0.03377575277337559,0.0339243264659271,0.034766244057052295,0.125,0.3125
A1,search_expansion_ratio,75720,0.008648846077654516,0.008650140469672957,0.00853060618066561,0.008443938193343898,0.008481081616481775,0.008691561014263074,0.03125,0.078125
A1,search_expansion_points,75720,10.256651974379292,10.244203825097248,10.02337559429477,9.46810618066561,9.470582408874803,9.82849643423138,49.875,400.4375
A1,usable_search_ratio,75720,0.8112610604860011,0.8113060077798588,0.8118066561014263,0.8092313787638669,0.810370443740095,0.8112123613312203,0.9375,1.0
A1,training_loss_total,75720,0.4535534078979494,0.31478114400964413,0.22210881165368998,0.7944321950363281,0.7293793818368776,0.678606595354016,1.412511205673218,14.280345916748047
B2,search_used_ratio,75720,0.03458052694136292,0.03459155741247659,0.03412242472266244,0.03471671949286846,0.033973851030110934,0.03412242472266244,0.125,0.375
B2,search_expansion_ratio,75720,0.00864513173534073,0.008647889353119147,0.00853060618066561,0.008679179873217115,0.008493462757527733,0.00853060618066561,0.03125,0.09375
B2,search_expansion_points,75720,10.296172576597993,10.31020206022187,10.316858161648177,10.730140649762282,10.492571315372425,10.887430665610143,49.8125,399.6875
B2,usable_search_ratio,75720,0.8114145866349709,0.8113654372568794,0.8101723454833597,0.8122523771790808,0.8108656893819335,0.8141343106180665,0.9375,1.0
B2,training_loss_total,75720,0.4818087389216425,0.3080302149593023,0.21278284756369334,0.8975288388326693,0.7364050982469802,0.6797705873044092,1.5560319244861605,15.971761703491211
