run_id,label,alpha,final_success,final_precision,best_success,best_success_epoch,best_precision,best_precision_epoch,late3_success,late3_precision,late5_success,late5_precision
B0,B0 baseline,,53.359954833984375,64.3818359375,54.13457107543945,50,64.3818359375,60,52.90481440226237,63.10430145263672,52.916194152832034,62.813786315917966
A0,"B1 motion, alpha=0",0.0,47.04923629760742,49.18381118774414,49.876365661621094,35,58.69146728515625,35,46.82823181152344,49.66885757446289,47.10000228881836,49.96477279663086
A025,"B1 motion, alpha=0.25",0.25,29.580963134765625,28.862146377563477,35.0273551940918,20,41.13019561767578,10,29.47155507405599,28.84865125020345,28.915756225585938,28.239388275146485
A075,"B1 motion, alpha=0.75",0.75,26.02078628540039,24.971555709838867,29.114877700805664,5,31.211158752441406,20,26.07986831665039,25.298688252766926,25.71881866455078,24.945515060424803
