model,stage,metric,final,final_epoch,final_step,best,best_epoch,best_step,mean,std,final_delta_vs_baseline,best_delta_vs_baseline,final_delta_vs_prev_stage,best_delta_vs_prev_stage
SeqTrack baseline,Baseline,success/test,50.9858,60,75719,52.2834,35,44169,47.96790833333333,3.474774840057586,0.0,0.0,0.0,0.0
A1 CT-base,Base: real timestamp only,success/test,28.27680778503418,60,75719,32.35557556152344,15,18929,27.853393077850345,1.8436659784925964,-22.708992214965818,-19.927824438476563,-22.708992214965818,-19.927824438476563
A2 Dynamics,Innovation 1: dynamics prior,success/test,45.26586532592773,60,75719,45.35995864868164,25,31549,42.48468462626139,4.833066177010342,-5.71993467407227,-6.92344135131836,16.989057540893548,13.004383087158203
CT P5 full,Full: real time + dynamics + gate,success/test,31.1937,60,75719,44.9836,25,31549,33.39751666666667,7.988249026417213,-19.792099999999998,-7.299799999999998,-14.072165325927728,-0.37635864868163793
SeqTrack baseline,Baseline,precision/test,59.9617,60,75719,65.2144,10,12619,55.92588333333333,6.395816864669351,0.0,0.0,0.0,0.0
A1 CT-base,Base: real timestamp only,precision/test,27.42888641357422,60,75719,40.36105346679688,10,12619,28.39369185765584,4.878107312057727,-32.53281358642578,-24.853346533203116,-32.53281358642578,-24.853346533203116
A2 Dynamics,Innovation 1: dynamics prior,precision/test,58.83151245117188,60,75719,58.852298736572266,25,31549,52.180252393086754,9.769389836780594,-1.1301875488281183,-6.362101263427732,31.402626037597663,18.491245269775384
CT P5 full,Full: real time + dynamics + gate,precision/test,31.8851,60,75719,62.512,5,6309,36.08916666666666,12.583395080245856,-28.0766,-2.7023999999999972,-26.94641245117188,3.659701263427735
