comparison,success_delta,precision_delta,late3_success_delta,late3_precision_delta
A1_minus_B0,-26.323850631713867,-38.78555679321289,-24.97155443827311,-36.70459302266438
B1_minus_B0,-27.339168548583984,-39.41028022766113,-26.824946085611977,-37.805613199869796
B2_minus_B1,21.951862335205078,27.1159725189209,20.356675465901695,24.519327799479168
B2_minus_B0,-5.387306213378906,-12.294307708740234,-6.468270619710282,-13.286285400390625
A1_minus_B1,1.0153179168701172,0.6247234344482422,1.8533916473388672,1.101020177205406
descriptive_interaction,48.275712966918945,65.90152931213379,,
