epoch,value,points,metric,run_id,run
40,0.7194304277975756,1262,Irregular view B diagnostic GT loss,B,M3-w0
41,0.7112406927814763,1262,Irregular view B diagnostic GT loss,B,M3-w0
42,0.7361305796035024,1262,Irregular view B diagnostic GT loss,B,M3-w0
43,0.7302961455932604,1262,Irregular view B diagnostic GT loss,B,M3-w0
44,0.732910530288716,533,Irregular view B diagnostic GT loss,B,M3-w0
1,5.44936203182027,1262,Canonical view A supervised loss,B,M3-w0
2,2.559617827887014,1262,Canonical view A supervised loss,B,M3-w0
3,1.4841403586173019,1262,Canonical view A supervised loss,B,M3-w0
4,1.0465071893720732,1262,Canonical view A supervised loss,B,M3-w0
5,0.8681035688155805,1262,Canonical view A supervised loss,B,M3-w0
6,0.6856341642311371,1262,Canonical view A supervised loss,B,M3-w0
7,0.6151494745832238,1262,Canonical view A supervised loss,B,M3-w0
8,0.5467667497115921,1262,Canonical view A supervised loss,B,M3-w0
9,0.5306976670532143,1262,Canonical view A supervised loss,B,M3-w0
10,0.48953538134150953,1262,Canonical view A supervised loss,B,M3-w0
11,0.4695304459323974,1262,Canonical view A supervised loss,B,M3-w0
12,0.4278667416016198,1262,Canonical view A supervised loss,B,M3-w0
13,0.40910239703658074,1262,Canonical view A supervised loss,B,M3-w0
14,0.38234482026067096,1262,Canonical view A supervised loss,B,M3-w0
15,0.38138645013614236,1262,Canonical view A supervised loss,B,M3-w0
16,0.3673136909440656,1262,Canonical view A supervised loss,B,M3-w0
17,0.3513912895189601,1262,Canonical view A supervised loss,B,M3-w0
18,0.3271481206141731,1262,Canonical view A supervised loss,B,M3-w0
19,0.32846531672211343,1262,Canonical view A supervised loss,B,M3-w0
20,0.3044525040298842,1262,Canonical view A supervised loss,B,M3-w0
21,0.2656917974010417,1262,Canonical view A supervised loss,B,M3-w0
22,0.24253168593495847,1262,Canonical view A supervised loss,B,M3-w0
23,0.2347149692605679,1262,Canonical view A supervised loss,B,M3-w0
24,0.23187703321645076,1262,Canonical view A supervised loss,B,M3-w0
25,0.2282539306359038,1262,Canonical view A supervised loss,B,M3-w0
26,0.223361035191975,1262,Canonical view A supervised loss,B,M3-w0
27,0.22447703126965537,1262,Canonical view A supervised loss,B,M3-w0
28,0.21533839295953275,1262,Canonical view A supervised loss,B,M3-w0
29,0.21777791888253814,1262,Canonical view A supervised loss,B,M3-w0
30,0.21756456712063066,1262,Canonical view A supervised loss,B,M3-w0
31,0.21251149597192528,1262,Canonical view A supervised loss,B,M3-w0
32,0.20792584637218345,1262,Canonical view A supervised loss,B,M3-w0
33,0.2106675408638884,1262,Canonical view A supervised loss,B,M3-w0
34,0.21050988640724763,1262,Canonical view A supervised loss,B,M3-w0
35,0.20669842573405256,1262,Canonical view A supervised loss,B,M3-w0
36,0.20231220102536887,1262,Canonical view A supervised loss,B,M3-w0
37,0.19970278780193035,1262,Canonical view A supervised loss,B,M3-w0
38,0.1951429688514885,1262,Canonical view A supervised loss,B,M3-w0
39,0.20074544758454743,1262,Canonical view A supervised loss,B,M3-w0
40,0.1939356494311202,1262,Canonical view A supervised loss,B,M3-w0
41,0.19467535872372507,1262,Canonical view A supervised loss,B,M3-w0
42,0.194459076905874,1262,Canonical view A supervised loss,B,M3-w0
43,0.1884850051531512,1262,Canonical view A supervised loss,B,M3-w0
44,0.19066663449139973,532,Canonical view A supervised loss,B,M3-w0
1,2.4739306232583504,1262,Center endpoint gap (m),B,M3-w0
2,1.0950941606860154,1262,Center endpoint gap (m),B,M3-w0
3,1.1383327641502234,1262,Center endpoint gap (m),B,M3-w0
4,1.11430959967917,1262,Center endpoint gap (m),B,M3-w0
5,1.0025472557629722,1262,Center endpoint gap (m),B,M3-w0
6,0.6208121011626985,1262,Center endpoint gap (m),B,M3-w0
7,0.4424700843385774,1262,Center endpoint gap (m),B,M3-w0
8,0.4175662410204932,1262,Center endpoint gap (m),B,M3-w0
9,0.3689843634063771,1262,Center endpoint gap (m),B,M3-w0
10,0.31916011625490553,1262,Center endpoint gap (m),B,M3-w0
11,0.33005444974699033,1262,Center endpoint gap (m),B,M3-w0
12,0.3074132004861975,1262,Center endpoint gap (m),B,M3-w0
13,0.28622032110999956,1262,Center endpoint gap (m),B,M3-w0
14,0.27932561880269824,1262,Center endpoint gap (m),B,M3-w0
15,0.2842737725166908,1262,Center endpoint gap (m),B,M3-w0
16,0.2686904785348761,1262,Center endpoint gap (m),B,M3-w0
17,0.2804828674876369,1262,Center endpoint gap (m),B,M3-w0
18,0.277595254411056,1262,Center endpoint gap (m),B,M3-w0
19,0.28183188661932945,1262,Center endpoint gap (m),B,M3-w0
20,0.2672734866405818,1262,Center endpoint gap (m),B,M3-w0
21,0.22207390664000706,1262,Center endpoint gap (m),B,M3-w0
22,0.22539679280138336,1262,Center endpoint gap (m),B,M3-w0
23,0.22929721746871193,1262,Center endpoint gap (m),B,M3-w0
24,0.22904406232602906,1262,Center endpoint gap (m),B,M3-w0
25,0.2327807852275162,1262,Center endpoint gap (m),B,M3-w0
26,0.23442164276285235,1262,Center endpoint gap (m),B,M3-w0
27,0.23189474250560424,1262,Center endpoint gap (m),B,M3-w0
28,0.23125301814518526,1262,Center endpoint gap (m),B,M3-w0
