step,seqtrack_new_loss_total,seqtrack_historical_loss_total,absolute_difference,exactly_equal
0,13.852521896362305,13.852521896362305,0.0,True
1,13.316584587097168,13.316584587097168,0.0,True
2,11.99500846862793,11.99500846862793,0.0,True
3,13.26513385772705,13.265909194946289,0.0007753372192382812,False
4,12.930809020996094,13.010917663574219,0.080108642578125,False
5,13.878092765808105,13.550668716430664,0.3274240493774414,False
6,12.066272735595703,10.951981544494629,1.1142911911010742,False
7,9.666278839111328,9.984540939331055,0.31826210021972656,False
8,11.98853874206543,13.24298095703125,1.2544422149658203,False
9,13.578618049621582,13.508522987365723,0.07009506225585938,False
10,8.316423416137695,7.7444939613342285,0.5719294548034668,False
11,10.665350914001465,12.496045112609863,1.8306941986083984,False
12,11.423760414123535,12.622320175170898,1.1985597610473633,False
13,11.303725242614746,9.045892715454102,2.2578325271606445,False
14,11.161199569702148,11.912006378173828,0.7508068084716797,False
15,10.356290817260742,9.299431800842285,1.056859016418457,False
16,11.613420486450195,12.23663330078125,0.6232128143310547,False
17,10.385562896728516,9.978187561035156,0.4073753356933594,False
18,9.112597465515137,11.480047225952148,2.3674497604370117,False
19,12.706025123596191,11.603747367858887,1.1022777557373047,False
