epoch,train_structural_rate,train_presence_probability,train_presence_loss,train_raw_proposal_loss,train_refined_proposal_loss
5,0.3058141838351823,0.2911770327258213,0.014736173471613757,0.012577137834180125,0.021295654615022197
10,0.3047741679873217,0.29155787400193417,0.011525873222189812,0.01047396915373034,0.019970430797797242
15,0.3072999207606973,0.29351699404512926,0.005881537351643802,0.009102780988757985,0.017064426939227145
20,0.30576465927099844,0.292255950586216,0.0017729973648370257,0.00753492631808762,0.015311448822994315
