run_id,epoch,search_candidate_valid_rate,search_foreground_points,search_targetness_loss,search_vote_loss,search_proposal_loss,observation_error_m,final_error_m,search_selected_rate
B2V2_FULL,1,0.23335974643423138,3.7239005546751187,0.046675896178922927,0.09930481509823594,0.14603226278935902,,,
B2V2_FULL,2,0.23360736925515055,3.62732765451664,0.04131393987088851,0.06497099508724695,0.0720496494802698,,,
B2V2_FULL,3,0.23182448494453248,3.7111232171156896,0.0333849384302073,0.05724944328378573,0.06206110425744543,,,
B2V2_FULL,4,0.23355784469096671,3.775604199683043,0.028492471402210777,0.05432301339130294,0.05445369967926145,,,
B2V2_FULL,5,0.23306259904912838,3.708845087163233,0.024594664771031016,0.05121058387561552,0.048150565969252594,,,
B2V2_FULL,6,0.23306259904912838,3.736430269413629,0.022304019791685305,0.05133932303881166,0.04886489880323998,,,
B2V2_FULL,7,0.23222068145800318,3.6759607765451663,0.02082684641814283,0.04591284660997368,0.044580856846797356,,,
B2V2_FULL,8,0.23132923930269414,3.6475832012678286,0.01898190051959562,0.04358165086534468,0.040581095064023014,,,
B2V2_FULL,9,0.23202258320126784,3.6722464342313788,0.019678317980892063,0.043555181457165915,0.040986274442622685,,,
B2V2_FULL,10,0.23509310618066562,3.678486529318542,0.018610597874651937,0.04173448815644407,0.038562561804248816,,,
B2V2_FULL,11,0.23276545166402535,3.733805467511886,0.016462452669630544,0.0392150176403433,0.03625372396662581,0.39994388444440676,0.39515864520839955,0.0
B2V2_FULL,12,0.23345879556259905,3.7303882725832014,0.01566173630714931,0.03835175668393821,0.033873009493805534,0.3849598133667902,0.37311622911323267,0.0
B2V2_FULL,13,0.23147781299524564,3.6588252773375594,0.01712081315294971,0.03591815064108163,0.0327672913618672,0.3929459258866764,0.37498941178036566,0.0
B2V2_FULL,14,0.2305863708399366,3.6195522979397783,0.017190608649134655,0.03761585646136642,0.03302459907365736,0.3752183761630685,0.3531715810511456,0.0
B2V2_FULL,15,0.23048732171156894,3.612965530903328,0.015599071010743875,0.0335395206104508,0.030202478269629275,0.3633550846515291,0.3374438741718155,0.0
B2V2_FULL,16,0.23266640253565768,3.634706814580032,0.015090034383647519,0.03530487148491548,0.029142750049232558,0.3609144107546368,0.33011200511606675,0.0
B2V2_FULL,17,0.23543977812995245,3.6684330427892236,0.014210951891203433,0.033755076491043694,0.0290321505105672,0.35911003686782866,0.32533779518351125,0.0
B2V2_FULL,18,0.2311311410459588,3.678486529318542,0.013861589684257778,0.03200070078127904,0.02711659016813392,0.35301171959910643,0.3169175827914108,0.0
B2V2_FULL,19,0.2339540412044374,3.7407884310618065,0.013224233324484516,0.029447035253968197,0.025208250711752356,0.33994892265547283,0.30210870572863213,0.0
B2V2_FULL,20,0.2308835182250396,3.6418878763866878,0.01322475702547492,0.031963682578132736,0.027127607052742142,0.3392974759928776,0.2992865528244224,0.00014857369255150555
B2V2_FULL,21,0.2318740095087163,3.701911648177496,0.011663292309172065,0.02461514939885109,0.021109622945946163,0.29461852188934995,0.2724966480855707,0.00019809825673534074
B2V2_FULL,22,0.23355784469096671,3.6773969889064975,0.010363214862077533,0.022607561147953686,0.018834613331797506,0.28232808905858814,0.2623245411223353,0.0003961965134706815
B2V2_FULL,23,0.2295958795562599,3.634706814580032,0.011141286434910734,0.0223038455180312,0.018587045755370915,0.2806332998461844,0.2616593124619471,0.0003961965134706815
B2V2_FULL,24,0.23444928684627575,3.7402436608557843,0.010604632854708616,0.022500597217257494,0.018293359534767645,0.27603710865492675,0.25746313311313107,0.0003961965134706815
B2V2_FULL,25,0.23147781299524564,3.665659667194929,0.010696904621646151,0.021866235236651408,0.01805737698288734,0.27502787015186814,0.2577683690008479,0.000544770206022187
B2V2_FULL,26,0.23068541996830427,3.670116877971474,0.010197198616407221,0.02026898942486233,0.017016192524289958,0.2720329454390069,0.2542427364978851,0.0005942947702060222
B2V2_FULL,27,0.23321117274167988,3.62202852614897,0.010728180306230784,0.02062954672675854,0.01656225819253375,0.27328882577774455,0.25601710227396335,0.0007428684627575278
B2V2_FULL,28,0.23167591125198098,3.634607765451664,0.010610212545992564,0.02067099149868766,0.016390596776583336,0.2722251778926033,0.2552599066458111,0.000792393026941363
B2V2_FULL,29,0.23256735340729,3.6961172741679875,0.010084283221595698,0.01943881306125249,0.015803212730485926,0.2681874164783067,0.2513522858688646,0.0009904912836767037
B2V2_FULL,30,0.2311311410459588,3.702505942947702,0.010637572179347281,0.020137376260530263,0.01697591203127675,0.26783369153312947,0.2518943568511546,0.0008419175911251981
B2V2_FULL,31,0.23207210776545167,3.7250891442155307,0.009580053118279492,0.019726958538587507,0.01579074765964709,0.2657456882593182,0.25024088332798516,0.0006933438985736926
B2V2_FULL,32,0.23152733755942947,3.627080031695721,0.00962927332131994,0.019429368440544444,0.01585831036401982,0.27019171722575713,0.2546931561643461,0.000792393026941363
B2V2_FULL,33,0.23335974643423138,3.737717908082409,0.010034924178425242,0.019784606356258068,0.015956028672620536,0.2626392840571619,0.24749552016330975,0.0006933438985736926
B2V2_FULL,34,0.23202258320126784,3.6124207606973058,0.009856174374168318,0.019246376138879723,0.015609748084925842,0.2645363935318122,0.24958134582487604,0.0005942947702060222
B2V2_FULL,35,0.23147781299524564,3.680071315372425,0.008947832047721718,0.018463880065463265,0.01485746301845032,0.2573365843758908,0.24296929589258698,0.0009904912836767037
B2V2_FULL,36,0.2324187797147385,3.689926703645008,0.009654305109644008,0.018165530619287506,0.014941411157230985,0.2623633608257431,0.2476679836879536,0.0010400158478605388
B2V2_FULL,37,0.2339540412044374,3.7233062599049127,0.009006493867408472,0.019195329713077608,0.015143598019176424,0.25964897627781386,0.24444134806160314,0.0007428684627575278
B2V2_FULL,38,0.23459786053882725,3.7372226624405704,0.009073531224681875,0.018333640214873173,0.014817290051828328,0.2562822033068174,0.24195801738868047,0.0008914421553090333
B2V2_FULL,39,0.23167591125198098,3.6976525356576864,0.008916295985349928,0.017626773687421552,0.014111732612951837,0.25969480592078525,0.24514329139432514,0.0011885895404120444
B2V2_FULL,40,0.23504358161648178,3.685667591125198,0.010001320084709674,0.018607256263713116,0.01498571936385289,0.2539871537765686,0.24069576153144973,0.000792393026941363
B2V2_FULL,41,0.23246830427892234,3.6714045166402536,0.009690515917880867,0.0186007641752235,0.014443613004559794,0.2516757013267364,0.23937703458305962,0.0007428684627575278
B2V2_FULL,42,0.2329635499207607,3.665610142630745,0.008917398513545269,0.01689283295604474,0.013606223994020112,0.25086207827184165,0.23799012538795425,0.0009409667194928685
B2V2_FULL,43,0.23390451664025358,3.7049821711568938,0.008695510131432578,0.017534582922507258,0.014008939610093285,0.25335912547545086,0.24080150739161413,0.0009409667194928685
B2V2_FULL,44,0.22711965134706816,3.6160360538827256,0.008786236827519852,0.017283818854067753,0.013985118785597215,0.2530849698204813,0.24112738827140132,0.0010400158478605388
B2V2_FULL,45,0.2314282884310618,3.6603110142630744,0.009156874970346266,0.016819508252654332,0.013485775746646535,0.24777462881312318,0.23563924092923405,0.0010400158478605388
B2V2_FULL,46,0.23063589540412044,3.653872820919176,0.008830382548110322,0.017156069000822043,0.014031066052590904,0.25206253183459515,0.2401108640333174,0.0009409667194928685
