run_key,model,metric,final,final_epoch,final_step,best,best_epoch,best_step,best_final_gap,mean,std,num_points
a3_conf_res_best_e14_retest,A3-conf-res best-e14 retest,success/test,28.0579891204834,14,18930,28.0579891204834,14,18930,0.0,28.0579891204834,0.0,1
a3_conf_res_best_e14_retest,A3-conf-res best-e14 retest,precision/test,37.69584274291992,14,18930,37.69584274291992,14,18930,0.0,37.69584274291992,0.0,1
a2_order_dyn_seed43,A2-order-dyn seed43,success/test,23.640047073364258,60,75720,45.92232131958008,5,6310,22.28227424621582,30.38129186630249,7.644551218096358,12
a2_order_dyn_seed43,A2-order-dyn seed43,precision/test,23.765865325927734,60,75720,54.87964630126953,10,12620,31.113780975341797,35.552609284718834,11.859909025092493,12
a2_order_dyn_seed44,A2-order-dyn seed44,success/test,46.904815673828125,60,75720,50.228668212890625,50,63100,3.3238525390625,41.98468462626139,6.557329721180235,12
a2_order_dyn_seed44,A2-order-dyn seed44,precision/test,52.62253952026367,60,75720,58.192562103271484,50,63100,5.5700225830078125,48.43982537587484,9.011197500774399,12
a2_order_dyn_twc_w001_seed42,A2-order-dyn+TWC w0.01 seed42,success/test,22.878559112548828,60,75720,30.26805305480957,5,6310,7.389493942260742,24.34555196762085,2.4349393419002197,12
a2_order_dyn_twc_w001_seed42,A2-order-dyn+TWC w0.01 seed42,precision/test,24.269147872924805,60,75720,32.156455993652344,5,6310,7.887308120727539,25.66475264231364,3.021597848442128,12
a3_conf_res_rerun_seed42,A3-conf-res rerun seed42,success/test,32.10612869262695,60,75720,34.545955657958984,40,50480,2.4398269653320312,30.07968759536743,2.6900119682035224,12
a3_conf_res_rerun_seed42,A3-conf-res rerun seed42,precision/test,31.87417984008789,60,75720,36.50437545776367,10,12620,4.630195617675781,30.13922357559204,3.891721804821249,12
