run,model,protocol,time_mode,endpoint_count,noninitial_count,tracklet_count,success,precision,mean_iou,mean_center_error,noninitial_success,noninitial_precision,noninitial_mean_center_error,empty_fallback_count,effective_dt_mean,effective_dt_std,effective_dt_cv,real_dt_mean,real_dt_std,real_dt_cv,innovation_applied_norm_mean,innovation_applied_norm_p95,innovation_radius_mean,innovation_radius_p95,adapter_norm_mean,adapter_norm_p95,innovation_applied_rate,innovation_clamp_rate,innovation_invalid_rate
m2_standard_true_seed42,M2,standard,true,2285,2179,106,55.283369803063465,67.20568927789932,0.5510138414374861,2.282068284960332,53.1723267553924,65.61037173015144,2.3930821620625786,217,0.4987517833272051,0.02475691022759819,0.049637737758937435,0.4987517833272051,0.02475691022759819,0.049637737758937435,0.36515935036001557,0.5626642286777497,0.7493702990442485,0.7509709596633911,0.8851206199048613,2.3649331927299495,0.9378185524974516,0.3292558613659531,0.06218144750254842
m2_standard_fixed_seed42,M2,standard,fixed,2285,2179,106,55.252735229759296,67.21553610503283,0.5507332085668015,2.2863221349057685,53.140201927489684,65.6206975676916,2.3975429455069666,217,0.5,0.0,0.0,0.4987517833272051,0.02475691022759819,0.049637737758937435,0.36499193602950747,0.5625,0.75,0.75,0.8828952273735577,2.3843524694442744,0.9367991845056065,0.327217125382263,0.06320081549439348
m2_standard_shuffled_seed42,M2,standard,shuffled,2285,2179,106,55.215536105032825,67.12035010940919,0.5504792052324852,2.2903526952449513,53.10119320789353,65.52088113813676,2.40176957716141,217,0.4987517833272051,0.02475691022759827,0.049637737758937595,0.4987517833272051,0.02475691022759819,0.049637737758937435,0.36370248123946447,0.5626668930053711,0.7494230946634158,0.7509709596633911,0.8834176963835073,2.383821284770965,0.9367991845056065,0.3287461773700306,0.06320081549439348
a1_standard_true_seed42,A1,standard,true,2285,2179,106,51.14989059080962,57.760393873085334,0.5092833418385764,2.9120915221995034,48.83776961909133,55.705598898577335,3.053753615523573,229,0.4987517833272051,0.02475691022759819,0.049637737758937435,0.4987517833272051,0.02475691022759819,0.049637737758937435,,,,,,,,,
m2_gap1124_true_seed42,M2,gap1124,true,1257,1166,91,59.06324582338903,70.85719968178202,0.589541437148234,2.1007490746483564,55.973413379073754,68.58276157804461,2.26470118939364,113,0.9214677806579433,0.5732610251354224,0.6221172754690397,0.9214677806579433,0.5732610251354224,0.6221172754690397,0.3867026426266005,0.7555776357650754,0.9622877866793902,1.5004010200500488,0.8735724316816158,2.2734151840209957,0.9078822412155746,0.2725546058879392,0.09211775878442545
m2_gap1124_fixed_seed42,M2,gap1124,fixed,1257,1166,91,59.19053301511538,70.84327764518694,0.5908114501649098,2.124840909593592,56.11063464837051,68.56775300171527,2.29067326188606,111,0.5,0.0,0.0,0.9214677806579433,0.5732610251354224,0.6221172754690397,0.3511249231889632,0.5625,0.75,0.75,0.8424813291755333,2.215135788917541,0.9080568720379147,0.3355450236966825,0.09194312796208531
m2_gap1124_shuffled_seed42,M2,gap1124,shuffled,1257,1166,91,59.38146380270485,71.06603023070804,0.5929261374476835,2.0725767908899706,56.3164665523156,68.80789022298455,2.234330211105225,111,0.9214677806579433,0.5732610251354228,0.6221172754690402,0.9214677806579433,0.5732610251354224,0.6221172754690397,0.37565620434227714,0.7501199424266816,0.9602470622808448,1.5003414392471313,0.8607796384259988,2.2622112989425656,0.9080568720379147,0.27014218009478674,0.09194312796208531
a1_gap1124_true_seed42,A1,gap1124,true,1257,1166,91,56.78400954653938,66.71439936356404,0.566363499368625,2.2490239085542885,53.51629502572901,64.11663807890223,2.4245480729440323,107,0.9214677806579433,0.5732610251354224,0.6221172754690397,0.9214677806579433,0.5732610251354224,0.6221172754690397,,,,,,,,,
