comparison,endpoint_exact,endpoint_count,tracklet_count,success_left,success_right,success_delta,precision_left,precision_right,precision_delta,mean_error_left,mean_error_right,mean_error_gain,success_tracklet_mean,success_ci_low,success_ci_high,precision_tracklet_mean,precision_ci_low,precision_ci_high,error_gain_tracklet_mean,error_gain_ci_low,error_gain_ci_high,success_positive_tracklet_fraction,precision_positive_tracklet_fraction,iou_win_fraction,iou_loss_fraction,center_error_win_fraction,center_error_loss_fraction,prediction_changed_fraction_gt_1e-6,prediction_changed_fraction_gt_1cm,prediction_changed_fraction_gt_10cm,prediction_shift_mean_m,prediction_shift_p50_m,prediction_shift_p95_m,prediction_shift_max_m,yaw_shift_mean_rad,yaw_shift_p95_rad
standard_M2_minus_A1,True,2285,106,55.283369803063465,51.14989059080962,4.133479212253846,67.20568927789932,57.760393873085334,9.44529540481399,2.282068284960332,2.9120915221995034,0.6300232372391714,3.715924457161895,1.9196277693168298,5.453872072259518,7.5806435232046345,4.485559206775978,10.634270068904586,0.4497110792989719,0.08673490252942792,0.986133707194644,0.6886792452830188,0.660377358490566,0.5785557986870897,0.25164113785557984,0.662144420131291,0.24770240700218818,0.9541073887104177,0.953189536484626,0.8705828361633777,1.500910851208915,0.5373155008649975,4.695735682353365,45.254664185332565,0.026014090363943285,0.07433502674102782
standard_true_minus_fixed,True,2285,106,55.283369803063465,55.252735229759296,0.03063457330416952,67.20568927789932,67.21553610503283,-0.009846827133500824,2.282068284960332,2.2863221349057685,0.004253849945436539,0.07068021090652085,-0.061023521126603954,0.24958238124199653,0.10155768735677424,-0.08863810203970109,0.39965364237947515,0.0068490072989599625,-0.024271148584163724,0.04360162817809242,0.16981132075471697,0.1320754716981132,0.3886214442013129,0.3951859956236324,0.4262582056892779,0.4433260393873085,0.9118861863240019,0.20422212023864159,0.05644791188618632,0.050552347000189596,0.003219490530894456,0.10171955383544296,5.725658276531486,0.0008396087244268564,0.0033384963870045407
standard_true_minus_shuffled,True,2285,106,55.283369803063465,55.215536105032825,0.06783369803063977,67.20568927789932,67.12035010940919,0.08533916849013679,2.282068284960332,2.2903526952449513,0.008284410284619348,0.10507529797249637,-0.013438409149094223,0.28268297118459773,0.16667068947635238,-0.0054053418306685575,0.4574087203200067,0.011260697262287681,-0.019969072288387575,0.04979524227558498,0.20754716981132076,0.14150943396226415,0.43719912472647704,0.33960612691466086,0.4638949671772429,0.38293216630196936,0.888022028453419,0.21110601193207892,0.0445158329508949,0.053830573497935304,0.0028194338746981166,0.07323873188105044,6.511312843698517,0.0009648085338032962,0.005856886506080563
gap1124_M2_minus_A1,True,1257,91,59.06324582338903,56.78400954653938,2.2792362768496517,70.85719968178202,66.71439936356404,4.142800318217979,2.1007490746483564,2.2490239085542885,0.1482748339059321,2.34056145083856,0.6874085704006438,3.939886665321027,3.8337961257991124,1.4516789814625413,6.022034988343929,0.1577308546517305,-0.03782451372771927,0.38282873079071505,0.6373626373626373,0.6593406593406593,0.5314240254574384,0.26412092283214,0.6165473349244233,0.25934765314240255,0.9442538593481989,0.9425385934819898,0.7915951972555746,0.5147230359692139,0.2791850586314094,1.2472787395428164,15.608586248266274,0.015128657189844867,0.04771444573998451
gap1124_true_minus_fixed,True,1257,91,59.06324582338903,59.19053301511538,-0.12728719172634584,70.85719968178202,70.84327764518694,0.013922036595076293,2.1007490746483564,2.124840909593592,0.02409183494523548,-0.044829931208064805,-0.3901865591618983,0.2928364233364048,0.11487676535370592,-0.21808871055689077,0.5367113687969719,0.031888398341342064,-0.025585146720596943,0.1052567177203224,0.2087912087912088,0.16483516483516483,0.36595067621320604,0.37788385043754974,0.41686555290373906,0.4120922832140016,0.8936535162950258,0.31646655231560894,0.08576329331046312,0.09848316601042499,0.0031459462373409812,0.2605444395876457,6.775286092238438,0.000976612162017476,0.002775527536869049
gap1124_true_minus_shuffled,True,1257,91,59.06324582338903,59.38146380270485,-0.3182179793158184,70.85719968178202,71.06603023070804,-0.2088305489260165,2.1007490746483564,2.0725767908899706,-0.028172283758385763,-0.18086976823325543,-0.78194592224931,0.33309499095496187,-0.05927701714964043,-0.8760710747433523,0.6796611607959379,-0.019101978151898638,-0.06259078255472858,0.019668619006206624,0.2087912087912088,0.25274725274725274,0.39856801909307876,0.3619729514717582,0.4478918058870326,0.39459029435163084,0.9082332761578045,0.32504288164665524,0.12264150943396226,0.08722808534858773,0.003264183334247032,0.431344525250264,2.675224099681655,0.0013526527540147703,0.0077233463525772095
