run,commit,dirty_tracked,seed,epochs,batch_size,train_frames,val_frames,train_selection_sha256,val_selection_sha256,first15_lr_min,first15_lr_max
Current B0-15,835f9111cc218245281e858a8efa9f87a1f26830,False,42,15,16,5051,2285,7b4e9cca2038e7cb6c9483943b627af18e433c16e13b52bcd1478b14a6a25100,35498888d322fdcbef06d1621aa3376d32a9417138a1f8126dc2589088d58826,9.999999747378752e-05,9.999999747378752e-05
Historical B0-60,d86990ce5304258822c1748d17f997f6ec003e9c,False,42,60,16,5051,2285,7b4e9cca2038e7cb6c9483943b627af18e433c16e13b52bcd1478b14a6a25100,35498888d322fdcbef06d1621aa3376d32a9417138a1f8126dc2589088d58826,9.999999747378752e-05,9.999999747378752e-05
Full-60,835f9111cc218245281e858a8efa9f87a1f26830,False,42,60,16,5051,2285,7b4e9cca2038e7cb6c9483943b627af18e433c16e13b52bcd1478b14a6a25100,35498888d322fdcbef06d1621aa3376d32a9417138a1f8126dc2589088d58826,9.999999747378752e-05,9.999999747378752e-05
-B1-60,835f9111cc218245281e858a8efa9f87a1f26830,False,42,60,16,5051,2285,7b4e9cca2038e7cb6c9483943b627af18e433c16e13b52bcd1478b14a6a25100,35498888d322fdcbef06d1621aa3376d32a9417138a1f8126dc2589088d58826,9.999999747378752e-05,9.999999747378752e-05
-B2-60,835f9111cc218245281e858a8efa9f87a1f26830,False,42,60,16,5051,2285,7b4e9cca2038e7cb6c9483943b627af18e433c16e13b52bcd1478b14a6a25100,35498888d322fdcbef06d1621aa3376d32a9417138a1f8126dc2589088d58826,9.999999747378752e-05,9.999999747378752e-05
-B3-60,835f9111cc218245281e858a8efa9f87a1f26830,False,42,60,16,5051,2285,7b4e9cca2038e7cb6c9483943b627af18e433c16e13b52bcd1478b14a6a25100,35498888d322fdcbef06d1621aa3376d32a9417138a1f8126dc2589088d58826,9.999999747378752e-05,9.999999747378752e-05
