run_id,label,final_success,final_precision,best_success,best_success_epoch,best_precision,best_precision_epoch,late3_success,late3_precision,late5_success,late5_precision
B0,B0 baseline,53.359954833984375,64.3818359375,54.13457107543945,50,64.3818359375,60,52.90481440226237,63.10430145263672,52.916194152832034,62.813786315917966
B1,B1 motion-only,26.02078628540039,24.971555709838867,29.114877700805664,5,31.211158752441406,20,26.07986831665039,25.298688252766926,25.71881866455078,24.945515060424803
A1,A1 search-only,27.036104202270508,25.59627914428711,29.257112503051758,50,30.20240592956543,5,27.933259963989258,26.399708429972332,27.337199401855468,25.727352142333984
B2,B2 motion + search,47.97264862060547,52.087528228759766,50.079872131347656,25,58.49890899658203,25,46.436543782552086,49.818016052246094,46.92494583129883,50.66542510986328
