model,scalar,count,first,final,mean,std,min,max,tail1000_mean,tail1000_std
A1-order+TWC,loss_loss_twc,75720,1.1836916208267212,0.004639259073883295,0.01774336976778242,0.037792822480944545,0.00023393832088913769,1.2290904521942139,0.00808877638541162,0.01770029911396648
A1-order+TWC,loss_twc_valid_ratio,75720,0.875,0.6875,0.7499702852614897,0.10808195441456367,0.25,1.0,0.7525625,0.10834909941365456
A1-order+TWC,loss_twc_center_gap,75720,2.781205415725708,0.11735890060663223,0.19128715883678724,0.14859768854500818,0.032861337065696716,2.781205415725708,0.13766299844533206,0.06957752183635693
A1-order+TWC,loss_twc_angle_gap,75720,0.8737597465515137,0.006625755224376917,0.014573267270259637,0.03472322764959854,0.0008474073838442564,1.3998911380767822,0.007818688957719132,0.003120104416749703
A2-order-dyn+TWC,loss_loss_twc,75720,1.0470240116119385,0.007205828558653593,0.014634549467382938,0.036151080563139336,0.0005880202515982091,1.180899977684021,0.007680656766868197,0.005212552904226799
A2-order-dyn+TWC,loss_twc_valid_ratio,75720,0.8125,0.8125,0.7499496500264131,0.10815137239737593,0.25,1.0,0.75,0.11197795541980574
A2-order-dyn+TWC,loss_twc_center_gap,75720,2.4380459785461426,0.1877504140138626,0.1995091707394023,0.13600708677693607,0.05388368293642998,2.5835747718811035,0.17141041217744352,0.03882112422469236
A2-order-dyn+TWC,loss_twc_angle_gap,75720,0.9732023477554321,0.011045675724744797,0.021398900534853223,0.04156471090384033,0.0026061534881591797,1.5725548267364502,0.011025801635580137,0.003488460285671891
A3-order-gate-safe,loss_obs_alpha_dyn_mean,69410,0.1383410543203354,0.12788599729537964,0.12669927051529437,0.01830438660597028,0.057903654873371124,0.1933576613664627,0.11633382396399974,0.00966674294137599
A3-order-gate-safe,loss_obs_alpha_dyn_max,69410,0.19343344867229462,0.1410505473613739,0.1521045551141956,0.01864283682466013,0.1270802766084671,0.2115645855665207,0.13953370572626592,0.0017823362441188502
A3-order-gate-safe,loss_obs_gate_entropy,69410,0.35850274562835693,0.38214319944381714,0.3651667460419228,0.03936425881234478,0.1708875149488449,0.4909210801124573,0.3469194169938564,0.028570154326612807
A3-order-conf-res-gate,loss_obs_alpha_dyn_mean,69410,0.3847895860671997,0.5792838335037231,0.4930133667859164,0.06599145381987538,0.20261871814727783,0.7513854503631592,0.4911146869361401,0.06587024106497
A3-order-conf-res-gate,loss_obs_alpha_dyn_max,69410,0.9319198131561279,0.9286110997200012,0.9074964424805895,0.061036953060381996,0.43729937076568604,0.9797315001487732,0.9070928400158882,0.06244629458089526
A3-order-conf-res-gate,loss_obs_gate_entropy,69410,0.44523483514785767,0.5140811800956726,0.5314630818292294,0.05285899866611349,0.2690708041191101,0.6723417043685913,0.5322001122534276,0.05359388388998726
A3-order-conf-res-gate,loss_obs_alpha_dyn_raw_mean,69410,0.3847895860671997,0.5792838335037231,0.4930133667859164,0.06599145381987538,0.20261871814727783,0.7513854503631592,0.4911146869361401,0.06587024106497
A3-order-conf-res-gate,loss_obs_alpha_dyn_clamped_mean,69410,0.15000000596046448,0.1875,0.18079996170343782,0.014685148520891022,0.08749999850988388,0.20000000298023224,0.18092500476539136,0.014891921037836108
A3-order-conf-res-gate,loss_obs_dyn_residual_norm,69410,0.016617417335510254,0.007810521870851517,0.031530428343594694,0.0120834446217379,0.00026279452140443027,0.08337074518203735,0.0318116550980485,0.012270564061535144
