metric,window,M3_w0_mean,M3_w05_mean,absolute_change,relative_change_pct
M3 path loss,epoch31–40,0.027208842025779317,0.014038965679468902,-0.013169876346310415,-48.402928481235875
Irregular view B diagnostic GT loss,epoch31–40,0.7405254740557277,0.5253809014928605,-0.21514457256286712,-29.052960377521945
Canonical view A supervised loss,epoch31–40,0.20401522500437527,0.20280072744817673,-0.0012144975561985405,-0.595297510846308
Center endpoint gap (m),epoch31–40,0.227679115554492,0.16692651762227084,-0.06075259793222115,-26.683430223392985
Yaw endpoint gap (rad),epoch31–40,0.012651818418704127,0.011728290047016136,-0.000923528371687991,-7.299570236659974
Valid pair ratio,epoch31–40,0.7504110538827258,0.7504110538827258,0.0,0.0
Teacher confidence,epoch31–40,0.8342980227313592,0.8372736776711068,0.0029756549397476073,0.35666570681850424
Effective sample weight,epoch31–40,0.6261657410078401,0.628408062596187,0.0022423215883469183,0.35810352459363354
Effective M3 objective weight,epoch31–40,0.0,0.05000000074505806,0.05000000074505806,
