model,metric,point_idx,epoch,step,value
CT-SeqTrack A2-order-dyn 180ep,success/test,18,95,119890,32.3796501159668
CT-SeqTrack A2-order-dyn 180ep,success/test,19,100,126200,32.70131301879883
CT-SeqTrack A2-order-dyn 180ep,success/test,20,105,132510,33.73413848876953
CT-SeqTrack A2-order-dyn 180ep,success/test,21,110,138820,33.322757720947266
CT-SeqTrack A2-order-dyn 180ep,success/test,22,115,145130,32.381839752197266
CT-SeqTrack A2-order-dyn 180ep,success/test,23,120,151440,32.701316833496094
CT-SeqTrack A2-order-dyn 180ep,success/test,24,125,157750,32.5
CT-SeqTrack A2-order-dyn 180ep,success/test,25,130,164060,32.904815673828125
CT-SeqTrack A2-order-dyn 180ep,success/test,26,135,170370,32.78445816040039
CT-SeqTrack A2-order-dyn 180ep,success/test,27,140,176680,32.69255828857422
CT-SeqTrack A2-order-dyn 180ep,success/test,28,145,182990,32.54376220703125
CT-SeqTrack A2-order-dyn 180ep,success/test,29,150,189300,32.30525207519531
CT-SeqTrack A2-order-dyn 180ep,success/test,30,155,195610,32.535011291503906
CT-SeqTrack A2-order-dyn 180ep,success/test,31,160,201920,32.47373962402344
CT-SeqTrack A2-order-dyn 180ep,success/test,32,165,208230,31.716632843017578
CT-SeqTrack A2-order-dyn 180ep,success/test,33,170,214540,32.020790100097656
CT-SeqTrack A2-order-dyn 180ep,success/test,34,175,220850,31.712255477905273
CT-SeqTrack A2-order-dyn 180ep,success/test,35,180,227160,32.34026336669922
CT-SeqTrack A2-order-dyn 180ep,precision/test,0,5,6310,31.356674194335938
CT-SeqTrack A2-order-dyn 180ep,precision/test,1,10,12620,38.30415725708008
CT-SeqTrack A2-order-dyn 180ep,precision/test,2,15,18930,31.205690383911133
CT-SeqTrack A2-order-dyn 180ep,precision/test,3,20,25240,37.12909698486328
CT-SeqTrack A2-order-dyn 180ep,precision/test,4,25,31550,50.16301727294922
CT-SeqTrack A2-order-dyn 180ep,precision/test,5,30,37860,39.754920959472656
CT-SeqTrack A2-order-dyn 180ep,precision/test,6,35,44170,37.10503005981445
CT-SeqTrack A2-order-dyn 180ep,precision/test,7,40,50480,39.206787109375
CT-SeqTrack A2-order-dyn 180ep,precision/test,8,45,56790,38.06236267089844
CT-SeqTrack A2-order-dyn 180ep,precision/test,9,50,63100,37.213348388671875
CT-SeqTrack A2-order-dyn 180ep,precision/test,10,55,69410,39.53938674926758
