run_id,arm,metric,event_count,nonfinite_count,epoch11_mean,epoch20_mean,epoch40_mean,epoch60_mean
NEW_B1,New B1-motion-v3,kinematic_rmse,75720,0,0.2941798673833465,0.2981240444339918,0.29816309422278175,0.3028706061032419
NEW_B1,New B1-motion-v3,prior_rmse,75720,0,0.2678644609653794,0.267770775767979,0.2663956487783055,0.26715851527758283
NEW_B1,New B1-motion-v3,gate_precision,63100,0,0.6249208665687573,0.6818913694961135,0.5486161473624869,0.5244956397689088
NEW_B1,New B1-motion-v3,gate_applied_rate,63100,0,0.43590509069702704,0.6876882497699438,0.5503848494516121,0.49641892611508137
NEW_B1,New B1-motion-v3,observation_error,63100,0,0.3538305107297497,0.30925080346654976,0.2362890927070861,0.2314852908218247
NEW_B1,New B1-motion-v3,final_error,63100,0,0.32812026023817514,0.28624618036905675,0.22895490342128297,0.22543717264278945
NEW_SEARCH,New Search-v2.1 only,search_proposal_loss,75720,0,0.025895837261319835,0.020124765235055766,0.01188182044008554,0.011285905185942066
NEW_SEARCH,New Search-v2.1 only,search_valid_rate,75720,0,0.3065570522979398,0.3064580031695721,0.3064580031695721,0.3076465927099842
NEW_SEARCH,New Search-v2.1 only,observation_error,63100,0,0.39034026465636995,0.34236186434604854,0.2548926673983054,0.24887890477920108
NEW_SEARCH,New Search-v2.1 only,search_error_valid,63100,0,0.32857900434033427,0.30113019943443936,0.24199707074926224,0.24794601046859557
NEW_SEARCH,New Search-v2.1 only,final_error,63100,0,0.3878200966658192,0.31153879056075107,0.23555548818525157,0.23084423144343538
NEW_SEARCH,New Search-v2.1 only,search_applied_rate,63100,0,0.22350435816164818,0.3059627575277338,0.3005645800316957,0.30105982567353406
NEW_SEARCH,New Search-v2.1 only,search_helpful_precision,63100,0,0.4764866848755185,0.6198455072502516,0.5735435127007602,0.561352838025607
NEW_FULL,New Motion+Search-v2.1,kinematic_rmse,75720,0,0.29979144478668407,0.29909647980235554,0.3001307679425848,0.29976132287453455
NEW_FULL,New Motion+Search-v2.1,prior_rmse,75720,0,0.2740384637482948,0.2685107884429714,0.2676948984928441,0.2646691855323603
NEW_FULL,New Motion+Search-v2.1,search_proposal_loss,75720,0,0.027803990339907183,0.018890816834939737,0.011638564590176788,0.010775078775167648
NEW_FULL,New Motion+Search-v2.1,search_valid_rate,75720,0,0.30665610142630745,0.3070522979397781,0.3074980190174326,0.3070522979397781
NEW_FULL,New Motion+Search-v2.1,observation_error,63100,0,0.3937666469774609,0.3466535644537862,0.25766191063611144,0.24783276734658163
NEW_FULL,New Motion+Search-v2.1,motion_error_valid,63100,0,0.2730390388878703,0.2708700725103237,0.2706068208745183,0.269888446201377
NEW_FULL,New Motion+Search-v2.1,search_error_valid,63100,0,0.3303118372976591,0.2885197074213043,0.24184250975804028,0.2456986745391425
NEW_FULL,New Motion+Search-v2.1,final_error,63100,0,0.38947240225439406,0.2985893051404205,0.2362606940870712,0.22971703767445878
NEW_FULL,New Motion+Search-v2.1,motion_helpful_rate,63100,0,0.4887177189797305,0.4166634513475532,0.21323181651001308,0.16956582210261356
NEW_FULL,New Motion+Search-v2.1,search_helpful_precision,63100,0,0.46268523973302117,0.6576773277269868,0.5935485208445419,0.584264373262125
NEW_FULL,New Motion+Search-v2.1,motion_weight,63100,0,0.21651300438163174,0.34749099194247823,0.2671774650928336,0.24390025655318365
NEW_FULL,New Motion+Search-v2.1,search_weight,63100,0,0.05720926303294356,0.09085282054955764,0.09882693085404373,0.10074035593392637
NEW_FULL,New Motion+Search-v2.1,search_applied_rate,63100,0,0.21983954041204437,0.2998217115689382,0.29848454833597465,0.29784072900158476
OLD_SEARCH,Previous Search-v2.1 only,search_proposal_loss,75720,0,0.026152732751901202,0.01937469506810885,0.011444232863279594,0.01075235308836035
OLD_SEARCH,Previous Search-v2.1 only,search_error_valid,63100,0,0.3290072180649558,0.2968256307851446,0.24023524143699138,0.24478609241521584
OLD_FULL,Previous Motion+Search-v2.1,search_proposal_loss,75720,0,0.027874718284420372,0.01840760544410465,0.011473416654169748,0.010343964240389117
OLD_FULL,Previous Motion+Search-v2.1,search_error_valid,63100,0,0.3309667724997939,0.2883725825080238,0.24068452528103737,0.2431153262022251
