run,metric,epoch,mean,batch_count
-B3-60,loss_center_aux,1,0.21321753949877437,1262
-B3-60,loss_center_aux,5,0.07297344407710216,1262
-B3-60,loss_center_aux,10,0.05526980474479083,1262
-B3-60,loss_center_aux,15,0.046239843221216,1262
-B3-60,loss_center_ref,1,0.4268579571648086,1262
-B3-60,loss_center_ref,5,0.038959676016080774,1262
-B3-60,loss_center_ref,10,0.022202199143055004,1262
-B3-60,loss_center_ref,15,0.017670364325376088,1262
-B3-60,loss_seg,1,0.5205199931247866,1262
-B3-60,loss_seg,5,0.15843308388171407,1262
-B3-60,loss_seg,10,0.08334435579232671,1262
-B3-60,loss_seg,15,0.06595934035843933,1262
-B3-60,loss_total,1,5.099319605177443,1262
-B3-60,loss_total,5,0.8638497969569571,1262
-B3-60,loss_total,10,0.5825420980461284,1262
-B3-60,loss_total,15,0.45351268851128884,1262
