model,metric,final,final_epoch,final_step,best,best_epoch,best_step,best_final_gap,mean,std,late_mean_epoch120_180,late_std_epoch120_180,final_delta_vs_baseline_180ep,best_delta_vs_baseline_180ep,late_mean_delta_vs_baseline_180ep
SeqTrack baseline 180ep,success/test,49.15427017211914,180,227160,51.421226501464844,45,56790,2.266956329345703,48.389011753929985,3.859237891164682,49.61681630061223,0.4162844561440904,0.0,0.0,0.0
SeqTrack baseline 180ep,precision/test,54.90700149536133,180,227160,58.70677947998047,45,56790,3.7997779846191406,54.032063749101425,5.494118633380131,55.618920252873345,0.6598588609401794,0.0,0.0,0.0
CT-SeqTrack A2-order-dyn 180ep,success/test,32.34026336669922,180,227160,43.11487579345703,25,31550,10.774612426757812,33.064855893452965,1.910091713195771,32.4023735339825,0.36475682365545176,-16.814006805419922,-8.306350708007812,-17.21444276662973
CT-SeqTrack A2-order-dyn 180ep,precision/test,36.763675689697266,180,227160,50.16301727294922,25,31550,13.399341583251953,37.14639584223429,2.788063943207094,36.532655275785004,0.6517751322509517,-18.143325805664062,-8.54376220703125,-19.08626497708834
