comparison,mean,ci_low,ci_high
refined_minus_raw,0.08377351596933019,0.03790700008215809,0.1323085860587953
refined_minus_motion,-0.1700013403102937,-0.2593594456908813,-0.07839131504018515
raw_minus_observation,-0.08485137711574788,-0.2034274910458195,0.06020205686355788
refined_minus_observation,-0.001077861146417682,-0.11356028128755458,0.1279505275800374
