run_key,condition,diagnostic,end_step,end_epoch,block_mean,block_size
B,"Paired views, TWC weight 0",loss_twc,61999,49.12757527733756,0.006832039568369509,1000
B,"Paired views, TWC weight 0",loss_twc,62999,49.919968304278925,0.006915871724864701,1000
B,"Paired views, TWC weight 0",loss_twc,63999,50.712361331220286,0.006462171320657945,1000
B,"Paired views, TWC weight 0",loss_twc,64999,51.50475435816165,0.006355294995708391,1000
B,"Paired views, TWC weight 0",loss_twc,65999,52.29714738510301,0.006628142353525618,1000
B,"Paired views, TWC weight 0",loss_twc,66999,53.08954041204437,0.006865481821703725,1000
B,"Paired views, TWC weight 0",loss_twc,67999,53.88193343898574,0.0064360814107931215,1000
B,"Paired views, TWC weight 0",loss_twc,68999,54.6743264659271,0.006530871490598656,1000
B,"Paired views, TWC weight 0",loss_twc,69999,55.466719492868464,0.0064964265911257825,1000
B,"Paired views, TWC weight 0",loss_twc,70999,56.259112519809825,0.006564460681925993,1000
B,"Paired views, TWC weight 0",loss_twc,71999,57.05150554675119,0.006436114372016163,1000
B,"Paired views, TWC weight 0",loss_twc,72999,57.84389857369255,0.0062135472864028995,1000
B,"Paired views, TWC weight 0",loss_twc,73999,58.63629160063392,0.006279466074862285,1000
B,"Paired views, TWC weight 0",loss_twc,74999,59.42868462757528,0.006630184376001125,1000
B,"Paired views, TWC weight 0",loss_twc,75719,59.99920760697306,0.006472908040369576,720
B,"Paired views, TWC weight 0",twc_valid_ratio,999,0.7916006339144216,0.7513125,1000
B,"Paired views, TWC weight 0",twc_valid_ratio,1999,1.5839936608557845,0.7515625,1000
B,"Paired views, TWC weight 0",twc_valid_ratio,2999,2.3763866877971473,0.750125,1000
B,"Paired views, TWC weight 0",twc_valid_ratio,3999,3.1687797147385104,0.748625,1000
B,"Paired views, TWC weight 0",twc_valid_ratio,4999,3.9611727416798734,0.7496875,1000
B,"Paired views, TWC weight 0",twc_valid_ratio,5999,4.753565768621236,0.7509375,1000
B,"Paired views, TWC weight 0",twc_valid_ratio,6999,5.545958795562599,0.7473125,1000
B,"Paired views, TWC weight 0",twc_valid_ratio,7999,6.338351822503962,0.7506875,1000
B,"Paired views, TWC weight 0",twc_valid_ratio,8999,7.130744849445325,0.7478125,1000
B,"Paired views, TWC weight 0",twc_valid_ratio,9999,7.923137876386688,0.751375,1000
B,"Paired views, TWC weight 0",twc_valid_ratio,10999,8.71553090332805,0.7485,1000
B,"Paired views, TWC weight 0",twc_valid_ratio,11999,9.507923930269413,0.7515625,1000
B,"Paired views, TWC weight 0",twc_valid_ratio,12999,10.300316957210777,0.7538125,1000
B,"Paired views, TWC weight 0",twc_valid_ratio,13999,11.092709984152139,0.7463125,1000
B,"Paired views, TWC weight 0",twc_valid_ratio,14999,11.885103011093502,0.7523125,1000
B,"Paired views, TWC weight 0",twc_valid_ratio,15999,12.677496038034866,0.751,1000
B,"Paired views, TWC weight 0",twc_valid_ratio,16999,13.469889064976229,0.744625,1000
B,"Paired views, TWC weight 0",twc_valid_ratio,17999,14.26228209191759,0.754,1000
B,"Paired views, TWC weight 0",twc_valid_ratio,18999,15.054675118858954,0.7513125,1000
B,"Paired views, TWC weight 0",twc_valid_ratio,19999,15.847068145800318,0.7565,1000
B,"Paired views, TWC weight 0",twc_valid_ratio,20999,16.63946117274168,0.7451875,1000
B,"Paired views, TWC weight 0",twc_valid_ratio,21999,17.43185419968304,0.7515625,1000
B,"Paired views, TWC weight 0",twc_valid_ratio,22999,18.224247226624406,0.7531875,1000
B,"Paired views, TWC weight 0",twc_valid_ratio,23999,19.016640253565768,0.7468125,1000
B,"Paired views, TWC weight 0",twc_valid_ratio,24999,19.80903328050713,0.7473125,1000
B,"Paired views, TWC weight 0",twc_valid_ratio,25999,20.601426307448495,0.7515625,1000
B,"Paired views, TWC weight 0",twc_valid_ratio,26999,21.393819334389857,0.7513125,1000
B,"Paired views, TWC weight 0",twc_valid_ratio,27999,22.18621236133122,0.7519375,1000
B,"Paired views, TWC weight 0",twc_valid_ratio,28999,22.978605388272584,0.7505,1000
B,"Paired views, TWC weight 0",twc_valid_ratio,29999,23.770998415213946,0.749625,1000
B,"Paired views, TWC weight 0",twc_valid_ratio,30999,24.56339144215531,0.7488125,1000
B,"Paired views, TWC weight 0",twc_valid_ratio,31999,25.355784469096672,0.7518125,1000
B,"Paired views, TWC weight 0",twc_valid_ratio,32999,26.148177496038034,0.7463125,1000
B,"Paired views, TWC weight 0",twc_valid_ratio,33999,26.9405705229794,0.751125,1000
