run_key,model,metric,epoch,step,value
a2_order_dyn_twc_w001_seed42,A2-order-dyn+TWC w0.01 seed42,precision/test,35,44170,23.263675689697266
a2_order_dyn_twc_w001_seed42,A2-order-dyn+TWC w0.01 seed42,precision/test,40,50480,21.789936065673828
a2_order_dyn_twc_w001_seed42,A2-order-dyn+TWC w0.01 seed42,precision/test,45,56790,24.635665893554688
a2_order_dyn_twc_w001_seed42,A2-order-dyn+TWC w0.01 seed42,precision/test,50,63100,24.471553802490234
a2_order_dyn_twc_w001_seed42,A2-order-dyn+TWC w0.01 seed42,precision/test,55,69410,23.690372467041016
a2_order_dyn_twc_w001_seed42,A2-order-dyn+TWC w0.01 seed42,precision/test,60,75720,24.269147872924805
a3_conf_res_rerun_seed42,A3-conf-res rerun seed42,success/test,5,6310,30.75820541381836
a3_conf_res_rerun_seed42,A3-conf-res rerun seed42,success/test,10,12620,31.049236297607422
a3_conf_res_rerun_seed42,A3-conf-res rerun seed42,success/test,15,18930,25.806346893310547
a3_conf_res_rerun_seed42,A3-conf-res rerun seed42,success/test,20,25240,25.24179458618164
a3_conf_res_rerun_seed42,A3-conf-res rerun seed42,success/test,25,31550,28.902626037597656
a3_conf_res_rerun_seed42,A3-conf-res rerun seed42,success/test,30,37860,27.913570404052734
a3_conf_res_rerun_seed42,A3-conf-res rerun seed42,success/test,35,44170,28.57877540588379
a3_conf_res_rerun_seed42,A3-conf-res rerun seed42,success/test,40,50480,34.545955657958984
a3_conf_res_rerun_seed42,A3-conf-res rerun seed42,success/test,45,56790,32.21990966796875
a3_conf_res_rerun_seed42,A3-conf-res rerun seed42,success/test,50,63100,32.07768249511719
a3_conf_res_rerun_seed42,A3-conf-res rerun seed42,success/test,55,69410,31.756019592285156
a3_conf_res_rerun_seed42,A3-conf-res rerun seed42,success/test,60,75720,32.10612869262695
a3_conf_res_rerun_seed42,A3-conf-res rerun seed42,precision/test,5,6310,32.32823181152344
a3_conf_res_rerun_seed42,A3-conf-res rerun seed42,precision/test,10,12620,36.50437545776367
a3_conf_res_rerun_seed42,A3-conf-res rerun seed42,precision/test,15,18930,25.237417221069336
a3_conf_res_rerun_seed42,A3-conf-res rerun seed42,precision/test,20,25240,23.65864372253418
a3_conf_res_rerun_seed42,A3-conf-res rerun seed42,precision/test,25,31550,26.963895797729492
a3_conf_res_rerun_seed42,A3-conf-res rerun seed42,precision/test,30,37860,26.63129234313965
a3_conf_res_rerun_seed42,A3-conf-res rerun seed42,precision/test,35,44170,27.62582015991211
a3_conf_res_rerun_seed42,A3-conf-res rerun seed42,precision/test,40,50480,35.736324310302734
a3_conf_res_rerun_seed42,A3-conf-res rerun seed42,precision/test,45,56790,31.842449188232422
a3_conf_res_rerun_seed42,A3-conf-res rerun seed42,precision/test,50,63100,31.618165969848633
a3_conf_res_rerun_seed42,A3-conf-res rerun seed42,precision/test,55,69410,31.649887084960938
a3_conf_res_rerun_seed42,A3-conf-res rerun seed42,precision/test,60,75720,31.87417984008789
