model,metric,final,final_epoch,final_step,best,best_epoch,best_step,best_final_gap,mean,std,late_mean_epoch40_60,late_std_epoch40_60,final_delta_vs_baseline,best_delta_vs_baseline,final_delta_vs_a1_order,best_delta_vs_a1_order,final_delta_vs_a2_order_dyn,best_delta_vs_a2_order_dyn,parent_model,final_delta_vs_parent,best_delta_vs_parent
SeqTrack baseline,success/test,50.9858,60,75719,52.2834,35,44169,1.2976000000000028,47.96790833333333,3.4747748400575853,49.452740000000006,1.6051280616823074,0.0,0.0,-0.2428682128906345,-1.0152869812011716,0.0240919311523413,0.7418197998046878,,,
A1-order+TWC,success/test,51.15645599365234,60,75720,53.15645980834961,55,69410,2.0000038146972656,47.28464698791504,6.730356317200045,51.7765869140625,1.2536206782472423,0.1706559936523461,0.8730598083496091,-0.0722122192382883,-0.1422271728515625,0.1947479248046875,1.6148796081542969,A1-order,-0.0722122192382883,-0.1422271728515625
A2-order-dyn+TWC,success/test,28.230854034423828,60,75720,45.235233306884766,10,12620,17.004379272460938,30.535558541615803,5.459001726774436,28.407659149169923,0.5005912877699626,-22.75494596557617,-7.048166693115235,-22.997814178466804,-8.063453674316406,-22.730854034423828,-6.306346893310547,A2-order-dyn,-22.730854034423828,-6.306346893310547
SeqTrack baseline,precision/test,59.9617,60,75719,65.2144,10,12619,5.252699999999997,55.92588333333333,6.395816864669351,57.47462,3.282452839813544,0.0,0.0,2.0984568969726567,3.199080175781248,-3.352310620117187,1.641092962646475,,,
A1-order+TWC,precision/test,61.10174560546875,60,75720,63.35011291503906,55,69410,2.2483673095703125,55.2939453125,10.470390364922704,61.83194732666016,1.4753328613314922,1.1400456054687496,-1.8642870849609352,3.2385025024414062,1.3347930908203125,-2.212265014648437,-0.2231941223144602,A1-order,3.2385025024414062,1.3347930908203125
A2-order-dyn+TWC,precision/test,32.03719711303711,60,75720,57.432167053222656,5,6310,25.394969940185547,35.40682125091553,9.369713042117263,32.04989128112793,1.2120042749265665,-27.92450288696289,-7.782232946777341,-25.826045989990234,-4.583152770996094,-31.27681350708008,-6.1411399841308665,A2-order-dyn,-31.27681350708008,-6.1411399841308665
